t_s,dt_s,ax_dynamic,az_dynamic,accel_xz_magnitude
0.000000,0.000000,-0.152612,0.031016,0.155732
0.009719,0.009719,0.088005,0.048972,0.100714
0.019630,0.009911,0.171803,-0.106651,0.202214
0.029663,0.010033,-0.170568,0.153120,0.229214
0.039628,0.009965,0.018574,0.070520,0.072925
0.049651,0.010022,0.188562,-0.040810,0.192928
0.059616,0.009965,0.109553,-0.040810,0.116908
0.069629,0.010014,-0.065223,0.098053,0.117765
0.079749,0.010120,-0.086771,0.088476,0.123925
0.089668,0.009919,0.266373,-0.093483,0.282301
0.099662,0.009994,0.010194,-0.051584,0.052582
0.109682,0.010020,0.098779,0.020242,0.100832
0.119627,0.009945,-0.226832,-0.027642,0.228510
0.129860,0.010233,-0.028113,-0.047993,0.055621
0.139812,0.009953,0.111947,-0.111439,0.157959
0.150426,0.010614,-0.156203,-0.008489,0.156434
0.160092,0.009666,-0.251971,0.084885,0.265885
0.169748,0.009656,0.026953,-0.147352,0.149797
0.179698,0.009950,0.200533,-0.038416,0.204180
0.189600,0.009902,-0.019734,-0.040810,0.045331
0.199744,0.010144,-0.280702,-0.034825,0.282854
0.209675,0.009932,0.062866,-0.067147,0.091983
0.219654,0.009979,0.151452,0.110024,0.187198
0.229625,0.009971,0.085611,0.053761,0.101091
0.239643,0.010018,-0.040084,0.075308,0.085312
0.249827,0.010184,-0.104728,0.118404,0.158074
0.259681,0.009854,0.291513,0.010665,0.291708
0.269603,0.009922,0.007800,-0.040810,0.041549
0.279612,0.010009,-0.050858,0.086082,0.099984
0.289596,0.009984,-0.360907,0.065732,0.366844
0.299617,0.010021,0.144269,0.031016,0.147565
0.309596,0.009979,0.126313,-0.138973,0.187799
0.319589,0.009993,-0.238803,0.014256,0.239228
0.329606,0.010017,-0.365696,0.098053,0.378613
0.339626,0.010020,0.107159,-0.016868,0.108479
0.349652,0.010026,0.257994,0.050169,0.262826
0.359626,0.009974,-0.050858,0.035804,0.062197
0.369618,0.009992,-0.372878,0.044184,0.375487
0.379612,0.009994,0.132298,0.029819,0.135617
0.389611,0.009998,0.196942,-0.007292,0.197077
0.399737,0.010127,0.181379,0.033410,0.184431
0.409679,0.009942,-0.284293,-0.013277,0.284603
0.419609,0.009930,0.014982,-0.073132,0.074651
0.429657,0.010047,0.374113,-0.030037,0.375316
0.439675,0.010018,0.096385,-0.080315,0.125461
0.449796,0.010122,-0.147823,0.072914,0.164828
0.459646,0.009849,-0.292673,0.096856,0.308283
0.469670,0.010025,0.242431,0.131572,0.275834
0.479640,0.009970,0.127510,0.142346,0.191105
0.489633,0.009992,-0.257957,-0.010883,0.258186
0.499650,0.010017,-0.369287,0.040592,0.371511
0.509666,0.010016,0.222081,-0.055176,0.228832
0.519722,0.010056,0.218489,-0.010883,0.218760
0.529653,0.009932,-0.207678,0.039395,0.211382
0.539808,0.010155,-0.256760,-0.061161,0.263943
0.549845,0.010037,0.322637,-0.147352,0.354694
0.559689,0.009844,0.163423,-0.065950,0.176228
0.569644,0.009955,0.144269,-0.037219,0.148993
0.579632,0.009988,-0.247183,-0.080315,0.259903
0.589660,0.010029,0.211307,-0.068344,0.222084
0.599641,0.009980,0.305878,0.142346,0.337378
0.609639,0.009999,0.072443,-0.038416,0.081999
0.619626,0.009986,-0.321403,0.021439,0.322117
0.629643,0.010017,0.016179,0.001088,0.016216
0.639605,0.009962,0.266373,0.044184,0.270013
0.649723,0.010118,-0.123881,0.236917,0.267350
0.659887,0.010164,-0.317812,0.157908,0.354879
0.669780,0.009893,-0.046070,0.015453,0.048593
0.679686,0.009906,0.207716,0.178259,0.273719
0.689775,0.010089,0.113145,0.145937,0.184660
0.699683,0.009908,-0.321403,0.099250,0.336379
0.709652,0.009969,-0.089165,0.183047,0.203610
0.719733,0.010081,0.277147,0.016650,0.277647
0.729662,0.009929,0.085611,0.081294,0.118059
0.739650,0.009988,-0.135852,-0.016868,0.136896
0.749722,0.010072,-0.187328,-0.188054,0.265435
0.759656,0.009934,0.387281,-0.037219,0.389065
0.769637,0.009981,0.083217,-0.039613,0.092165
0.779608,0.009971,-0.109516,-0.155732,0.190385
0.789618,0.010009,-0.259154,-0.036022,0.261645
0.799637,0.010019,0.155043,-0.074329,0.171940
0.809678,0.010041,0.256797,-0.192842,0.321143
0.819618,0.009940,-0.169371,-0.086300,0.190090
0.829612,0.009994,-0.248380,-0.043205,0.252109
0.839622,0.010009,0.085611,-0.116228,0.144354
0.849735,0.010113,0.178985,-0.075526,0.194268
0.859643,0.009909,-0.023325,-0.038416,0.044943
0.869631,0.009988,-0.189722,-0.007292,0.189862
0.879636,0.010005,0.144269,0.015453,0.145094
0.889648,0.010012,0.195745,0.081294,0.211954
0.899607,0.009959,-0.037690,0.291984,0.294406
0.909649,0.010041,-0.174160,0.058549,0.183738
0.919630,0.009981,0.177788,-0.077921,0.194114
0.929616,0.009987,0.224475,0.053761,0.230823
0.939656,0.010039,-0.031705,0.087279,0.092859
