t_s,dt_s,ax_dynamic,vel_x,az_dynamic,accel_xz_magnitude,cur_left_a,cur_right_a,cur_total_a
0.000000,0.000000,-0.011421,0.000000,-0.012410,0.016866,0.0000,0.0000,0.0000
0.010013,0.010013,0.010126,0.000101,-0.021987,0.024207,0.0000,0.0000,0.0000
0.020002,0.009989,0.006535,0.000167,-0.002833,0.007123,0.0000,0.0000,0.0000
0.030051,0.010049,-0.000648,0.000160,-0.047126,0.047130,0.0000,0.0000,0.0000
0.040041,0.009990,0.001747,0.000178,0.021109,0.021181,0.0000,0.0000,0.0000
0.050070,0.010029,0.010126,0.000279,-0.001636,0.010258,0.0000,0.0000,0.0000
0.060009,0.009939,-0.004239,0.000237,0.010335,0.011170,0.0000,0.0000,0.0000
0.070199,0.010190,-0.009027,0.000145,-0.017198,0.019424,0.0000,0.0000,0.0000
0.080035,0.009835,-0.016210,-0.000014,0.037868,0.041192,0.0000,0.0000,0.0000
0.090023,0.009988,0.002944,0.000015,0.070190,0.070252,0.0000,0.0000,0.0000
0.100012,0.009989,-0.037758,-0.000362,0.063007,0.073454,0.0000,0.0000,0.0000
0.110194,0.010182,-0.031772,-0.000686,-0.045929,0.055847,0.0000,0.0000,0.0000
0.119995,0.009801,-0.134723,-0.002006,0.004349,0.134793,0.0000,0.0000,0.0000
0.130050,0.010055,-0.067685,-0.002687,-0.014804,0.069285,0.0000,0.0000,0.0000
0.140013,0.009963,-0.109584,-0.003778,0.001955,0.109601,0.0000,0.0000,0.0000
0.150033,0.010020,-0.116766,-0.004948,-0.025578,0.119535,0.0000,0.0000,0.0000
0.159997,0.009964,-0.169439,-0.006637,0.018715,0.170469,0.0000,0.0000,0.0000
0.170190,0.010193,-0.186198,-0.008535,-0.025578,0.187947,0.0000,0.0000,0.0000
0.180044,0.009854,-0.159862,-0.010110,-0.002833,0.159887,0.0000,0.0000,0.0000
0.190037,0.009993,0.012521,-0.009985,-0.053111,0.054567,0.0000,0.0000,0.0000
0.199992,0.009955,0.077164,-0.009217,0.040262,0.087036,0.0000,0.0000,0.0000
0.210024,0.010031,0.059207,-0.008623,-0.006425,0.059555,0.0000,0.0000,0.0000
0.220164,0.010140,0.065193,-0.007962,0.059416,0.088206,0.0000,0.0000,0.0000
0.230016,0.009852,0.038857,-0.007579,0.012729,0.040889,0.0000,0.0000,0.0000
0.240051,0.010035,-0.037758,-0.007958,0.036671,0.052635,0.0000,0.0000,0.0000
0.250021,0.009970,-0.050926,-0.008466,-0.084236,0.098434,0.0000,0.0000,0.0000
0.259999,0.009978,-0.080853,-0.009272,0.034277,0.087819,0.0000,0.0000,0.0000
0.270169,0.010170,-0.135920,-0.010655,-0.011213,0.136382,0.0000,0.0000,0.0000
0.280009,0.009839,-0.147891,-0.012110,-0.077054,0.166760,0.0000,0.0000,0.0000
0.290038,0.010029,-0.168242,-0.013797,-0.049520,0.175378,0.0000,0.0000,0.0000
0.300000,0.009963,-0.110781,-0.014901,-0.054309,0.123377,0.0000,0.0000,0.0000
0.310083,0.010083,-0.071277,-0.015619,0.017517,0.073398,0.0000,0.0000,0.0000
0.320083,0.010000,-0.025787,-0.015877,0.019912,0.032580,0.0000,0.0000,0.0000
0.330026,0.009943,-0.031772,-0.016193,-0.008819,0.032973,0.0000,0.0000,0.0000
