t_s,dt_s,az_raw,az_dynamic,vel_z,disp_z
0.000000,0.000000,9.585186,-0.092549,0.000000,0.000000
0.009708,0.009708,9.617508,-0.060227,-0.000585,-0.000006
0.019614,0.009905,9.747992,0.070257,0.000111,-0.000005
0.029630,0.010016,9.598354,-0.079381,-0.000684,-0.000011
0.039633,0.010003,9.800664,0.122929,0.000546,-0.000006
0.049643,0.010010,9.867702,0.189967,0.002447,0.000019
0.059616,0.009973,9.479841,-0.197894,0.000474,0.000023
0.069856,0.010240,9.692925,0.015190,0.000629,0.000030
0.079669,0.009814,9.980230,0.302494,0.003598,0.000065
0.089642,0.009973,9.668983,-0.008752,0.003510,0.000100
0.099615,0.009973,9.726444,0.048709,0.003996,0.000140
0.109733,0.010118,9.715670,0.037935,0.004380,0.000184
0.119604,0.009871,9.498995,-0.178740,0.002616,0.000210
0.129686,0.010082,9.844957,0.167222,0.004302,0.000253
0.139609,0.009923,9.793482,0.115747,0.005450,0.000307
0.149636,0.010027,9.403227,-0.274508,0.002698,0.000335
0.159621,0.009985,9.803059,0.125323,0.003949,0.000374
0.169690,0.010068,9.749189,0.071454,0.004669,0.000421
0.179606,0.009916,9.537302,-0.140433,0.003276,0.000453
0.189686,0.010080,9.909601,0.231865,0.005613,0.000510
0.199613,0.009927,9.464279,-0.213456,0.003494,0.000545
0.209722,0.010110,9.679757,0.002022,0.003515,0.000580
0.219631,0.009909,9.873688,0.195952,0.005457,0.000634
0.229632,0.010000,9.605537,-0.072198,0.004734,0.000682
0.239605,0.009973,9.615114,-0.062621,0.004110,0.000723
0.249632,0.010027,9.557653,-0.120082,0.002906,0.000752
0.259675,0.010043,9.552865,-0.124871,0.001652,0.000768
0.269624,0.009950,9.751583,0.073848,0.002387,0.000792
0.279609,0.009984,9.795876,0.118141,0.003566,0.000828
0.289626,0.010017,9.752780,0.075045,0.004318,0.000871
0.299612,0.009987,9.679757,0.002022,0.004338,0.000914
0.309682,0.010070,9.646238,-0.031497,0.004021,0.000955
0.319597,0.009915,9.700108,0.022373,0.004243,0.000997
0.329587,0.009990,9.692925,0.015190,0.004395,0.001041
0.339597,0.010009,9.823409,0.145674,0.005853,0.001099
0.349586,0.009990,9.538499,-0.139236,0.004462,0.001144
0.359577,0.009990,9.540894,-0.136842,0.003095,0.001175
0.369561,0.009985,9.611523,-0.066213,0.002433,0.001199
0.379589,0.010028,9.858125,0.180390,0.004242,0.001242
0.389613,0.010024,9.900024,0.222289,0.006471,0.001307
0.399579,0.009966,9.585186,-0.092549,0.005548,0.001362
0.409669,0.010090,9.512163,-0.165572,0.003878,0.001401
0.419580,0.009911,9.751583,0.073848,0.004609,0.001447
0.429603,0.010023,9.560047,-0.117688,0.003430,0.001481
0.439551,0.009948,9.634267,-0.043468,0.002998,0.001511
0.449593,0.010042,9.679757,0.002022,0.003018,0.001541
0.459578,0.009985,9.659407,-0.018329,0.002835,0.001569
0.469596,0.010018,9.781511,0.103776,0.003874,0.001608
0.479582,0.009986,9.668983,-0.008752,0.003787,0.001646
0.489645,0.010063,9.433155,-0.244581,0.001326,0.001659
0.499606,0.009960,9.436746,-0.240989,-0.001075,0.001649
0.509659,0.010053,9.801862,0.124126,0.000173,0.001650
0.519589,0.009930,9.629479,-0.048256,-0.000306,0.001647
0.529573,0.009984,9.600749,-0.076987,-0.001075,0.001637
0.539577,0.010004,9.780314,0.102579,-0.000048,0.001636
0.549558,0.009982,9.615114,-0.062621,-0.000674,0.001629
0.559581,0.010023,9.558850,-0.118885,-0.001865,0.001611
0.569581,0.010000,9.646238,-0.031497,-0.002180,0.001589
0.579576,0.009995,9.764751,0.087016,-0.001310,0.001576
0.589596,0.010020,9.652224,-0.025511,-0.001566,0.001560
0.599579,0.009984,9.651027,-0.026708,-0.001833,0.001542
0.609636,0.010056,9.777920,0.100184,-0.000825,0.001534
0.619587,0.009952,9.885659,0.207923,0.001244,0.001546
0.629579,0.009991,9.728838,0.051103,0.001755,0.001564
0.639576,0.009998,9.664195,-0.013540,0.001619,0.001580
0.649568,0.009992,9.409213,-0.268523,-0.001064,0.001569
0.659666,0.010098,9.756372,0.078637,-0.000270,0.001566
0.669600,0.009934,9.581595,-0.096140,-0.001225,0.001554
0.679600,0.010000,9.629479,-0.048256,-0.001707,0.001537
0.689617,0.010016,9.643844,-0.033891,-0.002047,0.001517
0.700724,0.011107,9.810241,0.132506,-0.000575,0.001510
0.709796,0.009072,9.566033,-0.111703,-0.001589,0.001496
0.719629,0.009833,9.514557,-0.163178,-0.003193,0.001464
0.729591,0.009962,9.773131,0.095396,-0.002243,0.001442
0.739588,0.009997,9.810241,0.132506,-0.000918,0.001433
0.749587,0.009999,9.609128,-0.068607,-0.001604,0.001417
0.759596,0.010009,9.585186,-0.092549,-0.002530,0.001392
0.769567,0.009972,9.795876,0.118141,-0.001352,0.001378
0.779562,0.009994,9.756372,0.078637,-0.000567,0.001372
0.789589,0.010028,9.495404,-0.182331,-0.002395,0.001348
0.799592,0.010002,9.736021,0.058286,-0.001812,0.001330
0.809639,0.010048,9.758766,0.081031,-0.000998,0.001320
0.819584,0.009945,9.601946,-0.075789,-0.001751,0.001303
0.829583,0.009999,9.636662,-0.041074,-0.002162,0.001281
0.839576,0.009993,9.929951,0.252216,0.000358,0.001285
0.849559,0.009983,9.600749,-0.076987,-0.000410,0.001281
0.859565,0.010006,9.622296,-0.055439,-0.000965,0.001271
0.869577,0.010012,9.600749,-0.076987,-0.001736,0.001254
0.879652,0.010075,9.728838,0.051103,-0.001221,0.001241
0.889592,0.009940,9.412804,-0.264931,-0.003854,0.001203
0.899614,0.010022,9.727641,0.049906,-0.003354,0.001169
0.909655,0.010041,9.623494,-0.054242,-0.003899,0.001130
0.919583,0.009928,9.686940,0.009205,-0.003807,0.001092
0.929571,0.009988,9.635465,-0.042271,-0.004230,0.001050
0.939574,0.010004,9.761160,0.083425,-0.003395,0.001016
