t_s,dt_s,ax_dynamic,az_dynamic,accel_xz_magnitude
1.219426,0.009439,-0.022393,-0.006305,0.023263
1.229470,0.010044,-0.018801,0.017637,0.025779
1.239376,0.009906,-0.010422,0.000877,0.010459
1.249477,0.010102,0.013520,0.026017,0.029320
1.259939,0.010462,-0.021196,-0.019473,0.028783
1.269418,0.009479,0.006338,-0.020670,0.021620
1.279896,0.010478,-0.006830,0.014046,0.015618
1.289351,0.009454,0.015915,0.018834,0.024657
1.299383,0.010032,0.000352,-0.017079,0.017083
1.309473,0.010090,-0.000845,-0.014685,0.014709
1.319452,0.009980,0.017112,-0.008699,0.019196
1.329509,0.010057,0.003944,-0.013488,0.014052
1.339594,0.010085,-0.025984,0.040382,0.048019
1.349419,0.009825,0.001549,-0.012291,0.012388
1.359355,0.009935,-0.011619,-0.048204,0.049584
1.369408,0.010053,-0.041546,-0.029050,0.050695
1.379388,0.009980,-0.012816,0.008060,0.015140
1.389340,0.009952,-0.003239,-0.008699,0.009283
1.399348,0.010009,-0.003239,0.014046,0.014414
1.409348,0.010000,0.011126,0.034396,0.036151
1.419360,0.010012,-0.009225,-0.019473,0.021548
1.429507,0.010147,-0.030772,-0.018276,0.035791
1.439396,0.009889,0.011126,-0.045809,0.047141
1.449329,0.009933,0.014717,0.018834,0.023902
1.459483,0.010154,-0.012816,0.000877,0.012846
1.469404,0.009922,0.019506,-0.001517,0.019565
1.479366,0.009962,0.013520,0.009257,0.016386
1.489440,0.010074,0.012323,-0.003911,0.012929
1.499344,0.009903,0.003944,-0.043415,0.043594
1.509386,0.010042,-0.002042,0.032002,0.032067
1.519340,0.009954,0.001549,-0.006305,0.006493
1.529615,0.010275,0.015915,0.009257,0.018411
1.539375,0.009760,0.006338,0.022425,0.023304
1.549433,0.010057,0.007535,0.008060,0.011033
1.559351,0.009919,0.008732,0.037988,0.038978
1.569689,0.010337,-0.010422,-0.019473,0.022087
1.579470,0.009781,-0.004436,-0.009896,0.010845
1.590637,0.011167,-0.024787,0.011651,0.027389
1.600162,0.009525,-0.015210,0.024819,0.029109
1.609468,0.009306,-0.011619,0.043973,0.045482
1.619357,0.009889,-0.030772,0.072703,0.078948
1.629435,0.010078,-0.040349,0.042776,0.058803
1.639336,0.009901,0.024294,0.000877,0.024310
1.649439,0.010103,-0.014013,0.030805,0.033842
1.659332,0.009893,-0.018801,0.002075,0.018916
1.669630,0.010298,0.018309,0.005666,0.019165
1.679396,0.009766,-0.018801,0.012848,0.022772
1.689347,0.009951,0.012323,0.054747,0.056117
1.699414,0.010067,-0.054714,-0.005108,0.054952
1.709326,0.009912,0.026688,-0.033838,0.043097
1.719316,0.009990,-0.002042,0.006863,0.007160
1.729396,0.010080,0.002746,-0.019473,0.019666
1.739318,0.009922,0.013520,-0.047007,0.048912
1.749314,0.009996,-0.002042,-0.001517,0.002544
1.759317,0.010003,0.000352,0.023622,0.023625
1.769472,0.010155,0.001549,-0.026656,0.026701
1.779325,0.009853,-0.022393,0.008060,0.023799
1.789330,0.010005,-0.002042,-0.002714,0.003396
1.799353,0.010023,-0.004436,-0.006305,0.007709
1.809340,0.009987,0.006338,-0.019473,0.020479
1.819314,0.009974,0.015915,0.032002,0.035741
1.829368,0.010054,-0.012816,0.027214,0.030080
1.839313,0.009945,-0.004436,-0.009896,0.010845
1.849329,0.010015,0.002746,-0.075737,0.075787
1.859332,0.010004,-0.000845,0.006863,0.006915
1.869481,0.010149,0.047039,0.020031,0.051127
1.879350,0.009870,-0.009225,0.035593,0.036769
1.889322,0.009972,0.002746,0.020031,0.020218
1.899373,0.010051,0.019506,-0.000320,0.019508
1.909317,0.009944,0.011126,-0.024262,0.026691
1.919341,0.010024,-0.021196,-0.029050,0.035961
1.929381,0.010040,-0.000845,-0.043415,0.043424
1.939336,0.009955,0.001549,0.002075,0.002589
1.949346,0.010010,0.007535,0.003272,0.008214
1.959380,0.010034,0.000352,0.005666,0.005677
1.969413,0.010033,0.002746,0.020031,0.020218
1.979351,0.009938,0.013520,-0.050598,0.052373
1.989342,0.009991,0.006338,-0.011094,0.012776
1.999327,0.009985,-0.028378,0.010454,0.030243
2.009321,0.009994,-0.003239,-0.037430,0.037570
2.019299,0.009978,-0.022393,-0.006305,0.023263
2.029313,0.010014,-0.039152,-0.012291,0.041036
2.039376,0.010064,-0.009225,-0.002714,0.009616
2.049368,0.009992,0.029083,0.037988,0.047842
2.059320,0.009952,-0.002042,0.015243,0.015379
2.069427,0.010107,-0.009225,-0.012291,0.015367
2.079336,0.009909,-0.004436,-0.011094,0.011948
2.089313,0.009977,0.021900,-0.001517,0.021952
2.099387,0.010075,0.001549,-0.039824,0.039854
2.109571,0.010183,0.026688,-0.012291,0.029383
2.119344,0.009773,-0.003239,-0.012291,0.012710
2.129390,0.010047,0.018309,0.012848,0.022367
2.139331,0.009941,-0.008028,0.011651,0.014149
2.149336,0.010005,0.009929,0.009257,0.013575
2.159335,0.010000,-0.002042,-0.064963,0.064995
2.169524,0.010189,0.026688,-0.020670,0.033757
2.179350,0.009825,-0.005633,0.003272,0.006514
2.189343,0.009993,-0.000845,0.014046,0.014071
2.199347,0.010004,-0.000845,-0.008699,0.008740
2.210576,0.011229,-0.012816,0.033199,0.035587
2.220226,0.009650,-0.011619,0.035593,0.037442
2.229560,0.009334,0.019506,-0.017079,0.025926
2.239322,0.009762,-0.021196,0.027214,0.034494
2.249349,0.010027,-0.017604,0.011651,0.021111
2.259303,0.009954,0.014717,-0.000320,0.014721
2.269399,0.010097,-0.004436,0.014046,0.014729
2.279321,0.009922,-0.004436,0.010454,0.011357
2.289317,0.009996,-0.005633,0.010454,0.011875
2.299354,0.010037,0.023097,-0.001517,0.023147
2.309394,0.010040,-0.016407,-0.038627,0.041967
2.319338,0.009944,0.012323,-0.003911,0.012929
2.329330,0.009992,-0.014013,-0.001517,0.014095
2.339300,0.009970,-0.019999,-0.011094,0.022869
2.349319,0.010019,-0.022393,0.054747,0.059150
2.359319,0.010000,-0.006830,-0.033838,0.034521
2.369413,0.010093,0.021900,0.026017,0.034007
2.379351,0.009938,0.017112,-0.041021,0.044447
2.389328,0.009977,0.005141,-0.029050,0.029501
2.399327,0.009999,-0.016407,-0.002714,0.016630
2.409313,0.009986,-0.004436,-0.020670,0.021141
2.419301,0.009988,-0.009225,-0.015882,0.018367
2.429340,0.010039,-0.010422,-0.039824,0.041165
2.439328,0.009989,-0.014013,0.035593,0.038252
2.449340,0.010011,0.014717,0.011651,0.018771
2.459322,0.009982,-0.002042,0.020031,0.020135
2.469402,0.010080,0.008732,-0.021867,0.023546
2.479338,0.009936,-0.023590,0.040382,0.046767
2.489319,0.009982,0.006338,-0.012291,0.013828
2.499316,0.009996,-0.017604,0.024819,0.030429
2.509322,0.010007,-0.028378,-0.013488,0.031420
2.519324,0.010001,0.024294,-0.003911,0.024607
2.529324,0.010000,-0.011619,0.027214,0.029590
2.539324,0.009999,-0.021196,-0.013488,0.025123
2.549314,0.009991,0.001549,0.024819,0.024868
2.559322,0.010007,-0.000845,0.003272,0.003379
2.569402,0.010080,-0.000845,-0.013488,0.013514
2.579350,0.009948,-0.014013,-0.026656,0.030115
2.589314,0.009964,0.006338,-0.007502,0.009821
2.599373,0.010059,-0.003239,-0.005108,0.006048
2.609365,0.009992,-0.000845,-0.001517,0.001736
2.619320,0.009954,-0.008028,0.033199,0.034156
2.629317,0.009997,-0.004436,0.016440,0.017028
2.639319,0.010002,-0.014013,0.021228,0.025436
2.649312,0.009992,0.003944,-0.021867,0.022220
2.659323,0.010011,-0.018801,-0.030247,0.035614
2.669414,0.010091,0.002746,-0.008699,0.009123
2.679327,0.009914,-0.012816,-0.041021,0.042976
2.689325,0.009997,0.007535,0.003272,0.008214
2.699324,0.009999,-0.009225,-0.025459,0.027078
2.709329,0.010005,-0.006830,0.005666,0.008874
2.719290,0.009961,-0.010422,0.023622,0.025819
2.729337,0.010047,-0.010422,0.006863,0.012478
2.739297,0.009961,0.018309,-0.051795,0.054936
2.749320,0.010022,-0.025984,-0.001517,0.026028
2.759311,0.009992,-0.022393,0.014046,0.026433
2.769407,0.010096,0.044645,-0.005108,0.044936
2.779322,0.009914,0.009929,-0.023065,0.025111
2.789329,0.010007,0.018309,-0.038627,0.042746
2.799319,0.009990,0.011126,0.006863,0.013072
2.809327,0.010008,0.005141,-0.045809,0.046097
2.819299,0.009972,-0.005633,-0.055386,0.055672
2.829307,0.010008,0.014717,-0.005108,0.015579
2.839304,0.009997,0.012323,-0.035036,0.037140
2.849308,0.010004,0.018309,-0.017079,0.025038
2.859318,0.010010,-0.006830,-0.054189,0.054618
2.869386,0.010069,0.007535,0.024819,0.025938
2.879351,0.009964,-0.016407,0.053550,0.056007
2.889317,0.009966,0.019506,-0.003911,0.019894
2.899331,0.010013,0.008732,-0.013488,0.016068
2.909307,0.009976,0.014717,0.016440,0.022065
2.919310,0.010003,-0.018801,0.035593,0.040254
2.929328,0.010019,-0.024787,-0.036233,0.043900
2.939312,0.009984,-0.014013,-0.015882,0.021180
2.949320,0.010008,-0.009225,0.008060,0.012250
2.959304,0.009984,-0.051123,-0.024262,0.056588
2.969392,0.010088,-0.010422,-0.007502,0.012841
2.979343,0.009951,0.018309,-0.023065,0.029448
2.989307,0.009964,0.008732,-0.000320,0.008738
2.999326,0.010019,0.017112,0.023622,0.029169
3.009345,0.010019,-0.016407,0.017637,0.024088
3.019365,0.010020,-0.009225,0.026017,0.027604
3.029333,0.009968,0.031477,0.037988,0.049334
3.039320,0.009987,0.020703,0.029608,0.036128
3.049331,0.010012,-0.004436,0.011651,0.012467
3.059315,0.009984,-0.006830,-0.007502,0.010146
3.069416,0.010101,0.014717,0.002075,0.014863
3.079349,0.009933,0.005141,0.014046,0.014957
3.089346,0.009997,-0.037955,-0.037430,0.053306
3.099332,0.009985,0.001549,0.006863,0.007036
3.109327,0.009995,0.005141,-0.023065,0.023631
3.119326,0.009999,-0.005633,-0.018276,0.019125
3.129422,0.010096,-0.010422,-0.008699,0.013575
3.139335,0.009913,0.002746,-0.036233,0.036337
3.149317,0.009982,0.023097,-0.013488,0.026747
3.159317,0.010000,-0.010422,-0.008699,0.013575
3.169461,0.010143,-0.000845,-0.002714,0.002842
3.179370,0.009910,-0.005633,-0.000320,0.005642
3.189336,0.009966,-0.003239,-0.025459,0.025664
3.199338,0.010002,0.030280,-0.008699,0.031505
3.209330,0.009991,0.019506,-0.026656,0.033030
3.219328,0.009998,-0.011619,0.011651,0.016454
3.229332,0.010004,0.006338,0.003272,0.007132
3.239309,0.009977,0.007535,0.052353,0.052892
3.249315,0.010006,-0.009225,0.033199,0.034457
3.259322,0.010008,-0.000845,-0.001517,0.001736
3.269422,0.010099,0.003944,0.005666,0.006903
3.279311,0.009889,-0.000845,0.012848,0.012876
3.289312,0.010001,-0.011619,0.012848,0.017323
3.299341,0.010029,-0.023590,-0.029050,0.037422
3.309347,0.010006,-0.018801,0.047564,0.051146
3.319310,0.009964,0.007535,0.026017,0.027086
3.329338,0.010028,0.043448,-0.012291,0.045153
3.339356,0.010018,-0.017604,0.021228,0.027578
3.349349,0.009993,0.002746,0.051156,0.051229
3.359327,0.009978,-0.006830,0.026017,0.026898
3.369416,0.010089,0.005141,0.054747,0.054988
3.379333,0.009917,-0.000845,0.026017,0.026030
3.389319,0.009987,-0.025984,-0.003911,0.026277
3.399333,0.010014,-0.002042,-0.007502,0.007775
3.409307,0.009974,0.007535,0.029608,0.030552
3.419309,0.010002,-0.023590,-0.024262,0.033839
3.429324,0.010015,0.014717,-0.047007,0.049257
3.439721,0.010397,0.003944,0.026017,0.026314
3.449278,0.009557,-0.023590,0.018834,0.030186
3.459416,0.010138,-0.021196,0.011651,0.024187
3.469416,0.010000,0.006338,0.011651,0.013263
3.479410,0.009994,-0.010422,0.009257,0.013939
3.489322,0.009912,-0.004436,-0.024262,0.024664
3.499302,0.009980,0.000352,0.017637,0.017640
3.509233,0.009931,-0.006830,0.012848,0.014551
3.519357,0.010123,-0.015210,0.039185,0.042033
3.529365,0.010008,-0.025984,0.032002,0.041223
3.539305,0.009940,0.007535,0.034396,0.035212
3.549315,0.010010,-0.002042,-0.050598,0.050639
3.559306,0.009991,-0.023590,0.008060,0.024929
3.569390,0.010083,0.024294,-0.019473,0.031135
3.579373,0.009984,-0.030772,0.012848,0.033347
3.589316,0.009943,-0.011619,0.004469,0.012449
3.599352,0.010036,0.002746,-0.019473,0.019666
3.609450,0.010098,-0.003239,0.017637,0.017932
3.619682,0.010232,0.005141,0.011651,0.012735
3.629251,0.009570,0.006338,-0.030247,0.030904
3.639541,0.010290,0.001549,0.016440,0.016513
3.649307,0.009765,-0.017604,0.008060,0.019362
3.659389,0.010082,-0.011619,0.057141,0.058310
3.670066,0.010678,0.002746,0.004469,0.005245
3.679416,0.009350,0.006338,0.029608,0.030279
3.689476,0.010060,0.001549,0.043973,0.044000
3.699642,0.010166,-0.017604,0.017637,0.024919
3.709544,0.009902,0.003944,-0.014685,0.015205
3.719423,0.009878,-0.011619,0.008060,0.014141
3.729643,0.010221,0.015915,-0.005108,0.016714
3.739439,0.009796,0.000352,-0.037430,0.037431
3.749436,0.009997,-0.019999,-0.017079,0.026299
3.759345,0.009909,-0.027181,0.009257,0.028714
3.769664,0.010319,0.036265,-0.012291,0.038291
3.779383,0.009719,-0.037955,-0.068554,0.078360
3.789365,0.009982,-0.024787,0.009257,0.026459
3.799343,0.009978,0.044645,-0.017079,0.047800
3.809559,0.010216,-0.014013,0.029608,0.032757
3.819364,0.009806,-0.000845,0.004469,0.004548
3.829418,0.010054,-0.000845,0.003272,0.003379
3.839343,0.009924,0.017112,0.043973,0.047185
3.849591,0.010248,-0.027181,-0.002714,0.027316
3.859379,0.009788,0.003944,-0.012291,0.012908
3.869404,0.010025,0.013520,0.005666,0.014659
3.879413,0.010008,0.017112,-0.029050,0.033715
3.889641,0.010229,-0.015210,0.015243,0.021533
3.899499,0.009857,-0.006830,-0.009896,0.012025
3.909621,0.010123,-0.009225,-0.001517,0.009348
3.919658,0.010036,-0.048729,0.018834,0.052242
3.929611,0.009953,-0.083445,-0.036233,0.090972
3.939410,0.009799,-0.083445,0.021228,0.086103
3.949365,0.009955,-0.082248,0.026017,0.086264
3.959378,0.010014,-0.065488,-0.007502,0.065917
3.969448,0.010069,-0.072671,-0.062569,0.095895
3.979406,0.009959,0.015915,0.021228,0.026531
3.989376,0.009970,-0.002042,-0.008699,0.008936
