t_s,dt_s,ax_dynamic,az_dynamic,accel_xz_magnitude
0.000000,0.000000,-0.008973,-0.019721,0.021667
0.009557,0.009557,0.025743,0.012600,0.028661
0.019196,0.009639,0.008983,-0.004159,0.009899
0.029103,0.009907,0.026940,0.024571,0.036462
0.039090,0.009987,0.002998,-0.018524,0.018765
0.049097,0.010007,0.036517,0.001826,0.036562
0.059088,0.009992,0.001801,0.011403,0.011544
0.069069,0.009980,0.011378,0.028163,0.030374
0.079069,0.010000,-0.017353,-0.023313,0.029062
0.089098,0.010029,-0.029324,-0.013736,0.032382
0.099223,0.010125,-0.000593,-0.023313,0.023320
0.109094,0.009871,0.035320,0.007812,0.036173
0.119085,0.009990,0.006589,0.011403,0.013170
0.129030,0.009945,0.006589,-0.040072,0.040610
0.139058,0.010028,0.002998,0.028163,0.028322
0.149049,0.009991,0.020954,0.007812,0.022363
0.159061,0.010013,-0.030521,-0.008948,0.031806
0.169027,0.009966,-0.005382,-0.016130,0.017004
0.179050,0.010023,0.005392,-0.024510,0.025096
0.189067,0.010017,0.024546,-0.004159,0.024896
0.199078,0.010011,0.007786,-0.012539,0.014760
0.209037,0.009959,0.019757,0.023374,0.030606
0.219029,0.009993,-0.018550,0.001826,0.018640
0.229048,0.010019,0.018560,0.001826,0.018650
0.239036,0.009988,0.023349,0.012600,0.026531
0.249078,0.010041,0.012575,-0.006553,0.014180
0.259045,0.009968,-0.000593,-0.008948,0.008967
0.269145,0.010099,-0.012564,0.038936,0.040913
0.279047,0.009902,0.018560,0.022177,0.028919
0.289077,0.010030,0.000604,-0.008948,0.008968
0.299073,0.009996,0.022151,-0.019721,0.029658
0.309032,0.009959,0.019757,0.003023,0.019987
0.319068,0.010036,0.010180,0.025768,0.027706
0.329086,0.010018,-0.008973,-0.020919,0.022762
0.339074,0.009987,-0.006579,0.006615,0.009329
0.349072,0.009999,-0.004185,0.014994,0.015567
0.359043,0.009970,-0.004185,0.012600,0.013277
0.369061,0.010019,-0.004185,0.022177,0.022568
0.379042,0.009980,0.010180,-0.022116,0.024346
0.389047,0.010006,0.008983,-0.048452,0.049278
0.399039,0.009991,0.010180,-0.014933,0.018073
0.409035,0.009996,0.023349,0.022177,0.032202
0.419223,0.010188,0.008983,0.013797,0.016464
0.429203,0.009980,0.011378,-0.005356,0.012575
0.439157,0.009954,0.025743,-0.010145,0.027670
0.449078,0.009921,-0.013762,0.004221,0.014394
0.459041,0.009964,0.016166,0.022177,0.027444
0.469076,0.010035,0.001801,0.009009,0.009187
0.479051,0.009974,0.007786,-0.011342,0.013757
0.489103,0.010052,0.007786,0.046119,0.046772
0.499061,0.009959,-0.000593,-0.007750,0.007773
0.509100,0.010039,0.012575,0.005418,0.013692
0.519085,0.009985,0.006589,-0.019721,0.020793
0.529346,0.010261,-0.005382,-0.002962,0.006143
0.539104,0.009759,0.000604,-0.038875,0.038880
0.549078,0.009973,-0.013762,-0.014933,0.020307
0.559042,0.009964,-0.011367,0.022177,0.024921
0.569071,0.010029,0.007786,0.013797,0.015843
0.579612,0.010541,0.026940,-0.016130,0.031400
0.589255,0.009643,0.014969,-0.006553,0.016341
0.599077,0.009822,0.023349,-0.010145,0.025457
0.609100,0.010023,-0.036506,-0.013736,0.039005
0.619198,0.010098,0.001801,-0.000568,0.001888
0.629258,0.010060,0.005392,0.001826,0.005693
0.639166,0.009907,-0.001791,0.000629,0.001898
0.649464,0.010298,0.004195,-0.065211,0.065346
0.659194,0.009730,0.005392,0.022177,0.022823
0.669104,0.009910,0.008983,0.024571,0.026162
0.679063,0.009959,0.007786,0.004221,0.008857
0.689114,0.010051,0.010180,0.023374,0.025495
0.699066,0.009952,-0.011367,0.028163,0.030370
0.709075,0.010009,-0.000593,0.013797,0.013810
0.719062,0.009987,0.002998,0.012600,0.012952
0.729062,0.010000,0.002998,0.017389,0.017645
0.739053,0.009991,-0.026930,-0.010145,0.028777
0.749076,0.010023,-0.002988,-0.002962,0.004207
0.759174,0.010098,0.000604,0.055696,0.055699
0.769101,0.009928,-0.016156,0.003023,0.016436
0.779099,0.009997,0.013772,0.024571,0.028167
0.789054,0.009956,-0.002988,0.053302,0.053385
0.799051,0.009997,-0.000593,0.025768,0.025775
0.809042,0.009991,0.007786,0.005418,0.009486
0.819038,0.009996,-0.011367,0.000629,0.011385
0.829054,0.010015,0.002998,0.019783,0.020009
0.839038,0.009984,-0.001791,-0.005356,0.005648
0.849107,0.010069,-0.005382,0.001826,0.005683
0.859107,0.010000,0.000604,0.024571,0.024579
0.869091,0.009984,0.025743,0.014994,0.029791
0.879033,0.009941,0.042502,-0.012539,0.044313
0.889076,0.010043,-0.007776,0.004221,0.008848
0.899054,0.009978,-0.008973,-0.022116,0.023867
0.909076,0.010022,0.002998,-0.000568,0.003051
0.919027,0.009951,0.001801,-0.002962,0.003466
0.929046,0.010019,0.016166,-0.029298,0.033462
0.939039,0.009993,0.030531,0.000629,0.030538
0.949071,0.010032,0.007786,-0.028101,0.029160
0.959069,0.009998,-0.008973,0.016192,0.018512
0.969029,0.009960,-0.019747,0.026965,0.033423
0.979077,0.010047,0.000604,0.011403,0.011419
0.989073,0.009996,0.007786,-0.000568,0.007807
0.999597,0.010524,0.037714,-0.010145,0.039054
1.009684,0.010087,-0.011367,0.050907,0.052161
1.019252,0.009569,-0.011367,0.007812,0.013793
1.029562,0.010309,0.008983,-0.036481,0.037571
1.039179,0.009617,-0.006579,-0.054437,0.054834
1.049068,0.009890,-0.013762,-0.032890,0.035653
1.058971,0.009902,-0.026930,-0.019721,0.033379
1.069442,0.010471,-0.011367,0.012600,0.016970
1.079332,0.009890,0.025743,0.024571,0.035587
1.089279,0.009947,0.016166,0.023374,0.028420
1.099077,0.009799,0.004195,-0.035284,0.035532
1.109124,0.010047,0.006589,0.043725,0.044219
1.119274,0.010149,-0.012564,-0.011342,0.016926
1.129457,0.010183,-0.007776,0.012600,0.014807
1.139312,0.009855,0.012575,0.006615,0.014208
1.149155,0.009843,-0.017353,0.035345,0.039375
1.159218,0.010063,0.012575,0.040134,0.042057
1.169274,0.010056,-0.001791,-0.022116,0.022188
1.179330,0.010056,-0.001791,-0.001765,0.002514
1.189157,0.009827,0.026940,0.035345,0.044441
1.199119,0.009961,-0.004185,0.018586,0.019051
1.209094,0.009975,-0.016156,0.005418,0.017040
1.219065,0.009972,-0.007776,0.050907,0.051498
1.229104,0.010039,0.006589,0.012600,0.014219
1.239058,0.009954,0.028137,0.035345,0.045177
1.249132,0.010073,-0.001791,0.036542,0.036586
1.259071,0.009940,0.002998,-0.044861,0.044961
1.269104,0.010033,-0.013762,-0.029298,0.032369
1.279073,0.009969,-0.000593,-0.010145,0.010162
1.289164,0.010091,0.017363,0.014994,0.022941
1.299089,0.009925,-0.001791,-0.007750,0.007955
1.309143,0.010054,0.006589,0.031754,0.032430
1.319075,0.009932,0.002998,0.003023,0.004258
1.329100,0.010025,0.005392,0.034148,0.034571
1.339061,0.009961,-0.023338,0.020980,0.031382
