t_s,dt_s,ax_dynamic,vel_x,az_dynamic,accel_xz_magnitude,cur_left_a,cur_right_a,cur_total_a
0.000000,0.000000,0.007741,0.000000,0.019808,0.021267,0.0000,0.0000,0.0000
0.010038,0.010038,0.010135,0.000102,0.059313,0.060172,0.0000,0.0000,0.0000
0.019948,0.009910,-0.011413,-0.000011,0.001852,0.011562,0.0000,0.0000,0.0000
0.030052,0.010104,-0.020989,-0.000223,0.001852,0.021071,0.0000,0.0000,0.0000
0.039932,0.009880,0.006544,-0.000159,-0.017302,0.018498,0.0000,0.0000,0.0000
0.049970,0.010038,0.013726,-0.000021,-0.016105,0.021161,0.0000,0.0000,0.0000
0.059956,0.009986,0.012529,0.000104,-0.029273,0.031841,0.0000,0.0000,0.0000
0.069973,0.010017,0.005347,0.000158,-0.004134,0.006758,0.0000,0.0000,0.0000
0.079930,0.009957,-0.031763,-0.000159,-0.014908,0.035088,0.0000,0.0000,0.0000
0.089972,0.010042,-0.000639,-0.000165,-0.006528,0.006559,0.0000,0.0000,0.0000
0.099924,0.009952,0.000558,-0.000159,-0.004134,0.004171,0.0000,0.0000,0.0000
0.109989,0.010065,-0.005427,-0.000214,-0.001739,0.005699,0.0000,0.0000,0.0000
0.119925,0.009936,0.006544,-0.000149,-0.019696,0.020755,0.0000,0.0000,0.0000
0.130042,0.010117,-0.015004,-0.000301,0.040159,0.042870,0.0000,0.0000,0.0000
0.139863,0.009821,0.002953,-0.000272,-0.050821,0.050906,0.0000,0.0000,0.0000
0.150005,0.010142,0.020909,-0.000060,-0.193276,0.194403,0.0000,0.0000,0.0000
0.159920,0.009915,-0.030566,-0.000363,0.091634,0.096598,0.0000,0.0000,0.0000
0.170027,0.010107,-0.034158,-0.000708,0.151490,0.155293,0.0000,0.0000,0.0000
0.179937,0.009910,-0.011413,-0.000821,-0.210035,0.210345,0.0000,0.0000,0.0000
0.190028,0.010091,0.031683,-0.000501,-0.063989,0.071403,0.0000,0.0000,0.0000
0.199943,0.009915,0.022106,-0.000282,0.202965,0.204165,0.0000,0.0000,0.0000
0.210024,0.010081,0.029289,0.000013,-0.104690,0.108710,0.0000,0.0000,0.0000
0.219926,0.009902,-0.024581,-0.000230,-0.074763,0.078700,0.0000,0.0000,0.0000
0.230063,0.010137,0.005347,-0.000176,0.061707,0.061938,0.0000,0.0000,0.0000
0.239954,0.009891,0.043654,0.000256,-0.062792,0.076475,0.0000,0.0000,0.0000
0.249996,0.010042,0.012529,0.000381,0.068890,0.070020,0.0000,0.0000,0.0000
0.259944,0.009948,-0.015004,0.000232,-0.035258,0.038318,0.0000,0.0000,0.0000
