t_s,dt_s,az_raw,az_dynamic,vel_z,disp_z
0.000000,0.000000,9.708488,0.033606,0.000000,0.000000
0.009909,0.009909,9.674969,0.000087,0.000001,0.000000
0.019946,0.010037,9.660604,-0.014278,-0.000142,-0.000001
0.029866,0.009920,9.658209,-0.016672,-0.000308,-0.000004
0.039965,0.010099,9.672575,-0.002307,-0.000331,-0.000008
0.049837,0.009873,9.682152,0.007270,-0.000259,-0.000010
0.059905,0.010068,9.659407,-0.015475,-0.000415,-0.000015
0.069836,0.009931,9.677363,0.002482,-0.000391,-0.000018
0.079924,0.010088,9.702502,0.027621,-0.000112,-0.000020
0.089847,0.009923,9.680954,0.006073,-0.000052,-0.000020
0.099919,0.010072,9.664195,-0.010687,-0.000159,-0.000022
0.109866,0.009947,9.662998,-0.011884,-0.000277,-0.000024
0.119929,0.010063,9.624691,-0.050191,-0.000783,-0.000032
0.129832,0.009903,9.672575,-0.002307,-0.000805,-0.000040
0.139954,0.010122,9.722853,0.047971,-0.000320,-0.000044
0.149884,0.009930,9.696517,0.021635,-0.000105,-0.000045
0.159929,0.010046,9.672575,-0.002307,-0.000128,-0.000046
0.169862,0.009932,9.689334,0.014453,0.000015,-0.000046
0.179909,0.010047,9.678560,0.003679,0.000052,-0.000045
0.189844,0.009935,9.652224,-0.022658,-0.000173,-0.000047
0.199921,0.010077,9.642647,-0.032234,-0.000498,-0.000052
0.209867,0.009946,9.621099,-0.053782,-0.001032,-0.000062
0.219935,0.010068,9.732430,0.057548,-0.000453,-0.000067
0.229838,0.009902,9.634267,-0.040614,-0.000855,-0.000075
0.239961,0.010124,9.670181,-0.004701,-0.000903,-0.000084
0.249851,0.009890,9.649830,-0.025052,-0.001151,-0.000096
0.259925,0.010073,9.678560,0.003679,-0.001114,-0.000107
0.269843,0.009919,9.673772,-0.001110,-0.001125,-0.000118
0.279979,0.010136,9.690531,0.015650,-0.000966,-0.000128
0.289838,0.009858,9.678560,0.003679,-0.000930,-0.000137
0.299935,0.010098,9.655815,-0.019066,-0.001122,-0.000148
0.309831,0.009896,9.674969,0.000087,-0.001121,-0.000159
0.319940,0.010109,9.671378,-0.003504,-0.001157,-0.000171
0.329838,0.009898,9.703699,0.028818,-0.000872,-0.000180
0.339965,0.010128,9.720459,0.045577,-0.000410,-0.000184
0.349870,0.009905,9.639056,-0.035826,-0.000765,-0.000192
0.359917,0.010047,9.680954,0.006073,-0.000704,-0.000199
0.369852,0.009935,9.688137,0.013256,-0.000572,-0.000204
0.379925,0.010072,9.706094,0.031212,-0.000258,-0.000207
0.389838,0.009913,9.713276,0.038395,0.000123,-0.000206
0.399918,0.010080,9.641450,-0.033431,-0.000214,-0.000208
0.409845,0.009927,9.684546,0.009664,-0.000118,-0.000209
0.419947,0.010102,9.698911,0.024029,0.000125,-0.000208
0.429847,0.009900,9.695320,0.020438,0.000327,-0.000204
0.439967,0.010120,9.691728,0.016847,0.000497,-0.000199
0.449840,0.009873,9.660604,-0.014278,0.000356,-0.000196
0.459920,0.010080,9.701305,0.026424,0.000623,-0.000190
0.469868,0.009947,9.680954,0.006073,0.000683,-0.000183
0.479906,0.010039,9.659407,-0.015475,0.000528,-0.000178
0.489827,0.009921,9.634267,-0.040614,0.000125,-0.000176
0.499911,0.010084,9.686940,0.012058,0.000247,-0.000174
0.509858,0.009946,9.659407,-0.015475,0.000093,-0.000173
0.519916,0.010058,9.676166,0.001285,0.000106,-0.000172
0.529842,0.009926,9.651027,-0.023855,-0.000131,-0.000173
0.539969,0.010126,9.664195,-0.010687,-0.000239,-0.000176
0.549843,0.009875,9.698911,0.024029,-0.000002,-0.000176
0.559913,0.010070,9.682152,0.007270,0.000071,-0.000175
0.569861,0.009948,9.714473,0.039592,0.000465,-0.000170
0.579908,0.010047,9.696517,0.021635,0.000682,-0.000163
0.589849,0.009941,9.662998,-0.011884,0.000564,-0.000158
0.599907,0.010057,9.707291,0.032409,0.000890,-0.000149
0.609865,0.009959,9.662998,-0.011884,0.000772,-0.000141
0.619925,0.010060,9.647436,-0.027446,0.000496,-0.000136
0.629830,0.009904,9.685743,0.010861,0.000603,-0.000130
0.639973,0.010144,9.686940,0.012058,0.000725,-0.000123
0.649867,0.009893,9.648633,-0.026249,0.000466,-0.000118
0.659917,0.010051,9.635465,-0.039417,0.000070,-0.000118
0.669846,0.009929,9.674969,0.000087,0.000071,-0.000117
0.679920,0.010074,9.668983,-0.005898,0.000011,-0.000117
0.689849,0.009928,9.665392,-0.009489,-0.000083,-0.000118
0.699927,0.010078,9.677363,0.002482,-0.000058,-0.000118
0.709848,0.009921,9.696517,0.021635,0.000157,-0.000117
0.719930,0.010082,9.703699,0.028818,0.000447,-0.000112
0.729867,0.009938,9.665392,-0.009489,0.000353,-0.000109
0.739992,0.010125,9.648633,-0.026249,0.000087,-0.000108
0.749843,0.009851,9.657012,-0.017869,-0.000089,-0.000109
0.759907,0.010064,9.654618,-0.020263,-0.000293,-0.000112
0.769844,0.009937,9.668983,-0.005898,-0.000352,-0.000115
0.779920,0.010076,9.702502,0.027621,-0.000073,-0.000116
0.789831,0.009912,9.715670,0.040789,0.000331,-0.000112
0.799911,0.010080,9.701305,0.026424,0.000597,-0.000106
0.809914,0.010002,9.691728,0.016847,0.000766,-0.000099
0.819926,0.010012,9.611523,-0.063359,0.000132,-0.000097
0.829896,0.009971,9.734824,0.059942,0.000729,-0.000090
0.839981,0.010084,9.674969,0.000087,0.000730,-0.000083
0.849868,0.009887,9.734824,0.059942,0.001323,-0.000070
