t_s,dt_s,ax_dynamic,az_dynamic,accel_xz_magnitude
0.000000,0.000000,0.220246,-0.025512,0.221719
0.009909,0.009909,0.293269,-0.063819,0.300133
0.019768,0.009859,-0.019174,0.037934,0.042505
0.029551,0.009783,-0.165220,-0.029103,0.167764
0.039575,0.010024,0.129266,-0.206274,0.243431
0.049505,0.009930,0.152011,0.082227,0.172826
0.059927,0.010422,-0.144870,0.210317,0.255383
0.069621,0.009694,-0.111351,-0.094944,0.146333
0.079614,0.009993,0.192713,-0.026709,0.194555
0.089653,0.010039,0.099339,0.037934,0.106335
0.099902,0.010248,-0.065861,0.011598,0.066874
0.109888,0.009987,-0.117336,-0.221837,0.250957
0.119809,0.009921,0.142434,0.000824,0.142437
0.129897,0.010088,0.074200,0.049905,0.089421
0.139823,0.009926,-0.141278,0.110957,0.179642
0.149689,0.009866,0.050258,-0.087761,0.101133
0.159635,0.009946,0.221443,-0.181135,0.286089
0.169587,0.009951,-0.015583,0.289325,0.289745
0.179634,0.010048,-0.035934,0.047511,0.059569
0.189718,0.010084,0.136449,0.053497,0.146561
0.199656,0.009938,0.275313,-0.329576,0.429438
0.209652,0.009996,0.076594,0.053497,0.093426
0.220023,0.010371,-0.225076,0.072650,0.236510
0.229668,0.009645,0.171165,0.067862,0.184127
0.239754,0.010086,0.053849,-0.055440,0.077287
0.249498,0.009744,-0.087409,-0.060228,0.106150
0.259548,0.010050,-0.099380,0.009204,0.099805
0.269599,0.010051,0.180742,0.067862,0.193062
0.279557,0.009958,-0.022765,-0.041074,0.046961
0.289484,0.009926,-0.118534,0.015189,0.119503
0.299598,0.010114,0.076594,-0.114098,0.137422
0.309747,0.010149,0.208275,-0.021921,0.209425
0.320643,0.010896,-0.095789,0.249821,0.267556
0.329999,0.009356,0.148420,0.009204,0.148705
0.339677,0.009678,0.086171,-0.237399,0.252554
0.349549,0.009872,-0.037131,-0.082973,0.090902
0.359565,0.010016,-0.108957,-0.021921,0.111140
0.369646,0.010081,0.087368,0.021175,0.089897
0.379575,0.009930,-0.146067,-0.005161,0.146158
0.389558,0.009982,-0.173600,0.160039,0.236113
0.399624,0.010066,0.032301,-0.060228,0.068343
0.409528,0.009904,0.046666,0.018781,0.050304
0.419594,0.010066,-0.171206,-0.037483,0.175261
0.429532,0.009938,0.068214,-0.065016,0.094235
0.439560,0.010029,0.128069,-0.053045,0.138620
0.449624,0.010064,-0.086212,0.126520,0.153100
0.459701,0.010077,0.237005,-0.005161,0.237062
0.469591,0.009890,0.160391,-0.146419,0.217172
0.479568,0.009978,-0.144870,0.093001,0.172152
0.489778,0.010210,-0.026357,-0.035089,0.043885
0.499683,0.009905,0.143632,-0.157193,0.212931
0.509546,0.009863,-0.355559,-0.001570,0.355563
0.519503,0.009957,0.107719,-0.110506,0.154321
0.529415,0.009912,0.070608,-0.085367,0.110784
0.539832,0.010417,-0.137687,0.101381,0.170985
0.550088,0.010257,0.113704,-0.146419,0.185384
0.559587,0.009499,0.237005,-0.138040,0.274274
0.569517,0.009930,-0.123322,0.081030,0.147561
0.579434,0.009917,-0.071847,-0.063819,0.096098
0.589404,0.009969,0.271721,-0.049454,0.276185
0.599570,0.010167,-0.122125,-0.085367,0.149003
0.609565,0.009995,-0.110154,0.331224,0.349060
0.619591,0.010026,-0.009597,0.067862,0.068537
0.629521,0.009929,-0.256200,0.223485,0.339976
0.639585,0.010065,-0.447736,0.077439,0.454384
0.649523,0.009938,-0.063467,-0.003964,0.063591
0.659536,0.010013,-0.189162,-0.002767,0.189183
0.669529,0.009993,-0.117336,0.140885,0.183348
0.679715,0.010186,0.129266,0.021175,0.130989
0.689730,0.010015,-0.126913,0.013992,0.127682
0.699707,0.009976,-0.102971,0.127717,0.164057
0.709525,0.009818,0.317211,-0.221837,0.387085
0.719581,0.010056,-0.051496,-0.172756,0.180267
0.729493,0.009912,-0.064664,0.404247,0.409386
0.739774,0.010281,0.179545,0.107366,0.209198
0.749590,0.009816,-0.290916,0.115746,0.313096
