t_s,dt_s,az_raw,az_dynamic,vel_z,disp_z
0.000000,0.000000,9.662998,-0.012410,0.000000,0.000000
0.010013,0.010013,9.653421,-0.021987,-0.000220,-0.000002
0.020002,0.009989,9.672575,-0.002833,-0.000248,-0.000005
0.030051,0.010049,9.628282,-0.047126,-0.000722,-0.000012
0.040041,0.009990,9.696517,0.021109,-0.000511,-0.000017
0.050070,0.010029,9.673772,-0.001636,-0.000528,-0.000022
0.060009,0.009939,9.685743,0.010335,-0.000425,-0.000027
0.070199,0.010190,9.658209,-0.017198,-0.000600,-0.000033
0.080035,0.009835,9.713276,0.037868,-0.000228,-0.000035
0.090023,0.009988,9.745598,0.070190,0.000473,-0.000030
0.100012,0.009989,9.738415,0.063007,0.001103,-0.000019
0.110194,0.010182,9.629479,-0.045929,0.000635,-0.000013
0.119995,0.009801,9.679757,0.004349,0.000678,-0.000006
0.130050,0.010055,9.660604,-0.014804,0.000529,-0.000001
0.140013,0.009963,9.677363,0.001955,0.000548,0.000005
0.150033,0.010020,9.649830,-0.025578,0.000292,0.000008
0.159997,0.009964,9.694123,0.018715,0.000479,0.000012
0.170190,0.010193,9.649830,-0.025578,0.000218,0.000015
0.180044,0.009854,9.672575,-0.002833,0.000190,0.000017
0.190037,0.009993,9.622296,-0.053111,-0.000341,0.000013
0.199992,0.009955,9.715670,0.040262,0.000060,0.000014
0.210024,0.010031,9.668983,-0.006425,-0.000004,0.000014
0.220164,0.010140,9.734824,0.059416,0.000598,0.000020
0.230016,0.009852,9.688137,0.012729,0.000723,0.000027
0.240051,0.010035,9.712079,0.036671,0.001091,0.000038
0.250021,0.009970,9.591172,-0.084236,0.000252,0.000040
0.259999,0.009978,9.709685,0.034277,0.000594,0.000046
0.270169,0.010170,9.664195,-0.011213,0.000480,0.000051
0.280009,0.009839,9.598354,-0.077054,-0.000279,0.000048
0.290038,0.010029,9.625888,-0.049520,-0.000775,0.000041
0.300000,0.009963,9.621099,-0.054309,-0.001316,0.000027
0.310083,0.010083,9.692925,0.017517,-0.001140,0.000016
0.320083,0.010000,9.695320,0.019912,-0.000941,0.000007
0.330026,0.009943,9.666589,-0.008819,-0.001028,-0.000004
0.339995,0.009968,9.598354,-0.077054,-0.001796,-0.000022
0.350031,0.010037,9.655815,-0.019593,-0.001993,-0.000042
0.360078,0.010047,9.666589,-0.008819,-0.002082,-0.000062
0.370177,0.010099,9.673772,-0.001636,-0.002098,-0.000084
0.380023,0.009846,9.659407,-0.016001,-0.002256,-0.000106
0.390022,0.009999,9.696517,0.021109,-0.002045,-0.000126
0.400005,0.009984,9.706094,0.030686,-0.001738,-0.000144
0.410021,0.010016,9.682152,0.006744,-0.001671,-0.000160
0.420016,0.009995,9.690531,0.015123,-0.001520,-0.000176
0.430045,0.010029,9.734824,0.059416,-0.000924,-0.000185
0.440016,0.009970,9.704896,0.029488,-0.000630,-0.000191
0.450035,0.010019,9.640253,-0.035155,-0.000982,-0.000201
0.460006,0.009972,9.609128,-0.066280,-0.001643,-0.000217
0.470182,0.010175,9.686940,0.011532,-0.001525,-0.000233
0.480063,0.009881,9.673772,-0.001636,-0.001542,-0.000248
0.490021,0.009958,9.700108,0.024700,-0.001296,-0.000261
0.500493,0.010472,9.635465,-0.039943,-0.001714,-0.000279
0.510007,0.009514,9.671378,-0.004030,-0.001752,-0.000296
0.519989,0.009981,9.627085,-0.048323,-0.002235,-0.000318
0.530063,0.010075,9.686940,0.011532,-0.002118,-0.000339
0.540000,0.009937,9.685743,0.010335,-0.002016,-0.000359
0.550032,0.010032,9.730036,0.054628,-0.001468,-0.000374
0.559995,0.009963,9.667786,-0.007622,-0.001544,-0.000389
0.570176,0.010181,9.679757,0.004349,-0.001499,-0.000405
0.580037,0.009861,9.651027,-0.024381,-0.001740,-0.000422
0.590041,0.010004,9.695320,0.019912,-0.001541,-0.000437
0.600028,0.009987,9.697714,0.022306,-0.001318,-0.000450
0.610041,0.010013,9.700108,0.024700,-0.001070,-0.000461
0.620028,0.009987,9.657012,-0.018396,-0.001254,-0.000474
0.630025,0.009997,9.623494,-0.051914,-0.001773,-0.000491
0.639999,0.009974,9.667786,-0.007622,-0.001849,-0.000510
0.650033,0.010034,9.700108,0.024700,-0.001601,-0.000526
0.659986,0.009953,9.649830,-0.025578,-0.001856,-0.000544
0.670203,0.010217,9.634267,-0.041140,-0.002276,-0.000568
0.680012,0.009809,9.661801,-0.013607,-0.002410,-0.000591
0.690050,0.010037,9.613917,-0.061491,-0.003027,-0.000622
0.700048,0.009998,9.589975,-0.085433,-0.003881,-0.000660
0.710031,0.009983,9.664195,-0.011213,-0.003993,-0.000700
0.719991,0.009960,9.679757,0.004349,-0.003950,-0.000740
0.730025,0.010034,9.703699,0.028291,-0.003666,-0.000776
0.740039,0.010014,9.701305,0.025897,-0.003407,-0.000811
0.750070,0.010031,9.668983,-0.006425,-0.003471,-0.000845
0.760021,0.009951,9.692925,0.017517,-0.003297,-0.000878
0.770187,0.010165,9.697714,0.022306,-0.003070,-0.000909
0.780034,0.009847,9.713276,0.037868,-0.002697,-0.000936
0.790033,0.009999,9.637859,-0.037549,-0.003072,-0.000967
0.799996,0.009963,9.625888,-0.049520,-0.003566,-0.001002
0.810031,0.010035,9.700108,0.024700,-0.003318,-0.001035
0.820005,0.009974,9.646238,-0.029169,-0.003609,-0.001071
0.830048,0.010044,9.708488,0.033080,-0.003277,-0.001104
0.840038,0.009990,9.692925,0.017517,-0.003102,-0.001135
0.850218,0.010180,9.694123,0.018715,-0.002911,-0.001165
0.859986,0.009768,9.674969,-0.000439,-0.002915,-0.001193
0.870707,0.010721,9.651027,-0.024381,-0.003177,-0.001228
