t_s,dt_s,ax_dynamic,az_dynamic,accel_xz_magnitude
0.000000,0.000000,0.037777,-0.020378,0.042923
0.009876,0.009876,-0.022078,0.019126,0.029210
0.019799,0.009924,0.000667,0.061025,0.061028
0.029860,0.010060,0.018623,-0.022772,0.029418
0.039934,0.010075,-0.002924,-0.020378,0.020587
0.049747,0.009812,0.013835,0.043068,0.045236
0.059671,0.009925,0.006652,-0.006013,0.008967
0.069998,0.010327,0.024609,0.033491,0.041561
0.079985,0.009987,0.017426,0.009549,0.019871
0.089710,0.009725,-0.008910,-0.008407,0.012250
0.099687,0.009977,-0.046020,-0.058685,0.074578
0.109669,0.009981,0.023412,0.090952,0.093917
0.119687,0.010018,-0.006516,0.038280,0.038830
0.129762,0.010075,-0.017290,0.033491,0.037691
0.139679,0.009917,-0.006516,-0.028758,0.029487
0.149710,0.010031,-0.010107,0.068207,0.068952
0.159666,0.009956,-0.023275,-0.015590,0.028014
0.169663,0.009997,0.009047,-0.037137,0.038223
0.179667,0.010005,-0.023275,0.040674,0.046863
0.189661,0.009994,-0.020881,0.005958,0.021714
0.199630,0.009969,-0.000530,-0.047911,0.047914
0.209671,0.010040,0.016229,0.040674,0.043792
0.219634,0.009963,0.004258,0.019126,0.019595
0.229713,0.010079,-0.014895,-0.010801,0.018399
0.239673,0.009960,0.000667,0.033491,0.033498
0.249672,0.009999,0.011441,0.039477,0.041101
0.259629,0.009957,0.005455,0.004761,0.007241
0.269697,0.010068,0.001864,0.016732,0.016836
0.279658,0.009961,-0.006516,-0.029955,0.030655
0.289899,0.010240,0.001864,-0.049109,0.049144
0.299774,0.009876,0.012638,0.009549,0.015840
0.309685,0.009911,-0.000530,0.025112,0.025117
0.319924,0.010239,0.000667,-0.035940,0.035947
0.329863,0.009938,0.023412,0.032294,0.039888
0.339795,0.009932,0.035383,-0.011998,0.037362
0.349840,0.010046,0.029397,-0.034743,0.045512
0.359793,0.009953,-0.013698,0.028703,0.031804
0.369905,0.010112,0.004258,0.040674,0.040896
0.379792,0.009887,-0.013698,0.028703,0.031804
0.389846,0.010054,-0.017290,-0.050306,0.053194
0.399730,0.009884,-0.002924,-0.019181,0.019403
0.409711,0.009981,-0.005319,0.029900,0.030369
0.419858,0.010148,-0.023275,0.015535,0.027983
0.429809,0.009950,0.000667,0.007155,0.007186
0.439710,0.009902,0.010244,0.028703,0.030476
0.449704,0.009994,0.023412,-0.047911,0.053326
0.459677,0.009972,-0.008910,-0.002422,0.009233
0.469670,0.009993,-0.030458,0.068207,0.074699
0.479668,0.009998,0.006652,-0.003619,0.007573
0.489665,0.009997,-0.000530,-0.021575,0.021582
0.499707,0.010041,-0.011304,0.014338,0.018258
0.509677,0.009971,-0.006516,-0.059882,0.060236
0.519681,0.010004,-0.016093,-0.014393,0.021590
0.529729,0.010047,-0.010107,0.014338,0.017542
0.539641,0.009912,0.001864,0.038280,0.038325
0.549760,0.010119,0.005455,0.019126,0.019889
0.559658,0.009898,0.013835,-0.013195,0.019119
0.569674,0.010016,0.007850,0.044265,0.044956
0.579617,0.009943,-0.016093,0.021520,0.026872
0.589664,0.010047,-0.012501,-0.053897,0.055328
0.599626,0.009962,-0.019684,0.027506,0.033824
0.609650,0.010024,0.009047,0.039477,0.040500
0.619627,0.009977,0.013835,0.020323,0.024585
0.629726,0.010099,0.030594,-0.039532,0.049988
0.639632,0.009906,0.012638,0.025112,0.028113
0.649678,0.010046,0.015032,0.013141,0.019966
0.659644,0.009966,-0.030458,-0.004816,0.030836
0.669686,0.010041,0.025806,0.010747,0.027954
0.679677,0.009991,-0.004121,0.028703,0.028997
0.689666,0.009989,-0.012501,0.010747,0.016485
0.699644,0.009978,-0.006516,-0.001224,0.006630
0.709675,0.010032,-0.000530,0.013141,0.013151
0.719652,0.009977,-0.017290,0.023915,0.029510
0.729724,0.010072,0.015032,-0.033546,0.036760
0.739666,0.009942,-0.046020,0.007155,0.046573
0.749704,0.010038,-0.007713,0.037083,0.037876
0.759662,0.009958,-0.034049,0.014338,0.036945
0.769680,0.010018,0.001864,0.038280,0.038325
0.779650,0.009970,0.013835,-0.020378,0.024631
0.789654,0.010004,-0.026866,0.008352,0.028135
0.799669,0.010015,-0.001727,0.034689,0.034732
0.809768,0.010099,0.004258,-0.001224,0.004431
0.819778,0.010010,-0.022078,-0.027561,0.035313
0.829828,0.010049,-0.020881,-0.031152,0.037503
0.839766,0.009938,-0.004121,-0.020378,0.020791
0.849789,0.010023,-0.011304,-0.004816,0.012287
0.859864,0.010075,0.027003,0.008352,0.028265
0.869820,0.009955,0.005455,-0.016787,0.017651
0.879664,0.009845,0.015032,0.003564,0.015449
0.889711,0.010047,-0.012501,0.032294,0.034630
0.899680,0.009968,0.000667,0.056236,0.056240
0.909698,0.010018,-0.014895,0.003564,0.015316
0.919661,0.009963,0.001864,0.027506,0.027569
0.929785,0.010124,-0.012501,0.032294,0.034630
0.939681,0.009896,-0.025669,-0.013195,0.028862
0.949701,0.010020,0.017426,-0.002422,0.017594
0.959716,0.010015,-0.006516,-0.004816,0.008102
0.969688,0.009972,-0.010107,0.001170,0.010174
0.979664,0.009976,0.032989,-0.031152,0.045373
0.989691,0.010026,0.005455,0.008352,0.009976
0.999813,0.010122,0.032989,0.032294,0.046165
1.009696,0.009883,-0.010107,-0.032349,0.033891
1.019685,0.009989,0.011441,-0.062277,0.063319
1.029930,0.010245,0.031792,-0.026364,0.041301
1.039545,0.009615,-0.032852,0.053842,0.063073
1.049556,0.010011,0.009047,0.020323,0.022246
1.059799,0.010243,0.005455,0.002367,0.005947
1.069874,0.010075,0.019821,0.001170,0.019855
1.079691,0.009816,0.022215,0.035886,0.042205
1.089636,0.009945,-0.022078,-0.037137,0.043205
1.099577,0.009941,-0.001727,0.028703,0.028755
1.109596,0.010019,0.019821,-0.008407,0.021530
1.119558,0.009962,-0.008910,0.004761,0.010102
1.129777,0.010219,-0.024472,-0.045517,0.051679
1.139701,0.009924,-0.005319,0.015535,0.016420
1.149718,0.010017,-0.005319,0.019126,0.019852
1.159698,0.009979,0.006652,-0.043123,0.043633
1.169678,0.009981,0.007850,0.001170,0.007936
1.179718,0.010040,-0.001727,-0.013195,0.013308
1.189675,0.009957,0.004258,-0.034743,0.035003
1.199706,0.010031,0.006652,0.027506,0.028299
1.209671,0.009965,0.015032,-0.047911,0.050214
1.219766,0.010095,-0.001727,-0.027561,0.027615
1.229746,0.009981,-0.008910,0.015535,0.017909
1.239651,0.009905,0.000667,-0.000027,0.000667
1.249690,0.010038,-0.022078,-0.003619,0.022373
1.259644,0.009954,0.009047,0.055039,0.055778
1.269713,0.010069,0.018623,0.038280,0.042570
1.279656,0.009943,-0.016093,0.029900,0.033956
1.289712,0.010056,0.011441,-0.007210,0.013523
1.299614,0.009902,-0.022078,-0.004816,0.022597
1.309669,0.010055,0.006652,0.015535,0.016899
1.319635,0.009966,-0.024472,-0.023969,0.034255
1.329806,0.010171,0.025806,0.002367,0.025914
1.339831,0.010025,0.018623,0.020323,0.027566
