t_s,dt_s,az_raw,az_dynamic,vel_z,disp_z
0.000000,0.000000,9.659407,-0.025512,0.000000,0.000000
0.009909,0.009909,9.621099,-0.063819,-0.000632,-0.000006
0.019768,0.009859,9.722853,0.037934,-0.000258,-0.000009
0.029551,0.009783,9.655815,-0.029103,-0.000543,-0.000014
0.039575,0.010024,9.478644,-0.206274,-0.002611,-0.000040
0.049505,0.009930,9.767146,0.082227,-0.001794,-0.000058
0.059927,0.010422,9.895235,0.210317,0.000398,-0.000054
0.069621,0.009694,9.589975,-0.094944,-0.000523,-0.000059
0.079614,0.009993,9.658209,-0.026709,-0.000789,-0.000067
0.089653,0.010039,9.722853,0.037934,-0.000409,-0.000071
0.099902,0.010248,9.696517,0.011598,-0.000290,-0.000074
0.109888,0.009987,9.463082,-0.221837,-0.002505,-0.000099
0.119809,0.009921,9.685743,0.000824,-0.002497,-0.000124
0.129897,0.010088,9.734824,0.049905,-0.001994,-0.000144
0.139823,0.009926,9.795876,0.110957,-0.000892,-0.000153
0.149689,0.009866,9.597157,-0.087761,-0.001758,-0.000170
0.159635,0.009946,9.503783,-0.181135,-0.003560,-0.000206
0.169587,0.009951,9.974244,0.289325,-0.000681,-0.000212
0.179634,0.010048,9.732430,0.047511,-0.000203,-0.000214
0.189718,0.010084,9.738415,0.053497,0.000336,-0.000211
0.199656,0.009938,9.355343,-0.329576,-0.002939,-0.000240
0.209652,0.009996,9.738415,0.053497,-0.002404,-0.000264
0.220023,0.010371,9.757569,0.072650,-0.001651,-0.000281
0.229668,0.009645,9.752780,0.067862,-0.000996,-0.000291
0.239754,0.010086,9.629479,-0.055440,-0.001555,-0.000307
0.249498,0.009744,9.624691,-0.060228,-0.002142,-0.000327
0.259548,0.010050,9.694123,0.009204,-0.002050,-0.000348
0.269599,0.010051,9.752780,0.067862,-0.001368,-0.000362
0.279557,0.009958,9.643844,-0.041074,-0.001777,-0.000379
0.289484,0.009926,9.700108,0.015189,-0.001626,-0.000396
0.299598,0.010114,9.570821,-0.114098,-0.002780,-0.000424
0.309747,0.010149,9.662998,-0.021921,-0.003002,-0.000454
0.320643,0.010896,9.934740,0.249821,-0.000280,-0.000457
0.329999,0.009356,9.694123,0.009204,-0.000194,-0.000459
0.339677,0.009678,9.447520,-0.237399,-0.002492,-0.000483
0.349549,0.009872,9.601946,-0.082973,-0.003311,-0.000516
0.359565,0.010016,9.662998,-0.021921,-0.003530,-0.000551
0.369646,0.010081,9.706094,0.021175,-0.003317,-0.000585
0.379575,0.009930,9.679757,-0.005161,-0.003368,-0.000618
