t_s,dt_s,az_raw,az_dynamic,vel_z,disp_z
0.000000,0.000000,9.442731,-0.019721,0.000000,0.000000
0.009557,0.009557,9.475053,0.012600,0.000120,0.000001
0.019196,0.009639,9.458294,-0.004159,0.000080,0.000002
0.029103,0.009907,9.487024,0.024571,0.000324,0.000005
0.039090,0.009987,9.443928,-0.018524,0.000139,0.000007
0.049097,0.010007,9.464279,0.001826,0.000157,0.000008
0.059088,0.009992,9.473856,0.011403,0.000271,0.000011
0.069069,0.009980,9.490615,0.028163,0.000552,0.000016
0.079069,0.010000,9.439140,-0.023313,0.000319,0.000019
0.089098,0.010029,9.448717,-0.013736,0.000181,0.000021
0.099223,0.010125,9.439140,-0.023313,-0.000055,0.000021
0.109094,0.009871,9.470265,0.007812,0.000022,0.000021
0.119085,0.009990,9.473856,0.011403,0.000136,0.000022
0.129030,0.009945,9.422381,-0.040072,-0.000262,0.000020
0.139058,0.010028,9.490615,0.028163,0.000020,0.000020
0.149049,0.009991,9.470265,0.007812,0.000098,0.000021
0.159061,0.010013,9.453505,-0.008948,0.000009,0.000021
0.169027,0.009966,9.446323,-0.016130,-0.000152,0.000019
0.179050,0.010023,9.437943,-0.024510,-0.000398,0.000015
0.189067,0.010017,9.458294,-0.004159,-0.000440,0.000011
0.199078,0.010011,9.449914,-0.012539,-0.000565,0.000005
0.209037,0.009959,9.485827,0.023374,-0.000332,0.000002
0.219029,0.009993,9.464279,0.001826,-0.000314,-0.000001
0.229048,0.010019,9.464279,0.001826,-0.000296,-0.000004
0.239036,0.009988,9.475053,0.012600,-0.000170,-0.000006
0.249078,0.010041,9.455899,-0.006553,-0.000236,-0.000008
0.259045,0.009968,9.453505,-0.008948,-0.000325,-0.000011
0.269145,0.010099,9.501389,0.038936,0.000068,-0.000011
0.279047,0.009902,9.484630,0.022177,0.000288,-0.000008
0.289077,0.010030,9.453505,-0.008948,0.000198,-0.000006
0.299073,0.009996,9.442731,-0.019721,0.000001,-0.000006
0.309032,0.009959,9.465476,0.003023,0.000031,-0.000005
0.319068,0.010036,9.488221,0.025768,0.000290,-0.000003
0.329086,0.010018,9.441534,-0.020919,0.000080,-0.000002
0.339074,0.009987,9.469068,0.006615,0.000146,-0.000000
0.349072,0.009999,9.477447,0.014994,0.000296,0.000003
0.359043,0.009970,9.475053,0.012600,0.000422,0.000007
0.369061,0.010019,9.484630,0.022177,0.000644,0.000013
0.379042,0.009980,9.440337,-0.022116,0.000423,0.000018
0.389047,0.010006,9.414001,-0.048452,-0.000062,0.000017
0.399039,0.009991,9.447520,-0.014933,-0.000211,0.000015
0.409035,0.009996,9.484630,0.022177,0.000011,0.000015
0.419223,0.010188,9.476250,0.013797,0.000152,0.000017
0.429203,0.009980,9.457097,-0.005356,0.000098,0.000017
0.439157,0.009954,9.452308,-0.010145,-0.000003,0.000017
0.449078,0.009921,9.466673,0.004221,0.000039,0.000018
0.459041,0.009964,9.484630,0.022177,0.000260,0.000020
0.469076,0.010035,9.471462,0.009009,0.000350,0.000024
0.479051,0.009974,9.451111,-0.011342,0.000237,0.000026
0.489103,0.010052,9.508572,0.046119,0.000701,0.000033
0.499061,0.009959,9.454702,-0.007750,0.000624,0.000040
0.509100,0.010039,9.467870,0.005418,0.000678,0.000046
0.519085,0.009985,9.442731,-0.019721,0.000481,0.000051
0.529346,0.010261,9.459491,-0.002962,0.000451,0.000056
0.539104,0.009759,9.423578,-0.038875,0.000071,0.000057
0.549078,0.009973,9.447520,-0.014933,-0.000078,0.000056
0.559042,0.009964,9.484630,0.022177,0.000143,0.000057
