t_s,dt_s,ax_dynamic,az_dynamic,accel_xz_magnitude
0.000000,0.000000,0.011223,-0.005075,0.012317
0.009880,0.009880,0.036362,0.004502,0.036640
0.019886,0.010006,0.021997,0.016473,0.027481
0.029869,0.009983,-0.007931,0.040415,0.041185
0.039849,0.009980,-0.024690,0.015275,0.029033
0.049950,0.010101,-0.005537,-0.019440,0.020214
0.059892,0.009942,-0.012719,-0.007469,0.014750
0.069847,0.009955,-0.017508,0.015275,0.023235
0.079938,0.010090,-0.006734,-0.014652,0.016125
0.089991,0.010053,-0.015113,0.035626,0.038699
0.099977,0.009986,0.011223,-0.002681,0.011539
0.109905,0.009928,0.002843,-0.045777,0.045865
0.121208,0.011303,0.006434,0.035626,0.036203
0.130810,0.009602,-0.012719,-0.015849,0.020322
0.140055,0.009245,-0.005537,-0.013455,0.014550
0.150087,0.010032,-0.003142,-0.040988,0.041109
0.159939,0.009852,0.001646,-0.009864,0.010000
0.169899,0.009960,-0.011522,-0.013455,0.017714
0.179918,0.010019,0.005237,0.002107,0.005645
0.189916,0.009998,-0.010325,0.011684,0.015592
0.199999,0.010083,-0.017508,0.027246,0.032386
0.209907,0.009908,0.018405,0.059568,0.062347
0.219899,0.009992,0.000449,-0.026623,0.026627
0.229860,0.009961,0.041150,0.006896,0.041724
0.239893,0.010033,0.017208,-0.008667,0.019268
0.249996,0.010103,0.033968,0.012881,0.036328
0.259906,0.009910,0.019603,-0.036200,0.041167
0.269899,0.009993,-0.029479,-0.013455,0.032404
0.279894,0.009995,0.013617,-0.007469,0.015531
0.289858,0.009964,-0.018705,-0.033806,0.038635
0.299962,0.010104,-0.011522,0.026049,0.028484
0.309902,0.009940,-0.000748,0.016473,0.016490
0.319879,0.009977,0.008829,-0.005075,0.010184
0.329931,0.010052,-0.012719,0.003304,0.013141
0.339898,0.009967,-0.027084,-0.014652,0.030794
0.349942,0.010045,-0.011522,0.017670,0.021094
0.359860,0.009917,-0.009128,0.016473,0.018832
0.369862,0.010002,-0.017508,-0.011061,0.020709
0.379871,0.010009,-0.003142,-0.024229,0.024432
0.389868,0.009997,-0.015113,0.027246,0.031157
0.399881,0.010013,0.017208,-0.025426,0.030702
0.409886,0.010005,0.007632,0.038020,0.038779
0.419866,0.009980,0.019603,0.002107,0.019716
0.429860,0.009994,0.030376,-0.008667,0.031589
0.439859,0.009999,-0.004339,-0.000287,0.004349
0.449944,0.010085,0.014814,0.008093,0.016881
0.459876,0.009932,-0.018705,0.035626,0.040238
0.469882,0.010006,-0.018705,-0.006272,0.019728
0.479863,0.009981,0.013617,0.010487,0.017187
0.489959,0.010096,-0.005537,0.017670,0.018517
0.500007,0.010048,-0.011522,-0.012258,0.016823
0.509977,0.009970,0.005237,-0.020638,0.021292
0.519972,0.009995,0.019603,0.005699,0.020414
0.529965,0.009993,-0.003142,-0.011061,0.011498
0.539955,0.009990,-0.011522,0.034429,0.036306
0.550225,0.010270,-0.005537,-0.042185,0.042547
0.559994,0.009769,-0.010325,0.002107,0.010538
0.570074,0.010081,0.011223,0.008093,0.013836
0.579950,0.009875,0.026785,0.021261,0.034198
0.589970,0.010021,-0.004339,-0.021835,0.022262
0.599988,0.010018,0.004040,0.026049,0.026361
0.610186,0.010198,0.007632,-0.012258,0.014439
0.620062,0.009876,0.013617,-0.023032,0.026756
0.629995,0.009933,-0.009128,0.060765,0.061447
0.639941,0.009946,0.010026,0.029641,0.031290
0.650177,0.010236,-0.005537,-0.032609,0.033075
0.659958,0.009781,0.019603,-0.005075,0.020249
0.670130,0.010172,-0.009128,0.002107,0.009368
0.679954,0.009824,-0.023493,0.023655,0.033339
0.690045,0.010091,-0.007931,0.004502,0.009119
0.700014,0.009969,-0.004339,-0.027820,0.028157
0.710038,0.010024,-0.006734,-0.012258,0.013986
0.719963,0.009925,-0.004339,-0.031412,0.031710
