t_s,dt_s,ax_dynamic,vel_x,az_dynamic,accel_xz_magnitude,cur_left_a,cur_right_a,cur_total_a
0.000000,0.000000,-0.040596,0.000000,-0.004822,0.040881,0.0000,0.0000,0.0000
0.009897,0.009897,0.010879,0.000108,0.027499,0.029573,0.0000,0.0000,0.0000
0.019915,0.010018,-0.011866,-0.000011,0.010740,0.016004,0.0000,0.0000,0.0000
0.029840,0.009925,-0.025034,-0.000260,0.035879,0.043749,0.0000,0.0000,0.0000
0.039898,0.010059,-0.011866,-0.000379,0.015528,0.019543,0.0000,0.0000,0.0000
0.049830,0.009932,-0.032216,-0.000699,-0.045524,0.055770,0.0000,0.0000,0.0000
0.059911,0.010081,-0.013063,-0.000831,-0.059889,0.061297,0.0000,0.0000,0.0000
0.069854,0.009943,-0.008274,-0.000913,-0.012005,0.014580,0.0000,0.0000,0.0000
0.079901,0.010047,0.034821,-0.000563,0.068201,0.076576,0.0000,0.0000,0.0000
0.089840,0.009940,0.015668,-0.000407,-0.010808,0.019034,0.0000,0.0000,0.0000
0.099993,0.010152,-0.002289,-0.000431,0.028696,0.028788,0.0000,0.0000,0.0000
0.109863,0.009870,-0.002289,-0.000453,-0.010808,0.011048,0.0000,0.0000,0.0000
0.119876,0.010013,-0.002289,-0.000476,-0.007217,0.007571,0.0000,0.0000,0.0000
0.129840,0.009964,-0.005880,-0.000535,0.034682,0.035177,0.0000,0.0000,0.0000
0.139883,0.010043,0.025245,-0.000281,-0.019188,0.031709,0.0000,0.0000,0.0000
0.149822,0.009939,-0.001092,-0.000292,0.022711,0.022737,0.0000,0.0000,0.0000
0.159853,0.010032,0.013274,-0.000159,0.037076,0.039381,0.0000,0.0000,0.0000
0.169822,0.009969,0.015668,-0.000003,-0.034750,0.038119,0.0000,0.0000,0.0000
0.179880,0.010058,-0.022639,-0.000230,0.011937,0.025594,0.0000,0.0000,0.0000
0.189907,0.010027,-0.010668,-0.000337,-0.002428,0.010941,0.0000,0.0000,0.0000
0.199908,0.010001,0.026442,-0.000073,-0.020385,0.033387,0.0000,0.0000,0.0000
0.209842,0.009934,0.014471,0.000071,-0.035947,0.038750,0.0000,0.0000,0.0000
0.219871,0.010028,0.019259,0.000264,0.011937,0.022658,0.0000,0.0000,0.0000
0.229827,0.009956,0.013274,0.000396,-0.019188,0.023331,0.0000,0.0000,0.0000
0.239846,0.010019,0.003697,0.000433,-0.016793,0.017195,0.0000,0.0000,0.0000
0.249833,0.009988,0.013274,0.000566,-0.038341,0.040574,0.0000,0.0000,0.0000
0.259865,0.010032,-0.032216,0.000243,0.032288,0.045611,0.0000,0.0000,0.0000
0.269854,0.009989,-0.015457,0.000088,0.016725,0.022774,0.0000,0.0000,0.0000
0.279864,0.010010,0.004894,0.000137,-0.022779,0.023299,0.0000,0.0000,0.0000
0.289867,0.010003,-0.025034,-0.000113,0.027499,0.037187,0.0000,0.0000,0.0000
0.299896,0.010029,0.012076,0.000008,0.007149,0.014034,0.0000,0.0000,0.0000
0.309862,0.009965,-0.010668,-0.000098,-0.015596,0.018896,0.0000,0.0000,0.0000
0.319868,0.010006,0.024047,0.000142,0.044259,0.050370,0.0000,0.0000,0.0000
0.329845,0.009978,0.010879,0.000251,0.037076,0.038639,0.0000,0.0000,0.0000
0.339861,0.010016,-0.031019,-0.000060,-0.012005,0.033261,0.0000,0.0000,0.0000
0.349840,0.009978,0.002500,-0.000035,-0.004822,0.005432,0.0000,0.0000,0.0000
0.359855,0.010015,0.015668,0.000122,-0.029962,0.033811,0.0000,0.0000,0.0000
0.369848,0.009993,-0.017851,-0.000056,-0.022779,0.028940,0.0000,0.0000,0.0000
0.379880,0.010032,-0.015457,-0.000212,0.008346,0.017566,0.0000,0.0000,0.0000
0.389849,0.009969,-0.020245,-0.000413,-0.032356,0.038168,0.0000,0.0000,0.0000
0.399881,0.010032,-0.008274,-0.000496,-0.003625,0.009034,0.0000,0.0000,0.0000
0.409859,0.009979,0.016865,-0.000328,-0.004822,0.017541,0.0000,0.0000,0.0000
0.419869,0.010009,-0.013063,-0.000459,-0.010808,0.016954,0.0000,0.0000,0.0000
0.429849,0.009980,0.008485,-0.000374,-0.016793,0.018815,0.0000,0.0000,0.0000
