t_s,dt_s,ax_dynamic,vel_x,az_dynamic,accel_xz_magnitude,cur_left_a,cur_right_a,cur_total_a
0.000000,0.000000,-0.061028,0.000000,0.007948,0.061543,0.0000,0.0000,0.0000
0.009958,0.009958,-0.055042,-0.000548,-0.017191,0.057664,0.0000,0.0000,0.0000
0.019842,0.009884,-0.050254,-0.001045,0.028299,0.057674,0.0000,0.0000,0.0000
0.029929,0.010087,-0.065816,-0.001709,0.000766,0.065821,0.0000,0.0000,0.0000
0.039840,0.009911,-0.055042,-0.002254,-0.004023,0.055189,0.0000,0.0000,0.0000
0.049918,0.010078,-0.031100,-0.002568,-0.005220,0.031535,0.0000,0.0000,0.0000
0.060307,0.010389,-0.061028,-0.003202,-0.008811,0.061660,0.0000,0.0000,0.0000
0.069932,0.009624,-0.064619,-0.003824,0.012737,0.065862,0.0000,0.0000,0.0000
0.079848,0.009916,-0.057436,-0.004393,0.016328,0.059712,0.0000,0.0000,0.0000
0.089975,0.010127,-0.081378,-0.005217,0.001963,0.081402,0.0000,0.0000,0.0000
0.099843,0.009868,-0.033494,-0.005548,0.009145,0.034720,0.0000,0.0000,0.0000
0.109919,0.010076,-0.039480,-0.005946,0.022313,0.045349,0.0000,0.0000,0.0000
0.119873,0.009954,-0.025115,-0.006196,-0.017191,0.030435,0.0000,0.0000,0.0000
0.129925,0.010052,-0.058633,-0.006785,-0.019585,0.061818,0.0000,0.0000,0.0000
0.139866,0.009941,-0.063422,-0.007415,0.012737,0.064688,0.0000,0.0000,0.0000
0.149941,0.010075,-0.055042,-0.007970,0.005554,0.055322,0.0000,0.0000,0.0000
0.159881,0.009940,-0.062225,-0.008589,-0.047118,0.078052,0.0000,0.0000,0.0000
0.169950,0.010070,-0.068210,-0.009275,0.000766,0.068215,0.0000,0.0000,0.0000
0.179844,0.009894,-0.056239,-0.009832,-0.007614,0.056752,0.0000,0.0000,0.0000
0.190031,0.010186,-0.047860,-0.010319,-0.032753,0.057994,0.0000,0.0000,0.0000
0.199850,0.009819,-0.061028,-0.010919,0.005554,0.061280,0.0000,0.0000,0.0000
0.209935,0.010085,-0.020326,-0.011124,-0.011205,0.023210,0.0000,0.0000,0.0000
