t_s,dt_s,az_raw,az_dynamic,vel_z,disp_z
0.000000,0.000000,9.689334,0.055483,0.000000,0.000000
0.010061,0.010061,9.605537,-0.028314,-0.000285,-0.000003
0.020001,0.009939,9.600749,-0.033102,-0.000614,-0.000009
0.030151,0.010150,9.622296,-0.011554,-0.000731,-0.000016
0.040023,0.009872,9.633070,-0.000780,-0.000739,-0.000024
0.050021,0.009997,9.607931,-0.025919,-0.000998,-0.000034
0.060003,0.009982,9.639056,0.005205,-0.000946,-0.000043
0.070045,0.010042,9.604340,-0.029511,-0.001242,-0.000056
0.080028,0.009983,9.654618,0.020768,-0.001035,-0.000066
0.090045,0.010018,9.607931,-0.025919,-0.001295,-0.000079
0.100015,0.009970,9.664195,0.030344,-0.000992,-0.000089
0.110034,0.010019,9.665392,0.031541,-0.000676,-0.000096
0.120594,0.010561,9.634267,0.000417,-0.000672,-0.000103
0.130132,0.009537,9.660604,0.026753,-0.000417,-0.000107
0.140010,0.009878,9.653421,0.019570,-0.000223,-0.000109
0.150030,0.010021,9.631873,-0.001977,-0.000243,-0.000111
0.159997,0.009967,9.634267,0.000417,-0.000239,-0.000114
0.170063,0.010066,9.589975,-0.043876,-0.000681,-0.000120
0.180040,0.009977,9.640253,0.006402,-0.000617,-0.000127
0.190044,0.010004,9.642647,0.008797,-0.000529,-0.000132
0.200028,0.009984,9.630676,-0.003174,-0.000560,-0.000138
0.210026,0.009998,9.653421,0.019570,-0.000365,-0.000141
0.220017,0.009992,9.618705,-0.015145,-0.000516,-0.000146
0.230150,0.010132,9.642647,0.008797,-0.000427,-0.000151
0.240020,0.009870,9.616311,-0.017540,-0.000600,-0.000157
0.250084,0.010064,9.634267,0.000417,-0.000596,-0.000163
0.260019,0.009935,9.593566,-0.040285,-0.000996,-0.000172
0.270028,0.010009,9.645041,0.011191,-0.000884,-0.000181
0.280007,0.009979,9.605537,-0.028314,-0.001167,-0.000193
0.290044,0.010038,9.634267,0.000417,-0.001162,-0.000205
0.300006,0.009962,9.621099,-0.012751,-0.001290,-0.000217
0.310047,0.010041,9.619902,-0.013948,-0.001430,-0.000232
0.320001,0.009953,9.653421,0.019570,-0.001235,-0.000244
0.330135,0.010135,9.677363,0.043512,-0.000794,-0.000252
0.340039,0.009904,9.652224,0.018373,-0.000612,-0.000258
0.350074,0.010035,9.580398,-0.053453,-0.001148,-0.000270
0.360024,0.009950,9.588778,-0.045073,-0.001597,-0.000286
0.370033,0.010009,9.622296,-0.011554,-0.001712,-0.000303
0.380013,0.009980,9.643844,0.009994,-0.001613,-0.000319
0.390028,0.010015,9.653421,0.019570,-0.001417,-0.000333
0.400028,0.010000,9.612720,-0.021131,-0.001628,-0.000349
0.410027,0.009999,9.631873,-0.001977,-0.001648,-0.000366
0.420014,0.009987,9.643844,0.009994,-0.001548,-0.000381
0.430122,0.010109,9.582792,-0.051059,-0.002064,-0.000402
0.440023,0.009901,9.654618,0.020768,-0.001858,-0.000421
0.450034,0.010011,9.587581,-0.046270,-0.002322,-0.000444
0.460007,0.009973,9.652224,0.018373,-0.002138,-0.000465
0.470081,0.010074,9.673772,0.039921,-0.001736,-0.000483
0.480021,0.009940,9.679757,0.045907,-0.001280,-0.000495
0.490035,0.010014,9.612720,-0.021131,-0.001492,-0.000510
0.500020,0.009985,9.635465,0.001614,-0.001475,-0.000525
0.510057,0.010037,9.588778,-0.045073,-0.001928,-0.000544
0.520010,0.009954,9.636662,0.002811,-0.001900,-0.000563
0.530121,0.010111,9.636662,0.002811,-0.001871,-0.000582
0.540030,0.009908,9.655815,0.021965,-0.001654,-0.000599
0.550061,0.010032,9.637859,0.004008,-0.001614,-0.000615
0.560031,0.009969,9.636662,0.002811,-0.001586,-0.000631
