t_s,dt_s,az_raw,az_dynamic,vel_z,disp_z
0.000000,0.000000,9.651027,0.016253,0.000000,0.000000
0.009818,0.009818,9.653421,0.018647,0.000183,0.000002
0.019825,0.010006,9.621099,-0.013674,0.000046,0.000002
0.029789,0.009964,9.609128,-0.025645,-0.000209,0.000000
0.039826,0.010037,9.627085,-0.007689,-0.000286,-0.000003
0.049745,0.009919,9.640253,0.005479,-0.000232,-0.000005
0.059854,0.010109,9.634267,-0.000506,-0.000237,-0.000007
0.069782,0.009928,9.646238,0.011465,-0.000123,-0.000009
0.080318,0.010537,9.635465,0.000691,-0.000116,-0.000010
0.089786,0.009468,9.640253,0.005479,-0.000064,-0.000010
0.099895,0.010109,9.636662,0.001888,-0.000045,-0.000011
0.109869,0.009975,9.678560,0.043787,0.000392,-0.000007
0.121092,0.011222,9.640253,0.005479,0.000453,-0.000002
0.129917,0.008826,9.648633,0.013859,0.000575,0.000003
0.139809,0.009891,9.642647,0.007874,0.000653,0.000010
0.149785,0.009976,9.634267,-0.000506,0.000648,0.000016
0.159832,0.010047,9.606734,-0.028039,0.000367,0.000020
0.169778,0.009946,9.618705,-0.016068,0.000207,0.000022
0.179850,0.010072,9.684546,0.049772,0.000708,0.000029
0.191000,0.011151,9.621099,-0.013674,0.000556,0.000035
0.200687,0.009686,9.661801,0.027027,0.000817,0.000043
0.209918,0.009231,9.612720,-0.022054,0.000614,0.000049
0.219868,0.009950,9.657012,0.022239,0.000835,0.000057
0.229770,0.009902,9.631873,-0.002900,0.000806,0.000065
0.239801,0.010031,9.631873,-0.002900,0.000777,0.000073
0.249768,0.009967,9.621099,-0.013674,0.000641,0.000079
0.259804,0.010036,9.588778,-0.045996,0.000179,0.000081
0.269766,0.009961,9.640253,0.005479,0.000234,0.000083
0.279952,0.010186,9.609128,-0.025645,-0.000027,0.000083
0.289794,0.009842,9.649830,0.015056,0.000121,0.000084
0.299893,0.010099,9.660604,0.025830,0.000382,0.000088
0.309770,0.009877,9.672575,0.037801,0.000755,0.000096
0.319784,0.010014,9.671378,0.036604,0.001122,0.000107
0.329780,0.009996,9.666589,0.031816,0.001440,0.000121
0.339796,0.010016,9.662998,0.028224,0.001722,0.000138
0.349738,0.009942,9.661801,0.027027,0.001991,0.000158
0.359828,0.010090,9.647436,0.012662,0.002119,0.000180
0.369761,0.009933,9.642647,0.007874,0.002197,0.000201
0.379891,0.010130,9.618705,-0.016068,0.002034,0.000222
0.389761,0.009870,9.659407,0.024633,0.002277,0.000245
0.399805,0.010044,9.624691,-0.010083,0.002176,0.000266
0.409766,0.009961,9.636662,0.001888,0.002195,0.000288
0.419798,0.010031,9.616311,-0.018463,0.002010,0.000308
0.429789,0.009991,9.601946,-0.032828,0.001682,0.000325
0.439813,0.010025,9.651027,0.016253,0.001845,0.000344
0.449765,0.009952,9.622296,-0.012477,0.001720,0.000361
0.459789,0.010024,9.646238,0.011465,0.001835,0.000379
0.469793,0.010004,9.619902,-0.014871,0.001687,0.000396
0.479839,0.010046,9.635465,0.000691,0.001694,0.000413
0.489747,0.009909,9.622296,-0.012477,0.001570,0.000429
0.499897,0.010150,9.642647,0.007874,0.001650,0.000445
0.509751,0.009854,9.627085,-0.007689,0.001574,0.000461
0.519824,0.010072,9.575610,-0.059164,0.000978,0.000471
0.529767,0.009943,9.631873,-0.002900,0.000949,0.000480
0.539781,0.010014,9.600749,-0.034025,0.000609,0.000486
0.549740,0.009960,9.643844,0.009071,0.000699,0.000493
0.559790,0.010049,9.618705,-0.016068,0.000537,0.000499
0.569747,0.009958,9.624691,-0.010083,0.000437,0.000503
0.579798,0.010051,9.609128,-0.025645,0.000179,0.000505
0.589742,0.009944,9.595960,-0.038813,-0.000207,0.000503
0.599805,0.010063,9.641450,0.006676,-0.000139,0.000501
0.609764,0.009959,9.657012,0.022239,0.000082,0.000502
0.619773,0.010009,9.636662,0.001888,0.000101,0.000503
0.629759,0.009986,9.645041,0.010268,0.000203,0.000505
0.639778,0.010019,9.613917,-0.020857,-0.000006,0.000505
0.649751,0.009972,9.630676,-0.004097,-0.000046,0.000505
0.659781,0.010031,9.616311,-0.018463,-0.000232,0.000502
0.669739,0.009958,9.667786,0.033013,0.000097,0.000503
0.679981,0.010242,9.635465,0.000691,0.000104,0.000504
0.689752,0.009772,9.622296,-0.012477,-0.000018,0.000504
0.699883,0.010130,9.625888,-0.008886,-0.000108,0.000503
0.709756,0.009873,9.623494,-0.011280,-0.000219,0.000501
0.719822,0.010067,9.622296,-0.012477,-0.000345,0.000497
0.729787,0.009965,9.661801,0.027027,-0.000075,0.000497
0.739795,0.010008,9.664195,0.029421,0.000219,0.000499
0.749769,0.009973,9.639056,0.004282,0.000262,0.000502
0.759800,0.010032,9.662998,0.028224,0.000545,0.000507
0.769737,0.009936,9.634267,-0.000506,0.000540,0.000512
0.780007,0.010270,9.642647,0.007874,0.000621,0.000519
0.789737,0.009730,9.661801,0.027027,0.000884,0.000527
