t_s,dt_s,az_raw,az_dynamic,vel_z,disp_z
0.000000,0.000000,9.344569,-0.030739,0.000000,0.000000
0.009846,0.009846,9.331401,-0.043907,-0.000432,-0.000004
0.019817,0.009971,9.324218,-0.051090,-0.000942,-0.000014
0.029832,0.010014,9.351752,-0.023557,-0.001178,-0.000025
0.039875,0.010043,9.387665,0.012357,-0.001054,-0.000036
0.049910,0.010035,9.362526,-0.012783,-0.001182,-0.000048
0.059856,0.009947,9.386468,0.011159,-0.001071,-0.000059
0.069854,0.009997,9.394847,0.019539,-0.000875,-0.000067
0.080007,0.010154,9.343372,-0.031936,-0.001200,-0.000079
0.089833,0.009825,9.379285,0.003977,-0.001161,-0.000091
0.099924,0.010091,9.423578,0.048270,-0.000674,-0.000098
0.109886,0.009963,9.433155,0.057846,-0.000097,-0.000099
0.119820,0.009934,9.394847,0.019539,0.000097,-0.000098
0.129851,0.010031,9.376891,0.001583,0.000113,-0.000097
0.139841,0.009990,9.376891,0.001583,0.000129,-0.000095
0.149834,0.009994,9.349357,-0.025951,-0.000131,-0.000097
0.159818,0.009984,9.368511,-0.006797,-0.000199,-0.000099
0.169869,0.010051,9.368511,-0.006797,-0.000267,-0.000101
0.179811,0.009942,9.350555,-0.024754,-0.000513,-0.000106
0.189836,0.010025,9.369708,-0.005600,-0.000569,-0.000112
0.199893,0.010057,9.380482,0.005174,-0.000517,-0.000117
0.209855,0.009961,9.349357,-0.025951,-0.000776,-0.000125
0.219843,0.009989,9.366117,-0.009191,-0.000868,-0.000134
0.229935,0.010091,9.393650,0.018342,-0.000682,-0.000141
0.239826,0.009892,9.362526,-0.012783,-0.000809,-0.000149
0.249844,0.010017,9.409213,0.033904,-0.000469,-0.000153
0.259838,0.009994,9.369708,-0.005600,-0.000525,-0.000158
0.269844,0.010006,9.393650,0.018342,-0.000342,-0.000162
0.279848,0.010004,9.387665,0.012357,-0.000218,-0.000164
0.289850,0.010002,9.363723,-0.011586,-0.000334,-0.000167
0.299909,0.010059,9.356540,-0.018768,-0.000523,-0.000173
0.309860,0.009951,9.376891,0.001583,-0.000507,-0.000178
0.319860,0.009999,9.393650,0.018342,-0.000324,-0.000181
0.329870,0.010010,9.376891,0.001583,-0.000308,-0.000184
0.339844,0.009974,9.366117,-0.009191,-0.000399,-0.000188
0.349850,0.010006,9.369708,-0.005600,-0.000455,-0.000193
0.359845,0.009995,9.378088,0.002780,-0.000428,-0.000197
0.369837,0.009991,9.385271,0.009962,-0.000328,-0.000200
0.379834,0.009997,9.421184,0.045875,0.000130,-0.000199
0.389824,0.009990,9.402030,0.026722,0.000397,-0.000195
0.399891,0.010067,9.406818,0.031510,0.000715,-0.000188
0.409825,0.009934,9.368511,-0.006797,0.000647,-0.000181
0.419842,0.010017,9.414001,0.038693,0.001035,-0.000171
0.429825,0.009983,9.362526,-0.012783,0.000907,-0.000162
0.439842,0.010017,9.402030,0.026722,0.001175,-0.000150
0.449848,0.010006,9.372102,-0.003206,0.001143,-0.000139
0.459857,0.010009,9.449914,0.074606,0.001889,-0.000120
0.469848,0.009991,9.397242,0.021933,0.002109,-0.000099
0.479841,0.009993,9.360131,-0.015177,0.001957,-0.000079
0.489853,0.010012,9.356540,-0.018768,0.001769,-0.000061
0.499891,0.010038,9.375694,0.000385,0.001773,-0.000044
0.509833,0.009942,9.358934,-0.016374,0.001610,-0.000028
0.519970,0.010137,9.360131,-0.015177,0.001456,-0.000013
0.530175,0.010205,9.379285,0.003977,0.001497,0.000002
0.539876,0.009701,9.360131,-0.015177,0.001350,0.000016
0.549874,0.009998,9.369708,-0.005600,0.001294,0.000028
0.559895,0.010021,9.375694,0.000385,0.001297,0.000041
0.569899,0.010004,9.409213,0.033904,0.001637,0.000058
0.579884,0.009985,9.409213,0.033904,0.001975,0.000078
0.590132,0.010248,9.348160,-0.027148,0.001697,0.000095
0.600061,0.009929,9.356540,-0.018768,0.001511,0.000110
0.609887,0.009826,9.381679,0.006371,0.001573,0.000125
0.619874,0.009987,9.418789,0.043481,0.002007,0.000145
0.629881,0.010007,9.414001,0.038693,0.002395,0.000169
0.639935,0.010054,9.339781,-0.035528,0.002037,0.000190
0.649917,0.009982,9.350555,-0.024754,0.001790,0.000208
0.660998,0.011081,9.375694,0.000385,0.001795,0.000228
0.670360,0.009363,9.361328,-0.013980,0.001664,0.000243
0.680100,0.009740,9.418789,0.043481,0.002087,0.000264
0.689949,0.009849,9.403227,0.027919,0.002362,0.000287
0.699946,0.009997,9.375694,0.000385,0.002366,0.000311
0.709860,0.009914,9.370905,-0.004403,0.002322,0.000334
0.719848,0.009988,9.394847,0.019539,0.002518,0.000359
0.729895,0.010047,9.321824,-0.053484,0.001980,0.000379
0.739855,0.009960,9.411607,0.036299,0.002342,0.000402
0.749906,0.010051,9.350555,-0.024754,0.002093,0.000423
0.760148,0.010242,9.348160,-0.027148,0.001815,0.000442
0.769930,0.009782,9.396044,0.020736,0.002018,0.000461
0.779928,0.009999,9.400833,0.025525,0.002273,0.000484
