t_s,dt_s,az_raw,az_dynamic,vel_z,disp_z
0.000000,0.000000,9.624691,-0.005075,0.000000,0.000000
0.009880,0.009880,9.634267,0.004502,0.000044,0.000000
0.019886,0.010006,9.646238,0.016473,0.000209,0.000003
0.029869,0.009983,9.670181,0.040415,0.000613,0.000009
0.039849,0.009980,9.645041,0.015275,0.000765,0.000016
0.049950,0.010101,9.610325,-0.019440,0.000569,0.000022
0.059892,0.009942,9.622296,-0.007469,0.000495,0.000027
0.069847,0.009955,9.645041,0.015275,0.000647,0.000033
0.079938,0.010090,9.615114,-0.014652,0.000499,0.000038
0.089991,0.010053,9.665392,0.035626,0.000857,0.000047
0.099977,0.009986,9.627085,-0.002681,0.000830,0.000055
0.109905,0.009928,9.583989,-0.045777,0.000376,0.000059
0.121208,0.011303,9.665392,0.035626,0.000778,0.000068
0.130810,0.009602,9.613917,-0.015849,0.000626,0.000074
0.140055,0.009245,9.616311,-0.013455,0.000502,0.000079
0.150087,0.010032,9.588778,-0.040988,0.000091,0.000079
0.159939,0.009852,9.619902,-0.009864,-0.000007,0.000079
0.169899,0.009960,9.616311,-0.013455,-0.000141,0.000078
0.179918,0.010019,9.631873,0.002107,-0.000119,0.000077
0.189916,0.009998,9.641450,0.011684,-0.000003,0.000077
0.199999,0.010083,9.657012,0.027246,0.000272,0.000079
0.209907,0.009908,9.689334,0.059568,0.000862,0.000088
0.219899,0.009992,9.603143,-0.026623,0.000596,0.000094
0.229860,0.009961,9.636662,0.006896,0.000665,0.000101
0.239893,0.010033,9.621099,-0.008667,0.000578,0.000106
0.249996,0.010103,9.642647,0.012881,0.000708,0.000114
0.259906,0.009910,9.593566,-0.036200,0.000349,0.000117
0.269899,0.009993,9.616311,-0.013455,0.000215,0.000119
0.279894,0.009995,9.622296,-0.007469,0.000140,0.000121
0.289858,0.009964,9.595960,-0.033806,-0.000197,0.000119
0.299962,0.010104,9.655815,0.026049,0.000067,0.000119
0.309902,0.009940,9.646238,0.016473,0.000230,0.000122
0.319879,0.009977,9.624691,-0.005075,0.000180,0.000123
0.329931,0.010052,9.633070,0.003304,0.000213,0.000125
0.339898,0.009967,9.615114,-0.014652,0.000067,0.000126
0.349942,0.010045,9.647436,0.017670,0.000244,0.000129
0.359860,0.009917,9.646238,0.016473,0.000408,0.000133
0.369862,0.010002,9.618705,-0.011061,0.000297,0.000136
0.379871,0.010009,9.605537,-0.024229,0.000055,0.000136
0.389868,0.009997,9.657012,0.027246,0.000327,0.000139
0.399881,0.010013,9.604340,-0.025426,0.000072,0.000140
0.409886,0.010005,9.667786,0.038020,0.000453,0.000145
0.419866,0.009980,9.631873,0.002107,0.000474,0.000149
0.429860,0.009994,9.621099,-0.008667,0.000387,0.000153
0.439859,0.009999,9.629479,-0.000287,0.000384,0.000157
0.449944,0.010085,9.637859,0.008093,0.000466,0.000162
0.459876,0.009932,9.665392,0.035626,0.000820,0.000170
0.469882,0.010006,9.623494,-0.006272,0.000757,0.000178
0.479863,0.009981,9.640253,0.010487,0.000862,0.000186
0.489959,0.010096,9.647436,0.017670,0.001040,0.000197
0.500007,0.010048,9.617508,-0.012258,0.000917,0.000206
0.509977,0.009970,9.609128,-0.020638,0.000711,0.000213
0.519972,0.009995,9.635465,0.005699,0.000768,0.000221
0.529965,0.009993,9.618705,-0.011061,0.000658,0.000227
0.539955,0.009990,9.664195,0.034429,0.001002,0.000237
0.550225,0.010270,9.587581,-0.042185,0.000568,0.000243
0.559994,0.009769,9.631873,0.002107,0.000589,0.000249
0.570074,0.010081,9.637859,0.008093,0.000670,0.000256
0.579950,0.009875,9.651027,0.021261,0.000880,0.000264
0.589970,0.010021,9.607931,-0.021835,0.000662,0.000271
0.599988,0.010018,9.655815,0.026049,0.000923,0.000280
0.610186,0.010198,9.617508,-0.012258,0.000798,0.000288
0.620062,0.009876,9.606734,-0.023032,0.000570,0.000294
0.629995,0.009933,9.690531,0.060765,0.001174,0.000306
0.639941,0.009946,9.659407,0.029641,0.001469,0.000320
0.650177,0.010236,9.597157,-0.032609,0.001135,0.000332
0.659958,0.009781,9.624691,-0.005075,0.001085,0.000342
0.670130,0.010172,9.631873,0.002107,0.001107,0.000354
0.679954,0.009824,9.653421,0.023655,0.001339,0.000367
0.690045,0.010091,9.634267,0.004502,0.001384,0.000381
0.700014,0.009969,9.601946,-0.027820,0.001107,0.000392
0.710038,0.010024,9.617508,-0.012258,0.000984,0.000402
0.719963,0.009925,9.598354,-0.031412,0.000672,0.000408
0.729979,0.010016,9.597157,-0.032609,0.000346,0.000412
0.739955,0.009976,9.628282,-0.001484,0.000331,0.000415
0.750099,0.010144,9.609128,-0.020638,0.000122,0.000416
0.759947,0.009848,9.615114,-0.014652,-0.000023,0.000416
0.770002,0.010055,9.587581,-0.042185,-0.000447,0.000412
0.779943,0.009941,9.627085,-0.002681,-0.000473,0.000407
0.789964,0.010021,9.636662,0.006896,-0.000404,0.000403
0.800065,0.010101,9.616311,-0.013455,-0.000540,0.000397
0.809968,0.009903,9.647436,0.017670,-0.000365,0.000394
0.819954,0.009987,9.660604,0.030838,-0.000057,0.000393
0.830018,0.010063,9.631873,0.002107,-0.000036,0.000393
0.839989,0.009971,9.643844,0.014078,0.000104,0.000394
0.850033,0.010044,9.613917,-0.015849,-0.000055,0.000393
0.859960,0.009927,9.615114,-0.014652,-0.000200,0.000391
0.869963,0.010003,9.615114,-0.014652,-0.000347,0.000388
0.879944,0.009981,9.617508,-0.012258,-0.000469,0.000383
0.889971,0.010027,9.605537,-0.024229,-0.000712,0.000376
0.899978,0.010006,9.604340,-0.025426,-0.000967,0.000366
0.909969,0.009991,9.639056,0.009290,-0.000874,0.000358
0.919938,0.009969,9.661801,0.032035,-0.000555,0.000352
0.929951,0.010014,9.641450,0.011684,-0.000438,0.000348
0.940017,0.010066,9.617508,-0.012258,-0.000561,0.000342
0.950050,0.010033,9.653421,0.023655,-0.000324,0.000339
0.960010,0.009960,9.659407,0.029641,-0.000028,0.000339
0.969982,0.009972,9.623494,-0.006272,-0.000091,0.000338
0.979936,0.009954,9.677363,0.047597,0.000383,0.000341
0.989972,0.010036,9.625888,-0.003878,0.000344,0.000345
1.000179,0.010207,9.615114,-0.014652,0.000194,0.000347
1.009951,0.009772,9.611523,-0.018243,0.000016,0.000347
1.019976,0.010025,9.606734,-0.023032,-0.000215,0.000345
1.029982,0.010006,9.572018,-0.057748,-0.000793,0.000337
1.039963,0.009980,9.628282,-0.001484,-0.000807,0.000329
1.050043,0.010081,9.621099,-0.008667,-0.000895,0.000320
1.060598,0.010555,9.629479,-0.000287,-0.000898,0.000310
1.070294,0.009696,9.616311,-0.013455,-0.001028,0.000300
1.080075,0.009781,9.604340,-0.025426,-0.001277,0.000288
1.089876,0.009801,9.662998,0.033232,-0.000951,0.000279
1.099899,0.010023,9.671378,0.041612,-0.000534,0.000273
1.110414,0.010514,9.615114,-0.014652,-0.000688,0.000266
1.120017,0.009604,9.612720,-0.017046,-0.000852,0.000258
1.129951,0.009933,9.627085,-0.002681,-0.000879,0.000249
1.139915,0.009964,9.611523,-0.018243,-0.001060,0.000239
1.150039,0.010125,9.642647,0.012881,-0.000930,0.000229
1.159951,0.009912,9.653421,0.023655,-0.000695,0.000222
1.169966,0.010014,9.676166,0.046400,-0.000231,0.000220
1.179958,0.009992,9.624691,-0.005075,-0.000281,0.000217
1.189970,0.010012,9.617508,-0.012258,-0.000404,0.000213
1.199942,0.009972,9.575610,-0.054156,-0.000944,0.000204
1.209972,0.010030,9.607931,-0.021835,-0.001163,0.000192
1.219971,0.009999,9.619902,-0.009864,-0.001262,0.000179
1.229953,0.009982,9.543288,-0.086478,-0.002125,0.000158
1.239957,0.010004,9.630676,0.000910,-0.002116,0.000137
1.250060,0.010103,9.678560,0.048794,-0.001623,0.000121
1.259917,0.009856,9.578004,-0.051762,-0.002133,0.000100
1.269982,0.010065,9.628282,-0.001484,-0.002148,0.000078
1.279955,0.009973,9.633070,0.003304,-0.002115,0.000057
