t_s,dt_s,az_raw,az_dynamic,vel_z,disp_z
0.000000,0.000000,9.680954,0.006240,0.000000,0.000000
0.010119,0.010119,9.703699,0.028985,0.000293,0.000003
0.019928,0.009809,9.623494,-0.051221,-0.000209,0.000001
0.030022,0.010094,9.680954,0.006240,-0.000146,-0.000001
0.040045,0.010022,9.672575,-0.002140,-0.000168,-0.000002
0.050136,0.010091,9.631873,-0.042841,-0.000600,-0.000008
0.060164,0.010028,9.698911,0.024196,-0.000357,-0.000012
0.070047,0.009884,9.694123,0.019408,-0.000165,-0.000014
0.079967,0.009920,9.655815,-0.018899,-0.000353,-0.000017
0.090037,0.010069,9.674969,0.000254,-0.000350,-0.000021
0.099931,0.009894,9.700108,0.025393,-0.000099,-0.000022
0.110042,0.010112,9.679757,0.005043,-0.000048,-0.000022
0.120061,0.010019,9.676166,0.001451,-0.000034,-0.000022
0.129971,0.009910,9.666589,-0.008125,-0.000114,-0.000023
0.139930,0.009959,9.690531,0.015817,0.000043,-0.000023
0.150180,0.010250,9.676166,0.001451,0.000058,-0.000022
0.160008,0.009829,9.668983,-0.005731,0.000002,-0.000022
0.170072,0.010063,9.755175,0.080460,0.000812,-0.000014
0.179938,0.009866,9.646238,-0.028476,0.000531,-0.000009
0.190065,0.010127,9.698911,0.024196,0.000776,-0.000001
0.200054,0.009990,9.708488,0.033773,0.001113,0.000010
0.210066,0.010011,9.659407,-0.015308,0.000960,0.000020
0.219987,0.009922,9.697714,0.022999,0.001188,0.000031
0.230058,0.010071,9.672575,-0.002140,0.001166,0.000043
0.240044,0.009985,9.643844,-0.030870,0.000858,0.000052
0.250521,0.010478,9.651027,-0.023688,0.000610,0.000058
0.259983,0.009462,9.700108,0.025393,0.000850,0.000066
0.269977,0.009994,9.671378,-0.003337,0.000817,0.000074
0.279918,0.009941,9.645041,-0.029673,0.000522,0.000079
0.289964,0.010046,9.673772,-0.000943,0.000512,0.000085
0.299922,0.009958,9.677363,0.002648,0.000539,0.000090
0.309984,0.010062,9.691728,0.017014,0.000710,0.000097
0.319907,0.009923,9.710882,0.036167,0.001069,0.000108
0.329973,0.010066,9.665392,-0.009323,0.000975,0.000118
0.339924,0.009951,9.678560,0.003846,0.001013,0.000128
0.349956,0.010033,9.686940,0.012225,0.001136,0.000139
0.359900,0.009943,9.665392,-0.009323,0.001043,0.000149
0.369967,0.010067,9.673772,-0.000943,0.001034,0.000160
0.379891,0.009924,9.684546,0.009831,0.001131,0.000171
0.389959,0.010068,9.691728,0.017014,0.001303,0.000184
0.399904,0.009945,9.682152,0.007437,0.001377,0.000198
0.409936,0.010032,9.706094,0.031379,0.001691,0.000215
0.419951,0.010015,9.672575,-0.002140,0.001670,0.000232
0.429952,0.010001,9.691728,0.017014,0.001840,0.000250
0.439907,0.009955,9.670181,-0.004534,0.001795,0.000268
0.449975,0.010068,9.633070,-0.041644,0.001376,0.000282
0.459916,0.009941,9.695320,0.020605,0.001581,0.000297
0.469937,0.010021,9.690531,0.015817,0.001739,0.000315
0.479897,0.009961,9.686940,0.012225,0.001861,0.000333
0.490026,0.010129,9.719262,0.044547,0.002312,0.000357
0.499905,0.009879,9.642647,-0.032067,0.001995,0.000376
0.509926,0.010020,9.672575,-0.002140,0.001974,0.000396
0.519934,0.010009,9.676166,0.001451,0.001988,0.000416
0.529953,0.010019,9.654618,-0.020096,0.001787,0.000434
0.539898,0.009945,9.630676,-0.044038,0.001349,0.000447
0.550070,0.010172,9.680954,0.006240,0.001413,0.000462
0.559954,0.009885,9.645041,-0.029673,0.001119,0.000473
0.569940,0.009986,9.677363,0.002648,0.001146,0.000484
0.579910,0.009970,9.635465,-0.039250,0.000754,0.000492
0.589939,0.010028,9.677363,0.002648,0.000781,0.000500
0.599900,0.009961,9.672575,-0.002140,0.000760,0.000507
0.609936,0.010036,9.651027,-0.023688,0.000522,0.000512
0.619931,0.009994,9.683349,0.008634,0.000608,0.000519
0.629939,0.010008,9.692925,0.018211,0.000790,0.000526
0.639922,0.009983,9.651027,-0.023688,0.000554,0.000532
0.649981,0.010059,9.684546,0.009831,0.000653,0.000539
0.659894,0.009914,9.712079,0.037364,0.001023,0.000549
0.669954,0.010060,9.666589,-0.008125,0.000942,0.000558
0.679923,0.009969,9.715670,0.040956,0.001350,0.000572
0.689941,0.010018,9.690531,0.015817,0.001508,0.000587
0.699918,0.009977,9.673772,-0.000943,0.001499,0.000602
0.709949,0.010031,9.658209,-0.016505,0.001333,0.000615
0.719908,0.009959,9.655815,-0.018899,0.001145,0.000626
0.729931,0.010022,9.636662,-0.038053,0.000764,0.000634
0.739906,0.009975,9.659407,-0.015308,0.000611,0.000640
0.749961,0.010055,9.697714,0.022999,0.000842,0.000649
0.759916,0.009956,9.677363,0.002648,0.000869,0.000657
0.769969,0.010053,9.684546,0.009831,0.000967,0.000667
0.779912,0.009943,9.666589,-0.008125,0.000887,0.000676
0.789967,0.010054,9.655815,-0.018899,0.000697,0.000683
0.799913,0.009947,9.686940,0.012225,0.000818,0.000691
0.809944,0.010030,9.683349,0.008634,0.000905,0.000700
0.819891,0.009947,9.664195,-0.010520,0.000800,0.000708
0.829924,0.010033,9.702502,0.027788,0.001079,0.000719
0.839923,0.010000,9.662998,-0.011717,0.000962,0.000729
0.849968,0.010045,9.724050,0.049335,0.001457,0.000743
0.859907,0.009939,9.719262,0.044547,0.001900,0.000762
0.869964,0.010056,9.708488,0.033773,0.002240,0.000785
0.879932,0.009968,9.636662,-0.038053,0.001860,0.000803
0.889968,0.010036,9.645041,-0.029673,0.001563,0.000819
0.899903,0.009934,9.691728,0.017014,0.001732,0.000836
0.909961,0.010058,9.689334,0.014619,0.001879,0.000855
0.919888,0.009927,9.696517,0.021802,0.002095,0.000876
0.929951,0.010063,9.633070,-0.041644,0.001676,0.000893
0.939900,0.009949,9.657012,-0.017702,0.001500,0.000907
0.949988,0.010088,9.664195,-0.010520,0.001394,0.000922
0.959922,0.009933,9.662998,-0.011717,0.001277,0.000934
0.969926,0.010005,9.679757,0.005043,0.001328,0.000947
0.979919,0.009993,9.664195,-0.010520,0.001223,0.000960
0.989952,0.010032,9.668983,-0.005731,0.001165,0.000971
0.999899,0.009947,9.738415,0.063701,0.001799,0.000989
1.009935,0.010036,9.680954,0.006240,0.001861,0.001008
1.019891,0.009956,9.658209,-0.016505,0.001697,0.001025
1.029918,0.010028,9.700108,0.025393,0.001952,0.001044
1.040301,0.010383,9.642647,-0.032067,0.001619,0.001061
1.049949,0.009648,9.641450,-0.033265,0.001298,0.001074
1.059896,0.009947,9.688137,0.013422,0.001431,0.001088
1.069927,0.010031,9.648633,-0.026082,0.001170,0.001100
1.079924,0.009997,9.678560,0.003846,0.001208,0.001112
1.089951,0.010027,9.662998,-0.011717,0.001091,0.001123
1.099892,0.009942,9.676166,0.001451,0.001105,0.001134
1.109928,0.010035,9.690531,0.015817,0.001264,0.001146
1.119902,0.009974,9.668983,-0.005731,0.001207,0.001158
1.129956,0.010054,9.647436,-0.027279,0.000932,0.001168
1.139923,0.009966,9.716867,0.042153,0.001353,0.001181
1.149946,0.010023,9.667786,-0.006928,0.001283,0.001194
1.159928,0.009982,9.701305,0.026591,0.001549,0.001210
1.169941,0.010012,9.710882,0.036167,0.001911,0.001229
1.179891,0.009950,9.700108,0.025393,0.002163,0.001250
1.189937,0.010046,9.673772,-0.000943,0.002154,0.001272
1.199897,0.009960,9.683349,0.008634,0.002240,0.001294
1.209946,0.010049,9.660604,-0.014111,0.002098,0.001315
1.219918,0.009973,9.640253,-0.034462,0.001754,0.001333
1.229945,0.010027,9.668983,-0.005731,0.001697,0.001350
1.239909,0.009964,9.668983,-0.005731,0.001640,0.001366
1.249960,0.010051,9.665392,-0.009323,0.001546,0.001382
1.259899,0.009939,9.639056,-0.035659,0.001192,0.001394
1.269936,0.010036,9.661801,-0.012914,0.001062,0.001404
1.279904,0.009969,9.724050,0.049335,0.001554,0.001420
1.289932,0.010028,9.667786,-0.006928,0.001484,0.001435
1.299901,0.009969,9.691728,0.017014,0.001654,0.001451
1.309927,0.010027,9.713276,0.038562,0.002041,0.001472
1.319916,0.009989,9.678560,0.003846,0.002079,0.001492
1.329926,0.010010,9.667786,-0.006928,0.002010,0.001512
1.339906,0.009980,9.645041,-0.029673,0.001714,0.001530
1.349963,0.010057,9.673772,-0.000943,0.001704,0.001547
1.359903,0.009939,9.685743,0.011028,0.001814,0.001565
