t_s,dt_s,ax_dynamic,vel_x,az_dynamic,accel_xz_magnitude,cur_left_a,cur_right_a,cur_total_a
0.000000,0.000000,-0.079374,0.000000,-0.021424,0.082214,0.0000,0.0000,0.0000
0.009975,0.009975,-0.075783,-0.000756,0.008503,0.076258,0.0000,0.0000,0.0000
0.020041,0.010066,-0.105710,-0.001820,-0.027410,0.109206,0.0000,0.0000,0.0000
0.029984,0.009943,-0.092542,-0.002740,0.001321,0.092551,0.0000,0.0000,0.0000
0.040021,0.010037,-0.056629,-0.003309,0.004912,0.056842,0.0000,0.0000,0.0000
0.049989,0.009968,-0.103316,-0.004338,-0.032198,0.108217,0.0000,0.0000,0.0000
0.060123,0.010134,-0.086557,-0.005216,-0.029804,0.091544,0.0000,0.0000,0.0000
0.070015,0.009892,-0.068600,-0.005894,-0.044169,0.081590,0.0000,0.0000,0.0000
0.080041,0.010026,-0.080571,-0.006702,-0.010650,0.081272,0.0000,0.0000,0.0000
0.089998,0.009957,-0.068600,-0.007385,0.001321,0.068613,0.0000,0.0000,0.0000
0.100047,0.010049,-0.063812,-0.008026,-0.005862,0.064080,0.0000,0.0000,0.0000
0.109998,0.009951,-0.063812,-0.008661,-0.017833,0.066257,0.0000,0.0000,0.0000
0.120119,0.010121,-0.081768,-0.009489,-0.029804,0.087030,0.0000,0.0000,0.0000
0.130003,0.009884,-0.073388,-0.010214,0.003715,0.073482,0.0000,0.0000,0.0000
0.140052,0.010048,-0.056629,-0.010783,-0.046563,0.073314,0.0000,0.0000,0.0000
0.150015,0.009964,-0.068600,-0.011467,-0.010650,0.069422,0.0000,0.0000,0.0000
0.160157,0.010142,-0.067403,-0.012150,-0.040578,0.078675,0.0000,0.0000,0.0000
0.169985,0.009827,-0.076980,-0.012907,0.036037,0.084997,0.0000,0.0000,0.0000
0.180033,0.010048,-0.079374,-0.013704,-0.001073,0.079381,0.0000,0.0000,0.0000
0.189985,0.009952,-0.067403,-0.014375,-0.016636,0.069426,0.0000,0.0000,0.0000
0.200013,0.010028,-0.065009,-0.015027,-0.027410,0.070551,0.0000,0.0000,0.0000
0.209987,0.009974,-0.062615,-0.015652,-0.019030,0.065442,0.0000,0.0000,0.0000
0.220031,0.010045,-0.065009,-0.016305,0.016883,0.067165,0.0000,0.0000,0.0000
0.230021,0.009990,-0.057826,-0.016882,0.037234,0.068777,0.0000,0.0000,0.0000
0.240048,0.010027,-0.110499,-0.017990,-0.040578,0.117714,0.0000,0.0000,0.0000
0.250010,0.009962,-0.065009,-0.018638,-0.003468,0.065101,0.0000,0.0000,0.0000
0.260152,0.010142,-0.103316,-0.019686,-0.005862,0.103482,0.0000,0.0000,0.0000
0.270052,0.009900,-0.081768,-0.020495,0.003715,0.081853,0.0000,0.0000,0.0000
0.280294,0.010242,-0.049446,-0.021002,-0.019030,0.052982,0.0000,0.0000,0.0000
0.290056,0.009762,-0.102119,-0.021999,-0.026212,0.105429,0.0000,0.0000,0.0000
0.300847,0.010791,-0.062615,-0.022674,-0.001073,0.062624,0.0000,0.0000,0.0000
0.310108,0.009261,-0.081768,-0.023431,0.010898,0.082491,0.0000,0.0000,0.0000
0.320051,0.009943,-0.086557,-0.024292,-0.031001,0.091941,0.0000,0.0000,0.0000
0.330020,0.009969,-0.087754,-0.025167,-0.041775,0.097190,0.0000,0.0000,0.0000
0.340105,0.010085,-0.062615,-0.025798,0.026460,0.067976,0.0000,0.0000,0.0000
0.349984,0.009879,-0.082965,-0.026618,0.004912,0.083111,0.0000,0.0000,0.0000
