t_s,dt_s,ax_dynamic,az_dynamic,accel_xz_magnitude
0.000000,0.000000,0.016038,-0.030739,0.034671
0.009846,0.009846,-0.003116,-0.043907,0.044018
0.019817,0.009971,0.001673,-0.051090,0.051117
0.029832,0.010014,0.024417,-0.023557,0.033928
0.039875,0.010043,0.000475,0.012357,0.012366
0.049910,0.010035,-0.030649,-0.012783,0.033208
0.059856,0.009947,0.004067,0.011159,0.011877
0.069854,0.009997,-0.003116,0.019539,0.019786
0.080007,0.010154,-0.004313,-0.031936,0.032226
0.089833,0.009825,-0.009101,0.003977,0.009932
0.099924,0.010091,0.005264,0.048270,0.048556
0.109886,0.009963,0.012446,0.057846,0.059170
0.119820,0.009934,-0.004313,0.019539,0.020009
0.129851,0.010031,0.019629,0.001583,0.019693
0.139841,0.009990,0.000475,0.001583,0.001652
0.149834,0.009994,-0.004313,-0.025951,0.026307
0.159818,0.009984,0.001673,-0.006797,0.007000
0.169869,0.010051,0.010052,-0.006797,0.012135
0.179811,0.009942,0.012446,-0.024754,0.027707
0.189836,0.010025,0.002870,-0.005600,0.006292
0.199893,0.010057,-0.007904,0.005174,0.009447
0.209855,0.009961,-0.036635,-0.025951,0.044895
0.219843,0.009989,-0.009101,-0.009191,0.012935
0.229935,0.010091,0.000475,0.018342,0.018348
0.239826,0.009892,0.018432,-0.012783,0.022431
0.249844,0.010017,-0.004313,0.033904,0.034178
0.259838,0.009994,-0.007904,-0.005600,0.009687
0.269844,0.010006,-0.011496,0.018342,0.021647
0.279848,0.010004,-0.009101,0.012357,0.015347
0.289850,0.010002,-0.028255,-0.011586,0.030538
0.299909,0.010059,-0.017481,-0.018768,0.025648
0.309860,0.009951,0.010052,0.001583,0.010176
0.319860,0.009999,-0.025861,0.018342,0.031705
0.329870,0.010010,0.004067,0.001583,0.004364
0.339844,0.009974,0.016038,-0.009191,0.018485
0.349850,0.010006,0.008855,-0.005600,0.010477
0.359845,0.009995,-0.001919,0.002780,0.003378
0.369837,0.009991,-0.004313,0.009962,0.010856
0.379834,0.009997,0.001673,0.045875,0.045906
0.389824,0.009990,0.005264,0.026722,0.027235
0.399891,0.010067,0.008855,0.031510,0.032731
0.409825,0.009934,-0.025861,-0.006797,0.026739
0.419842,0.010017,0.013644,0.038693,0.041028
0.429825,0.009983,0.006461,-0.012783,0.014323
0.439842,0.010017,0.022023,0.026722,0.034628
0.449848,0.010006,0.028009,-0.003206,0.028192
0.459857,0.010009,-0.005510,0.074606,0.074809
0.469848,0.009991,0.012446,0.021933,0.025219
0.479841,0.009993,0.024417,-0.015177,0.028750
0.489853,0.010012,-0.001919,-0.018768,0.018866
0.499891,0.010038,0.002870,0.000385,0.002895
0.509833,0.009942,0.002870,-0.016374,0.016623
0.519970,0.010137,0.012446,-0.015177,0.019628
0.530175,0.010205,0.006461,0.003977,0.007587
0.539876,0.009701,-0.012693,-0.015177,0.019785
0.549874,0.009998,0.001673,-0.005600,0.005844
0.559895,0.010021,0.011249,0.000385,0.011256
0.569899,0.010004,0.000475,0.033904,0.033908
0.579884,0.009985,0.020826,0.033904,0.039790
0.590132,0.010248,0.007658,-0.027148,0.028207
0.600061,0.009929,0.013644,-0.018768,0.023203
0.609887,0.009826,-0.015087,0.006371,0.016377
0.619874,0.009987,-0.009101,0.043481,0.044423
0.629881,0.010007,-0.004313,0.038693,0.038932
0.639935,0.010054,-0.019875,-0.035528,0.040709
0.649917,0.009982,0.007658,-0.024754,0.025911
0.660998,0.011081,0.002870,0.000385,0.002895
0.670360,0.009363,0.005264,-0.013980,0.014938
0.680100,0.009740,-0.000722,0.043481,0.043487
0.689949,0.009849,-0.003116,0.027919,0.028092
0.699946,0.009997,-0.024664,0.000385,0.024667
0.709860,0.009914,0.001673,-0.004403,0.004710
0.719848,0.009988,0.039980,0.019539,0.044499
0.729895,0.010047,0.011249,-0.053484,0.054654
0.739855,0.009960,-0.007904,0.036299,0.037149
0.749906,0.010051,-0.017481,-0.024754,0.030304
0.760148,0.010242,-0.018678,-0.027148,0.032953
0.769930,0.009782,0.030403,0.020736,0.036801
0.779928,0.009999,0.004067,0.025525,0.025847
0.790084,0.010156,-0.013890,-0.004403,0.014571
0.800187,0.010103,0.011249,-0.003206,0.011697
0.810430,0.010243,-0.001919,0.012357,0.012505
0.820021,0.009591,0.012446,0.005174,0.013479
0.829886,0.009865,0.013644,-0.016374,0.021313
0.839888,0.010002,-0.036635,0.000385,0.036637
0.849872,0.009984,0.005264,-0.021162,0.021807
0.860073,0.010201,0.005264,-0.021162,0.021807
0.869911,0.009839,-0.027058,-0.009191,0.028576
0.879901,0.009990,-0.001919,-0.005600,0.005920
0.889917,0.010015,0.014841,0.005174,0.015717
0.900061,0.010144,-0.005510,0.006371,0.008423
0.909921,0.009861,0.014841,0.001583,0.014925
0.919875,0.009953,0.010052,-0.033133,0.034625
0.929865,0.009991,0.002870,0.019539,0.019749
0.939987,0.010122,0.000475,0.006371,0.006389
0.949909,0.009922,-0.030649,-0.035528,0.046921
0.959893,0.009984,0.024417,0.039890,0.046770
0.969860,0.009967,0.019629,0.018342,0.026865
0.979927,0.010067,0.037586,0.038693,0.053943
0.989965,0.010038,0.017235,-0.012783,0.021458
1.000059,0.010094,0.024417,-0.029542,0.038327
1.009926,0.009867,0.004067,0.011159,0.011877
1.019910,0.009984,0.017235,-0.009191,0.019533
1.029862,0.009952,-0.001919,0.007568,0.007808
1.039830,0.009969,-0.010298,0.019539,0.022087
1.049839,0.010008,-0.000722,-0.058272,0.058277
1.060449,0.010611,0.013644,-0.029542,0.032540
1.069884,0.009434,-0.006707,0.021933,0.022936
1.079853,0.009969,0.000475,-0.002009,0.002064
1.089820,0.009967,-0.010298,0.000385,0.010306
1.099898,0.010077,0.011249,-0.000812,0.011279
1.109821,0.009923,0.010052,0.053058,0.054002
1.119873,0.010052,-0.003116,0.041087,0.041205
1.129893,0.010020,0.002870,0.029116,0.029257
1.139860,0.009967,-0.007904,-0.009191,0.012123
1.149839,0.009979,0.005264,0.039890,0.040236
1.159855,0.010016,-0.024664,0.019539,0.031465
1.169828,0.009973,-0.010298,0.021933,0.024231
