t_s,dt_s,ax_dynamic,az_dynamic,accel_xz_magnitude
0.000000,0.000000,0.003767,0.004707,0.006029
0.010821,0.010821,-0.018978,0.005904,0.019875
0.019876,0.009056,-0.024963,0.002313,0.025070
0.029843,0.009966,-0.016583,-0.035994,0.039631
0.039944,0.010102,-0.009401,-0.026418,0.028040
0.049734,0.009790,-0.046511,0.002313,0.046568
0.059687,0.009952,-0.018978,-0.025221,0.031563
0.069690,0.010004,-0.040525,-0.007264,0.041171
0.079794,0.010104,-0.003415,-0.008461,0.009124
0.090021,0.010227,0.000176,-0.026418,0.026418
0.099921,0.009900,0.000176,-0.008461,0.008463
0.109767,0.009846,-0.008204,-0.010855,0.013607
0.119956,0.010188,-0.017780,-0.006067,0.018787
0.129749,0.009793,-0.035737,0.029846,0.046561
0.139711,0.009962,-0.014189,-0.013250,0.019413
0.149697,0.009986,-0.018978,0.020269,0.027767
0.159703,0.010006,0.006162,-0.014447,0.015706
0.169977,0.010274,-0.022569,0.011890,0.025509
0.179766,0.009789,-0.029751,-0.015644,0.033614
0.189836,0.010070,0.020527,0.028649,0.035244
0.199754,0.009918,0.003767,0.005904,0.007004
0.210284,0.010530,-0.021372,0.022663,0.031151
0.219719,0.009435,-0.009401,-0.041980,0.043020
0.229995,0.010275,-0.028554,0.058577,0.065166
0.239714,0.009720,-0.010598,-0.021629,0.024086
0.249754,0.010040,-0.024963,0.005904,0.025652
0.259703,0.009950,-0.010598,0.027452,0.029427
0.269733,0.010030,-0.001021,-0.031206,0.031223
0.279728,0.009995,-0.032146,-0.002476,0.032241
0.289717,0.009990,-0.033343,-0.000081,0.033343
0.299860,0.010143,-0.007007,0.001116,0.007095
0.309975,0.010114,-0.026160,0.020269,0.033094
0.320143,0.010169,-0.042920,0.004707,0.043177
0.329659,0.009516,0.021724,-0.009658,0.023774
0.339649,0.009990,0.004964,0.027452,0.027897
0.349658,0.010009,-0.011795,0.041817,0.043449
0.359681,0.010023,-0.012992,-0.034797,0.037144
0.369659,0.009978,-0.017780,0.013087,0.022077
0.379811,0.010152,-0.023766,-0.007264,0.024851
0.389667,0.009856,0.019330,-0.000081,0.019330
0.399711,0.010044,-0.022569,0.013087,0.026089
0.409785,0.010074,0.010950,0.016678,0.019951
0.419653,0.009867,-0.039328,-0.024023,0.046085
