t_s,dt_s,ax_dynamic,vel_x,az_dynamic,accel_xz_magnitude,cur_left_a,cur_right_a,cur_total_a
0.000000,0.000000,0.014810,0.000000,0.055483,0.057426,0.0000,0.0000,0.0000
0.010061,0.010061,0.002839,0.000029,-0.028314,0.028456,0.0000,0.0000,0.0000
0.020001,0.009939,-0.009132,-0.000062,-0.033102,0.034339,0.0000,0.0000,0.0000
0.030151,0.010150,-0.004344,-0.000106,-0.011554,0.012344,0.0000,0.0000,0.0000
0.040023,0.009872,-0.004344,-0.000149,-0.000780,0.004413,0.0000,0.0000,0.0000
0.050021,0.009997,-0.009132,-0.000240,-0.025919,0.027481,0.0000,0.0000,0.0000
0.060003,0.009982,-0.010329,-0.000344,0.005205,0.011567,0.0000,0.0000,0.0000
0.070045,0.010042,-0.019906,-0.000543,-0.029511,0.035597,0.0000,0.0000,0.0000
0.080028,0.009983,0.005233,-0.000491,0.020768,0.021417,0.0000,0.0000,0.0000
0.090045,0.010018,-0.007935,-0.000571,-0.025919,0.027107,0.0000,0.0000,0.0000
0.100015,0.009970,0.011218,-0.000459,0.030344,0.032352,0.0000,0.0000,0.0000
0.110034,0.010019,0.010021,-0.000359,0.031541,0.033095,0.0000,0.0000,0.0000
0.120594,0.010561,-0.028286,-0.000657,0.000417,0.028289,0.0000,0.0000,0.0000
0.130132,0.009537,-0.005541,-0.000710,0.026753,0.027321,0.0000,0.0000,0.0000
0.140010,0.009878,-0.004344,-0.000753,0.019570,0.020047,0.0000,0.0000,0.0000
0.150030,0.010021,0.000445,-0.000749,-0.001977,0.002027,0.0000,0.0000,0.0000
0.159997,0.009967,0.026781,-0.000482,0.000417,0.026784,0.0000,0.0000,0.0000
0.170063,0.010066,0.019598,-0.000284,-0.043876,0.048054,0.0000,0.0000,0.0000
0.180040,0.009977,-0.005541,-0.000340,0.006402,0.008467,0.0000,0.0000,0.0000
0.190044,0.010004,0.004036,-0.000299,0.008797,0.009678,0.0000,0.0000,0.0000
0.200028,0.009984,0.005233,-0.000247,-0.003174,0.006121,0.0000,0.0000,0.0000
0.210026,0.009998,0.012416,-0.000123,0.019570,0.023176,0.0000,0.0000,0.0000
0.220017,0.009992,0.023189,0.000109,-0.015145,0.027697,0.0000,0.0000,0.0000
0.230150,0.010132,0.005233,0.000162,0.008797,0.010235,0.0000,0.0000,0.0000
0.240020,0.009870,-0.007935,0.000084,-0.017540,0.019251,0.0000,0.0000,0.0000
0.250084,0.010064,-0.023498,-0.000153,0.000417,0.023501,0.0000,0.0000,0.0000
0.260019,0.009935,-0.015118,-0.000303,-0.040285,0.043028,0.0000,0.0000,0.0000
0.270028,0.010009,-0.001950,-0.000323,0.011191,0.011359,0.0000,0.0000,0.0000
0.280007,0.009979,-0.004344,-0.000366,-0.028314,0.028645,0.0000,0.0000,0.0000
0.290044,0.010038,-0.007935,-0.000446,0.000417,0.007946,0.0000,0.0000,0.0000
0.300006,0.009962,0.002839,-0.000417,-0.012751,0.013063,0.0000,0.0000,0.0000
0.310047,0.010041,0.004036,-0.000377,-0.013948,0.014521,0.0000,0.0000,0.0000
0.320001,0.009953,-0.018709,-0.000563,0.019570,0.027075,0.0000,0.0000,0.0000
0.330135,0.010135,-0.046242,-0.001032,0.043512,0.063496,0.0000,0.0000,0.0000
0.340039,0.009904,0.007627,-0.000956,0.018373,0.019894,0.0000,0.0000,0.0000
0.350074,0.010035,0.014810,-0.000808,-0.053453,0.055466,0.0000,0.0000,0.0000
0.360024,0.009950,-0.009132,-0.000898,-0.045073,0.045989,0.0000,0.0000,0.0000
0.370033,0.010009,0.021992,-0.000678,-0.011554,0.024843,0.0000,0.0000,0.0000
0.380013,0.009980,-0.004344,-0.000722,0.009994,0.010897,0.0000,0.0000,0.0000
0.390028,0.010015,-0.011527,-0.000837,0.019570,0.022713,0.0000,0.0000,0.0000
0.400028,0.010000,0.002839,-0.000809,-0.021131,0.021321,0.0000,0.0000,0.0000
0.410027,0.009999,-0.012724,-0.000936,-0.001977,0.012876,0.0000,0.0000,0.0000
0.420014,0.009987,0.018401,-0.000752,0.009994,0.020940,0.0000,0.0000,0.0000
0.430122,0.010109,0.025584,-0.000494,-0.051059,0.057109,0.0000,0.0000,0.0000
0.440023,0.009901,0.007627,-0.000418,0.020768,0.022124,0.0000,0.0000,0.0000
0.450034,0.010011,-0.028286,-0.000701,-0.046270,0.054231,0.0000,0.0000,0.0000
0.460007,0.009973,-0.023498,-0.000936,0.018373,0.029828,0.0000,0.0000,0.0000
