t_s,dt_s,ax_dynamic,az_dynamic,accel_xz_magnitude
0.000000,0.000000,-0.106227,-0.092549,0.140888
0.009708,0.009708,-0.288187,-0.060227,0.294413
0.019614,0.009905,-0.084680,0.070257,0.110030
0.029630,0.010016,0.415709,-0.079381,0.423220
0.039633,0.010003,0.267268,0.122929,0.294183
0.049643,0.010010,-0.302552,0.189967,0.357247
0.059616,0.009973,-0.229529,-0.197894,0.303060
0.069856,0.010240,-0.090665,0.015190,0.091929
0.079669,0.009814,0.233749,0.302494,0.382285
0.089642,0.009973,0.270859,-0.008752,0.271001
0.099615,0.009973,-0.267836,0.048709,0.272229
0.109733,0.010118,-0.204390,0.037935,0.207880
0.119604,0.009871,0.082914,-0.178740,0.197035
0.129686,0.010082,0.246917,0.167222,0.298214
0.139609,0.009923,0.001512,0.115747,0.115757
0.149636,0.010027,-0.203193,-0.274508,0.341529
0.159621,0.009985,-0.134958,0.125323,0.184173
0.169690,0.010068,0.203822,0.071454,0.215984
0.179606,0.009916,0.213398,-0.140433,0.255461
0.189686,0.010080,-0.230726,0.231865,0.327102
0.199613,0.009927,-0.109819,-0.213456,0.240049
0.209722,0.010110,0.105659,0.002022,0.105679
0.219631,0.009909,0.286422,0.195952,0.347037
0.229632,0.010000,-0.132564,-0.072198,0.150949
0.239605,0.009973,-0.132564,-0.062621,0.146610
0.249632,0.010027,-0.097848,-0.120082,0.154900
0.259675,0.010043,0.167909,-0.124871,0.209251
0.269624,0.009950,0.025454,0.073848,0.078112
0.279609,0.009984,-0.325297,0.118141,0.346086
0.289626,0.010017,-0.166082,0.075045,0.182250
0.299612,0.009987,0.008694,0.002022,0.008926
0.309682,0.010070,-0.169674,-0.031497,0.172572
0.319597,0.009915,-0.198404,0.022373,0.199662
0.329587,0.009990,-0.087074,0.015190,0.088389
0.339597,0.010009,0.094885,0.145674,0.173851
0.349586,0.009990,0.122419,-0.139236,0.185400
0.359577,0.009990,-0.035598,-0.136842,0.141396
0.369561,0.009985,-0.057146,-0.066213,0.087463
0.379589,0.010028,0.019468,0.180390,0.181438
0.389613,0.010024,0.061367,0.222289,0.230604
