t_s,dt_s,ax_dynamic,vel_x,az_dynamic,accel_xz_magnitude,cur_left_a,cur_right_a,cur_total_a
0.000000,0.000000,-0.034115,0.000000,-0.019097,0.039096,0.0000,0.0000,0.0000
0.009850,0.009850,-0.005385,-0.000053,0.006043,0.008094,0.0000,0.0000,0.0000
0.019868,0.010018,0.006586,0.000013,-0.011914,0.013613,0.0000,0.0000,0.0000
0.029860,0.009992,0.004192,0.000055,0.014422,0.015019,0.0000,0.0000,0.0000
0.039879,0.010019,0.008981,0.000145,-0.007126,0.011464,0.0000,0.0000,0.0000
0.049860,0.009982,-0.014961,-0.000005,0.007240,0.016621,0.0000,0.0000,0.0000
0.059988,0.010127,0.024543,0.000244,-0.011914,0.027282,0.0000,0.0000,0.0000
0.069846,0.009859,-0.012567,0.000120,-0.044236,0.045986,0.0000,0.0000,0.0000
0.079871,0.010024,-0.010173,0.000018,0.001254,0.010250,0.0000,0.0000,0.0000
0.089822,0.009951,-0.019750,-0.000178,-0.050221,0.053965,0.0000,0.0000,0.0000
0.099859,0.010037,0.012572,-0.000052,-0.028673,0.031308,0.0000,0.0000,0.0000
0.109836,0.009977,-0.010173,-0.000154,-0.029870,0.031555,0.0000,0.0000,0.0000
0.119866,0.010030,-0.005385,-0.000208,-0.011914,0.013074,0.0000,0.0000,0.0000
0.129817,0.009951,-0.002990,-0.000237,0.004845,0.005694,0.0000,0.0000,0.0000
0.139863,0.010046,-0.008976,-0.000328,0.002451,0.009305,0.0000,0.0000,0.0000
0.149846,0.009983,-0.013764,-0.000465,0.027590,0.030833,0.0000,0.0000,0.0000
0.159986,0.010141,-0.004188,-0.000508,0.033576,0.033836,0.0000,0.0000,0.0000
0.169845,0.009858,0.012572,-0.000384,-0.016702,0.020905,0.0000,0.0000,0.0000
0.179872,0.010028,0.005389,-0.000330,-0.011914,0.013076,0.0000,0.0000,0.0000
0.189823,0.009950,0.007783,-0.000252,-0.028673,0.029711,0.0000,0.0000,0.0000
0.199882,0.010059,-0.008976,-0.000342,-0.044236,0.045137,0.0000,0.0000,0.0000
0.209847,0.009965,-0.007779,-0.000420,-0.003534,0.008544,0.0000,0.0000,0.0000
0.219881,0.010034,-0.011370,-0.000534,0.020408,0.023361,0.0000,0.0000,0.0000
0.229851,0.009969,-0.011370,-0.000647,-0.010717,0.015625,0.0000,0.0000,0.0000
0.239893,0.010043,0.012572,-0.000521,0.013225,0.018247,0.0000,0.0000,0.0000
0.249826,0.009932,-0.007779,-0.000598,-0.022688,0.023984,0.0000,0.0000,0.0000
0.259958,0.010132,0.031725,-0.000277,0.046744,0.056493,0.0000,0.0000,0.0000
0.269831,0.009873,0.024543,-0.000035,0.008437,0.025952,0.0000,0.0000,0.0000
0.279881,0.010049,0.017360,0.000140,0.001254,0.017406,0.0000,0.0000,0.0000
0.289819,0.009939,0.022149,0.000360,-0.014308,0.026368,0.0000,0.0000,0.0000
0.299898,0.010079,-0.011370,0.000245,-0.020294,0.023262,0.0000,0.0000,0.0000
0.309838,0.009940,-0.004188,0.000204,-0.064586,0.064722,0.0000,0.0000,0.0000
0.319870,0.010032,0.012572,0.000330,-0.003534,0.013059,0.0000,0.0000,0.0000
0.329817,0.009947,0.020952,0.000538,-0.029870,0.036486,0.0000,0.0000,0.0000
0.339879,0.010061,-0.007779,0.000460,-0.023885,0.025120,0.0000,0.0000,0.0000
0.349847,0.009969,0.019754,0.000657,-0.025082,0.031927,0.0000,0.0000,0.0000
0.359953,0.010106,-0.004188,0.000615,-0.001140,0.004340,0.0000,0.0000,0.0000
0.369848,0.009895,-0.004188,0.000573,-0.034659,0.034911,0.0000,0.0000,0.0000
0.379887,0.010039,-0.005385,0.000519,-0.019097,0.019841,0.0000,0.0000,0.0000
0.389836,0.009950,0.012572,0.000644,-0.014308,0.019047,0.0000,0.0000,0.0000
0.399883,0.010046,-0.029327,0.000350,-0.037053,0.047254,0.0000,0.0000,0.0000
0.409843,0.009960,-0.002990,0.000320,-0.055010,0.055091,0.0000,0.0000,0.0000
0.419873,0.010031,-0.036509,-0.000046,-0.023885,0.043628,0.0000,0.0000,0.0000
0.429829,0.009956,-0.010173,-0.000148,-0.002337,0.010438,0.0000,0.0000,0.0000
0.439888,0.010059,-0.025735,-0.000407,-0.010717,0.027878,0.0000,0.0000,0.0000
0.449834,0.009946,0.014966,-0.000258,-0.038250,0.041074,0.0000,0.0000,0.0000
0.459956,0.010122,0.004192,-0.000215,-0.021491,0.021896,0.0000,0.0000,0.0000
0.469843,0.009887,0.016163,-0.000055,-0.017899,0.024117,0.0000,0.0000,0.0000
0.479892,0.010049,-0.002990,-0.000085,-0.019097,0.019329,0.0000,0.0000,0.0000
0.489829,0.009937,-0.025735,-0.000341,-0.016702,0.030680,0.0000,0.0000,0.0000
0.499882,0.010053,-0.016159,-0.000504,-0.004731,0.016837,0.0000,0.0000,0.0000
0.509842,0.009960,0.011375,-0.000390,-0.005928,0.012827,0.0000,0.0000,0.0000
0.519885,0.010043,-0.012567,-0.000517,-0.005928,0.013895,0.0000,0.0000,0.0000
0.529819,0.009934,-0.001793,-0.000534,-0.017899,0.017989,0.0000,0.0000,0.0000
0.539892,0.010073,0.002995,-0.000504,0.004845,0.005696,0.0000,0.0000,0.0000
0.549824,0.009932,0.001798,-0.000486,0.022802,0.022873,0.0000,0.0000,0.0000
0.559965,0.010141,0.013769,-0.000347,0.021605,0.025619,0.0000,0.0000,0.0000
0.569849,0.009884,0.020952,-0.000140,-0.040644,0.045727,0.0000,0.0000,0.0000
0.579891,0.010042,-0.018553,-0.000326,0.016816,0.025040,0.0000,0.0000,0.0000
0.589839,0.009948,-0.004188,-0.000368,0.014422,0.015018,0.0000,0.0000,0.0000
0.599901,0.010062,0.006586,-0.000301,-0.004731,0.008110,0.0000,0.0000,0.0000
0.609837,0.009936,-0.019750,-0.000498,0.008437,0.021476,0.0000,0.0000,0.0000
0.619895,0.010059,0.012572,-0.000371,-0.023885,0.026992,0.0000,0.0000,0.0000
