t_s,dt_s,ax_dynamic,vel_x,az_dynamic,accel_xz_magnitude,cur_left_a,cur_right_a,cur_total_a
0.000000,0.000000,-0.004489,0.000000,0.033606,0.033905,0.0000,0.0000,0.0000
0.009909,0.009909,0.020650,0.000205,0.000087,0.020650,0.0000,0.0000,0.0000
0.019946,0.010037,-0.011672,0.000087,-0.014278,0.018442,0.0000,0.0000,0.0000
0.029866,0.009920,-0.006884,0.000019,-0.016672,0.018037,0.0000,0.0000,0.0000
0.039965,0.010099,0.012270,0.000143,-0.002307,0.012485,0.0000,0.0000,0.0000
0.049837,0.009873,-0.006884,0.000075,0.007270,0.010012,0.0000,0.0000,0.0000
0.059905,0.010068,-0.002095,0.000054,-0.015475,0.015616,0.0000,0.0000,0.0000
0.069836,0.009931,-0.021249,-0.000157,0.002482,0.021393,0.0000,0.0000,0.0000
0.079924,0.010088,-0.030826,-0.000468,0.027621,0.041390,0.0000,0.0000,0.0000
0.089847,0.009923,-0.035614,-0.000821,0.006073,0.036128,0.0000,0.0000,0.0000
0.099919,0.010072,-0.020052,-0.001023,-0.010687,0.022722,0.0000,0.0000,0.0000
0.109866,0.009947,0.019453,-0.000830,-0.011884,0.022795,0.0000,0.0000,0.0000
0.119929,0.010063,0.007482,-0.000755,-0.050191,0.050745,0.0000,0.0000,0.0000
0.129832,0.009903,-0.015263,-0.000906,-0.002307,0.015437,0.0000,0.0000,0.0000
0.139954,0.010122,-0.002095,-0.000927,0.047971,0.048017,0.0000,0.0000,0.0000
0.149884,0.009930,0.012270,-0.000805,0.021635,0.024872,0.0000,0.0000,0.0000
0.159929,0.010046,-0.008081,-0.000886,-0.002307,0.008404,0.0000,0.0000,0.0000
0.169862,0.009932,0.009876,-0.000788,0.014453,0.017505,0.0000,0.0000,0.0000
0.179909,0.010047,-0.027234,-0.001062,0.003679,0.027482,0.0000,0.0000,0.0000
0.189844,0.009935,-0.000898,-0.001071,-0.022658,0.022675,0.0000,0.0000,0.0000
0.199921,0.010077,0.014664,-0.000923,-0.032234,0.035413,0.0000,0.0000,0.0000
0.209867,0.009946,-0.006884,-0.000991,-0.053782,0.054221,0.0000,0.0000,0.0000
0.219935,0.010068,0.014664,-0.000844,0.057548,0.059387,0.0000,0.0000,0.0000
0.229838,0.009902,-0.016461,-0.001007,-0.040614,0.043823,0.0000,0.0000,0.0000
0.239961,0.010124,-0.010475,-0.001113,-0.004701,0.011482,0.0000,0.0000,0.0000
0.249851,0.009890,0.005087,-0.001063,-0.025052,0.025563,0.0000,0.0000,0.0000
0.259925,0.010073,-0.014066,-0.001204,0.003679,0.014539,0.0000,0.0000,0.0000
0.269843,0.009919,-0.014066,-0.001344,-0.001110,0.014110,0.0000,0.0000,0.0000
0.279979,0.010136,-0.020052,-0.001547,0.015650,0.025436,0.0000,0.0000,0.0000
0.289838,0.009858,-0.026037,-0.001804,0.003679,0.026296,0.0000,0.0000,0.0000
0.299935,0.010098,-0.024840,-0.002054,-0.019066,0.031314,0.0000,0.0000,0.0000
0.309831,0.009896,-0.005687,-0.002111,0.000087,0.005687,0.0000,0.0000,0.0000
0.319940,0.010109,-0.012869,-0.002241,-0.003504,0.013338,0.0000,0.0000,0.0000
0.329838,0.009898,-0.018855,-0.002427,0.028818,0.034438,0.0000,0.0000,0.0000
0.339965,0.010128,-0.005687,-0.002485,0.045577,0.045931,0.0000,0.0000,0.0000
0.349870,0.009905,0.008679,-0.002399,-0.035826,0.036862,0.0000,0.0000,0.0000
