t_s,dt_s,ax_dynamic,vel_x,az_dynamic,accel_xz_magnitude,cur_left_a,cur_right_a,cur_total_a
0.000000,0.000000,-0.005212,0.000000,0.014699,0.015595,0.0000,0.0000,0.0000
0.009818,0.009818,-0.002818,-0.000028,-0.052339,0.052415,0.0000,0.0000,0.0000
0.019873,0.010055,0.012745,0.000100,-0.002061,0.012910,0.0000,0.0000,0.0000
0.029809,0.009936,-0.015986,-0.000058,-0.005652,0.016956,0.0000,0.0000,0.0000
0.039835,0.010026,0.007956,0.000021,0.001531,0.008102,0.0000,0.0000,0.0000
0.049816,0.009981,0.019927,0.000220,0.036247,0.041363,0.0000,0.0000,0.0000
0.059834,0.010018,-0.002818,0.000192,-0.034382,0.034498,0.0000,0.0000,0.0000
0.069820,0.009986,0.017533,0.000367,0.003925,0.017967,0.0000,0.0000,0.0000
0.079835,0.010015,-0.010000,0.000267,0.054203,0.055118,0.0000,0.0000,0.0000
0.089801,0.009966,-0.024366,0.000024,-0.003258,0.024582,0.0000,0.0000,0.0000
0.099841,0.010041,-0.015986,-0.000136,-0.022411,0.027529,0.0000,0.0000,0.0000
0.109976,0.010135,-0.029154,-0.000432,-0.036777,0.046931,0.0000,0.0000,0.0000
0.119886,0.009910,-0.007606,-0.000507,-0.024806,0.025946,0.0000,0.0000,0.0000
0.129809,0.009923,-0.012395,-0.000630,0.030261,0.032701,0.0000,0.0000,0.0000
0.139832,0.010023,0.003168,-0.000598,0.030261,0.030426,0.0000,0.0000,0.0000
0.149796,0.009964,-0.013592,-0.000734,0.036247,0.038711,0.0000,0.0000,0.0000
0.159817,0.010020,-0.001621,-0.000750,-0.017623,0.017697,0.0000,0.0000,0.0000
0.169784,0.009967,-0.004015,-0.000790,-0.016426,0.016909,0.0000,0.0000,0.0000
0.179850,0.010066,-0.010000,-0.000891,-0.017623,0.020263,0.0000,0.0000,0.0000
0.189793,0.009943,0.023518,-0.000657,-0.011637,0.026240,0.0000,0.0000,0.0000
0.199855,0.010063,0.016336,-0.000493,0.018290,0.024523,0.0000,0.0000,0.0000
0.209781,0.009926,0.001971,-0.000473,-0.027200,0.027271,0.0000,0.0000,0.0000
0.219858,0.010077,0.012745,-0.000345,0.024276,0.027418,0.0000,0.0000,0.0000
0.229800,0.009942,0.000774,-0.000337,-0.028397,0.028407,0.0000,0.0000,0.0000
0.239834,0.010035,-0.013592,-0.000473,-0.059522,0.061054,0.0000,0.0000,0.0000
0.249816,0.009981,-0.014789,-0.000621,-0.046353,0.048655,0.0000,0.0000,0.0000
0.259824,0.010009,0.001971,-0.000601,0.002728,0.003365,0.0000,0.0000,0.0000
0.269789,0.009965,0.025913,-0.000343,-0.006849,0.026802,0.0000,0.0000,0.0000
0.279839,0.010050,-0.021971,-0.000564,0.017093,0.027837,0.0000,0.0000,0.0000
0.289820,0.009982,0.013942,-0.000425,0.030261,0.033318,0.0000,0.0000,0.0000
0.299834,0.010014,-0.014789,-0.000573,-0.002061,0.014932,0.0000,0.0000,0.0000
0.309785,0.009951,0.039081,-0.000184,0.021881,0.044789,0.0000,0.0000,0.0000
0.319903,0.010118,0.015139,-0.000031,0.020684,0.025632,0.0000,0.0000,0.0000
0.329865,0.009962,-0.024366,-0.000273,0.009910,0.026304,0.0000,0.0000,0.0000
0.339839,0.009973,-0.006409,-0.000337,0.036247,0.036809,0.0000,0.0000,0.0000
0.349865,0.010026,0.009153,-0.000245,0.008713,0.012637,0.0000,0.0000,0.0000
0.359843,0.009978,0.000774,-0.000238,-0.027200,0.027211,0.0000,0.0000,0.0000
0.369859,0.010016,0.001971,-0.000218,0.000334,0.001999,0.0000,0.0000,0.0000
0.379882,0.010023,-0.001621,-0.000234,0.003925,0.004246,0.0000,0.0000,0.0000
0.389867,0.009985,0.025913,0.000024,-0.010440,0.027937,0.0000,0.0000,0.0000
0.399860,0.009993,-0.000424,0.000020,0.053006,0.053008,0.0000,0.0000,0.0000
0.409874,0.010014,-0.004015,-0.000020,0.006319,0.007487,0.0000,0.0000,0.0000
0.419985,0.010111,-0.019577,-0.000218,-0.008046,0.021166,0.0000,0.0000,0.0000
0.429872,0.009887,-0.004015,-0.000258,-0.022411,0.022768,0.0000,0.0000,0.0000
0.439902,0.010031,-0.020774,-0.000466,0.043429,0.048142,0.0000,0.0000,0.0000
0.449841,0.009938,-0.035140,-0.000815,0.019487,0.040181,0.0000,0.0000,0.0000
0.459840,0.010000,-0.018380,-0.000999,-0.004455,0.018912,0.0000,0.0000,0.0000
0.469843,0.010003,0.034292,-0.000656,-0.005652,0.034755,0.0000,0.0000,0.0000
0.479836,0.009994,-0.010000,-0.000756,-0.008046,0.012835,0.0000,0.0000,0.0000
0.489842,0.010005,-0.008803,-0.000844,0.042232,0.043140,0.0000,0.0000,0.0000
0.499870,0.010028,-0.014789,-0.000992,0.012305,0.019238,0.0000,0.0000,0.0000
0.509846,0.009977,0.003168,-0.000961,-0.008046,0.008647,0.0000,0.0000,0.0000
0.520128,0.010282,0.019927,-0.000756,-0.012835,0.023703,0.0000,0.0000,0.0000
0.530181,0.010053,-0.025563,-0.001013,-0.037974,0.045776,0.0000,0.0000,0.0000
0.540193,0.010012,0.011547,-0.000897,-0.015229,0.019112,0.0000,0.0000,0.0000
0.549888,0.009695,-0.023169,-0.001122,0.014699,0.027438,0.0000,0.0000,0.0000
0.560134,0.010246,0.001971,-0.001102,0.015896,0.016018,0.0000,0.0000,0.0000
0.569859,0.009725,0.004365,-0.001059,0.056597,0.056765,0.0000,0.0000,0.0000
0.579971,0.010112,-0.008803,-0.001148,0.018290,0.020298,0.0000,0.0000,0.0000
0.589842,0.009871,-0.000424,-0.001152,0.030261,0.030264,0.0000,0.0000,0.0000
0.599938,0.010097,-0.012395,-0.001278,0.008713,0.015151,0.0000,0.0000,0.0000
0.609822,0.009884,0.010350,-0.001175,-0.018820,0.021478,0.0000,0.0000,0.0000
0.620157,0.010335,-0.015986,-0.001340,0.011107,0.019466,0.0000,0.0000,0.0000
0.630300,0.010143,0.016336,-0.001175,-0.000864,0.016359,0.0000,0.0000,0.0000
0.639954,0.009655,0.019927,-0.000982,-0.042762,0.047177,0.0000,0.0000,0.0000
0.649856,0.009902,0.027110,-0.000714,-0.005652,0.027693,0.0000,0.0000,0.0000
0.659933,0.010077,-0.021971,-0.000935,-0.024806,0.033137,0.0000,0.0000,0.0000
0.669910,0.009977,-0.018380,-0.001119,-0.010440,0.021138,0.0000,0.0000,0.0000
0.679970,0.010060,0.000774,-0.001111,-0.040368,0.040375,0.0000,0.0000,0.0000
0.689821,0.009851,0.028307,-0.000832,-0.003258,0.028494,0.0000,0.0000,0.0000
0.699923,0.010102,0.016336,-0.000667,-0.008046,0.018210,0.0000,0.0000,0.0000
0.709821,0.009898,0.023518,-0.000434,-0.018820,0.030122,0.0000,0.0000,0.0000
0.720026,0.010204,0.000774,-0.000426,-0.041565,0.041572,0.0000,0.0000,0.0000
0.729923,0.009897,-0.018380,-0.000608,-0.006849,0.019615,0.0000,0.0000,0.0000
0.739973,0.010050,-0.002818,-0.000637,-0.026003,0.026155,0.0000,0.0000,0.0000
0.749831,0.009858,0.029504,-0.000346,0.006319,0.030173,0.0000,0.0000,0.0000
0.759958,0.010128,-0.006409,-0.000411,-0.033185,0.033799,0.0000,0.0000,0.0000
0.769845,0.009887,-0.005212,-0.000462,-0.018820,0.019528,0.0000,0.0000,0.0000
0.780326,0.010481,0.009153,-0.000366,-0.000864,0.009194,0.0000,0.0000,0.0000
0.789868,0.009542,-0.018380,-0.000542,-0.031988,0.036893,0.0000,0.0000,0.0000
