t_s,dt_s,ax_dynamic,vel_x,az_dynamic,accel_xz_magnitude,cur_left_a,cur_right_a,cur_total_a
0.679923,0.009969,-0.041755,0.000533,0.040956,0.058488,0.0000,0.0000,0.0000
0.689941,0.010018,-0.003448,0.000499,0.015817,0.016188,0.0000,0.0000,0.0000
0.699918,0.009977,0.008523,0.000584,-0.000943,0.008575,0.0000,0.0000,0.0000
0.709949,0.010031,0.003734,0.000621,-0.016505,0.016922,0.0000,0.0000,0.0000
0.719908,0.009959,-0.001054,0.000611,-0.018899,0.018929,0.0000,0.0000,0.0000
0.729931,0.010022,-0.001054,0.000600,-0.038053,0.038068,0.0000,0.0000,0.0000
0.739906,0.009975,-0.007040,0.000530,-0.015308,0.016849,0.0000,0.0000,0.0000
0.749961,0.010055,-0.028587,0.000243,0.022999,0.036691,0.0000,0.0000,0.0000
0.759916,0.009956,-0.009434,0.000149,0.002648,0.009798,0.0000,0.0000,0.0000
0.769969,0.010053,0.019297,0.000343,0.009831,0.021657,0.0000,0.0000,0.0000
0.779912,0.009943,0.006129,0.000404,-0.008125,0.010178,0.0000,0.0000,0.0000
0.789967,0.010054,-0.009434,0.000309,-0.018899,0.021123,0.0000,0.0000,0.0000
0.799913,0.009947,-0.014222,0.000167,0.012225,0.018754,0.0000,0.0000,0.0000
0.809944,0.010030,-0.023799,-0.000071,0.008634,0.025317,0.0000,0.0000,0.0000
0.819891,0.009947,0.019297,0.000121,-0.010520,0.021978,0.0000,0.0000,0.0000
0.829924,0.010033,-0.011828,0.000002,0.027788,0.030200,0.0000,0.0000,0.0000
0.839923,0.010000,0.014508,0.000147,-0.011717,0.018649,0.0000,0.0000,0.0000
0.849968,0.010045,0.012114,0.000269,0.049335,0.050801,0.0000,0.0000,0.0000
0.859907,0.009939,0.013311,0.000401,0.044547,0.046493,0.0000,0.0000,0.0000
0.869964,0.010056,-0.021405,0.000186,0.033773,0.039985,0.0000,0.0000,0.0000
0.879932,0.009968,-0.002251,0.000163,-0.038053,0.038119,0.0000,0.0000,0.0000
0.889968,0.010036,-0.038164,-0.000220,-0.029673,0.048343,0.0000,0.0000,0.0000
0.899903,0.009934,-0.020208,-0.000420,0.017014,0.026416,0.0000,0.0000,0.0000
0.909961,0.010058,-0.001054,-0.000431,0.014619,0.014657,0.0000,0.0000,0.0000
0.919888,0.009927,-0.011828,-0.000548,0.021802,0.024804,0.0000,0.0000,0.0000
0.929951,0.010063,-0.020208,-0.000752,-0.041644,0.046288,0.0000,0.0000,0.0000
0.939900,0.009949,-0.004645,-0.000798,-0.017702,0.018302,0.0000,0.0000,0.0000
0.949988,0.010088,-0.004645,-0.000845,-0.010520,0.011500,0.0000,0.0000,0.0000
0.959922,0.009933,0.003734,-0.000808,-0.011717,0.012297,0.0000,0.0000,0.0000
0.969926,0.010005,0.021691,-0.000591,0.005043,0.022269,0.0000,0.0000,0.0000
0.979919,0.009993,0.019297,-0.000398,-0.010520,0.021978,0.0000,0.0000,0.0000
0.989952,0.010032,0.013311,-0.000264,-0.005731,0.014493,0.0000,0.0000,0.0000
0.999899,0.009947,0.031268,0.000047,0.063701,0.070961,0.0000,0.0000,0.0000
1.009935,0.010036,0.010917,0.000156,0.006240,0.012574,0.0000,0.0000,0.0000
1.019891,0.009956,-0.028587,-0.000128,-0.016505,0.033010,0.0000,0.0000,0.0000
1.029918,0.010028,-0.013025,-0.000259,0.025393,0.028539,0.0000,0.0000,0.0000
1.040301,0.010383,0.012114,-0.000133,-0.032067,0.034279,0.0000,0.0000,0.0000
1.049949,0.009648,0.003734,-0.000097,-0.033265,0.033473,0.0000,0.0000,0.0000
1.059896,0.009947,0.009720,-0.000001,0.013422,0.016572,0.0000,0.0000,0.0000
1.069927,0.010031,-0.017813,-0.000179,-0.026082,0.031585,0.0000,0.0000,0.0000
1.079924,0.009997,0.012114,-0.000058,0.003846,0.012710,0.0000,0.0000,0.0000
1.089951,0.010027,0.025282,0.000195,-0.011717,0.027865,0.0000,0.0000,0.0000
1.099892,0.009942,0.020494,0.000399,0.001451,0.020545,0.0000,0.0000,0.0000
1.109928,0.010035,0.002537,0.000425,0.015817,0.016019,0.0000,0.0000,0.0000
1.119902,0.009974,0.016903,0.000593,-0.005731,0.017848,0.0000,0.0000,0.0000
1.129956,0.010054,0.001340,0.000607,-0.027279,0.027312,0.0000,0.0000,0.0000
1.139923,0.009966,0.014508,0.000751,0.042153,0.044580,0.0000,0.0000,0.0000
1.149946,0.010023,-0.003448,0.000717,-0.006928,0.007739,0.0000,0.0000,0.0000
1.159928,0.009982,0.001340,0.000730,0.026591,0.026624,0.0000,0.0000,0.0000
1.169941,0.010012,-0.022602,0.000504,0.036167,0.042649,0.0000,0.0000,0.0000
1.179891,0.009950,-0.003448,0.000469,0.025393,0.025626,0.0000,0.0000,0.0000
1.189937,0.010046,0.010917,0.000579,-0.000943,0.010958,0.0000,0.0000,0.0000
1.199897,0.009960,-0.013025,0.000449,0.008634,0.015627,0.0000,0.0000,0.0000
1.209946,0.010049,0.008523,0.000535,-0.014111,0.016485,0.0000,0.0000,0.0000
1.219918,0.009973,-0.007040,0.000465,-0.034462,0.035173,0.0000,0.0000,0.0000
1.229945,0.010027,-0.015419,0.000310,-0.005731,0.016450,0.0000,0.0000,0.0000
1.239909,0.009964,-0.015419,0.000157,-0.005731,0.016450,0.0000,0.0000,0.0000
1.249960,0.010051,-0.003448,0.000122,-0.009323,0.009940,0.0000,0.0000,0.0000
1.259899,0.009939,-0.011828,0.000004,-0.035659,0.037569,0.0000,0.0000,0.0000
1.269936,0.010036,-0.026193,-0.000259,-0.012914,0.029204,0.0000,0.0000,0.0000
1.279904,0.009969,-0.005842,-0.000317,0.049335,0.049680,0.0000,0.0000,0.0000
1.289932,0.010028,0.007326,-0.000243,-0.006928,0.010083,0.0000,0.0000,0.0000
1.299901,0.009969,0.004932,-0.000194,0.017014,0.017714,0.0000,0.0000,0.0000
1.309927,0.010027,0.006129,-0.000133,0.038562,0.039045,0.0000,0.0000,0.0000
1.319916,0.009989,-0.003448,-0.000167,0.003846,0.005165,0.0000,0.0000,0.0000
1.329926,0.010010,0.007326,-0.000094,-0.006928,0.010083,0.0000,0.0000,0.0000
1.339906,0.009980,0.013311,0.000039,-0.029673,0.032522,0.0000,0.0000,0.0000
1.349963,0.010057,-0.009434,-0.000056,-0.000943,0.009481,0.0000,0.0000,0.0000
1.359903,0.009939,0.013311,0.000076,0.011028,0.017286,0.0000,0.0000,0.0000
1.369942,0.010039,0.024085,0.000318,-0.002140,0.024180,0.0000,0.0000,0.0000
1.379902,0.009960,0.015705,0.000475,-0.027279,0.031477,0.0000,0.0000,0.0000
1.389973,0.010071,-0.021405,0.000259,-0.033265,0.039556,0.0000,0.0000,0.0000
1.399890,0.009917,0.000143,0.000261,0.001451,0.001458,0.0000,0.0000,0.0000
1.409936,0.010046,0.004932,0.000310,0.043350,0.043630,0.0000,0.0000,0.0000
1.419945,0.010009,-0.011828,0.000192,0.022999,0.025862,0.0000,0.0000,0.0000
1.429955,0.010010,-0.010631,0.000085,0.002648,0.010956,0.0000,0.0000,0.0000
1.439894,0.009939,0.012114,0.000206,-0.030870,0.033162,0.0000,0.0000,0.0000
1.449957,0.010063,-0.023799,-0.000034,-0.016505,0.028962,0.0000,0.0000,0.0000
1.459902,0.009945,0.003734,0.000003,-0.008125,0.008942,0.0000,0.0000,0.0000
1.469932,0.010030,0.000143,0.000005,0.014619,0.014620,0.0000,0.0000,0.0000
1.479914,0.009983,0.004932,0.000054,-0.030870,0.031262,0.0000,0.0000,0.0000
1.489934,0.010020,0.001340,0.000067,0.020605,0.020649,0.0000,0.0000,0.0000
1.499907,0.009973,-0.019011,-0.000122,-0.009323,0.021173,0.0000,0.0000,0.0000
1.509951,0.010044,-0.020208,-0.000325,-0.033265,0.038921,0.0000,0.0000,0.0000
1.519907,0.009957,-0.016616,-0.000491,-0.050024,0.052711,0.0000,0.0000,0.0000
1.529944,0.010037,-0.004645,-0.000537,0.003846,0.006031,0.0000,0.0000,0.0000
1.539915,0.009970,0.013311,-0.000404,-0.054812,0.056406,0.0000,0.0000,0.0000
1.549978,0.010063,0.013311,-0.000271,0.025393,0.028671,0.0000,0.0000,0.0000
1.559922,0.009944,-0.002251,-0.000293,-0.003337,0.004025,0.0000,0.0000,0.0000
1.569938,0.010016,-0.001054,-0.000303,-0.017702,0.017734,0.0000,0.0000,0.0000
1.579913,0.009975,-0.023799,-0.000541,-0.004534,0.024227,0.0000,0.0000,0.0000
1.589952,0.010039,-0.022602,-0.000768,-0.004534,0.023052,0.0000,0.0000,0.0000
1.599917,0.009965,0.024085,-0.000528,0.000254,0.024086,0.0000,0.0000,0.0000
1.609936,0.010020,-0.013025,-0.000658,0.046941,0.048715,0.0000,0.0000,0.0000
1.619931,0.009995,0.007326,-0.000585,0.012225,0.014252,0.0000,0.0000,0.0000
1.629931,0.010000,-0.070486,-0.001290,0.020605,0.073436,0.0000,0.0000,0.0000
1.640555,0.010624,-0.022602,-0.001530,-0.005731,0.023317,0.0000,0.0000,0.0000
1.649974,0.009418,0.007326,-0.001461,-0.035659,0.036403,0.0000,0.0000,0.0000
1.659944,0.009971,-0.005842,-0.001519,0.013422,0.014639,0.0000,0.0000,0.0000
1.669935,0.009991,0.001340,-0.001506,-0.006928,0.007057,0.0000,0.0000,0.0000
1.680684,0.010749,-0.003448,-0.001543,-0.034462,0.034634,0.0000,0.0000,0.0000
1.689953,0.009269,0.000143,-0.001542,0.049335,0.049336,0.0000,0.0000,0.0000
1.699893,0.009940,-0.005842,-0.001600,0.007437,0.009457,0.0000,0.0000,0.0000
1.709945,0.010052,-0.017813,-0.001779,0.018211,0.025475,0.0000,0.0000,0.0000
1.719893,0.009948,-0.017813,-0.001956,0.027788,0.033007,0.0000,0.0000,0.0000
1.729964,0.010071,-0.024996,-0.002208,-0.000943,0.025014,0.0000,0.0000,0.0000
1.739900,0.009936,-0.030982,-0.002516,0.000254,0.030983,0.0000,0.0000,0.0000
1.749954,0.010054,-0.014222,-0.002659,0.007437,0.016049,0.0000,0.0000,0.0000
