t_s,dt_s,ax_dynamic,vel_x,az_dynamic,accel_xz_magnitude,cur_left_a,cur_right_a,cur_total_a
0.000000,0.000000,-0.036392,0.000000,0.016253,0.039857,0.0000,0.0000,0.0000
0.009818,0.009818,-0.054348,-0.000534,0.018647,0.057459,0.0000,0.0000,0.0000
0.019825,0.010006,-0.068714,-0.001221,-0.013674,0.070061,0.0000,0.0000,0.0000
0.029789,0.009964,-0.059137,-0.001810,-0.025645,0.064458,0.0000,0.0000,0.0000
0.039826,0.010037,-0.067517,-0.002488,-0.007689,0.067953,0.0000,0.0000,0.0000
0.049745,0.009919,-0.054348,-0.003027,0.005479,0.054624,0.0000,0.0000,0.0000
0.059854,0.010109,-0.050757,-0.003540,-0.000506,0.050760,0.0000,0.0000,0.0000
0.069782,0.009928,-0.077093,-0.004306,0.011465,0.077941,0.0000,0.0000,0.0000
0.080318,0.010537,-0.063925,-0.004979,0.000691,0.063929,0.0000,0.0000,0.0000
0.089786,0.009468,-0.083079,-0.005766,0.005479,0.083259,0.0000,0.0000,0.0000
0.099895,0.010109,-0.065122,-0.006424,0.001888,0.065150,0.0000,0.0000,0.0000
0.109869,0.009975,-0.079488,-0.007217,0.043787,0.090750,0.0000,0.0000,0.0000
0.121092,0.011222,-0.061531,-0.007907,0.005479,0.061775,0.0000,0.0000,0.0000
0.129917,0.008826,-0.056743,-0.008408,0.013859,0.058411,0.0000,0.0000,0.0000
0.139809,0.009891,-0.079488,-0.009194,0.007874,0.079877,0.0000,0.0000,0.0000
0.149785,0.009976,-0.060334,-0.009796,-0.000506,0.060336,0.0000,0.0000,0.0000
0.159832,0.010047,-0.080685,-0.010607,-0.028039,0.085418,0.0000,0.0000,0.0000
0.169778,0.009946,-0.057940,-0.011183,-0.016068,0.060127,0.0000,0.0000,0.0000
0.179850,0.010072,-0.056743,-0.011755,0.049772,0.075478,0.0000,0.0000,0.0000
0.191000,0.011151,-0.071108,-0.012548,-0.013674,0.072411,0.0000,0.0000,0.0000
0.200687,0.009686,-0.081882,-0.013341,0.027027,0.086227,0.0000,0.0000,0.0000
0.209918,0.009231,-0.050757,-0.013809,-0.022054,0.055341,0.0000,0.0000,0.0000
0.219868,0.009950,-0.063925,-0.014445,0.022239,0.067683,0.0000,0.0000,0.0000
0.229770,0.009902,-0.041180,-0.014853,-0.002900,0.041282,0.0000,0.0000,0.0000
0.239801,0.010031,-0.054348,-0.015398,-0.002900,0.054426,0.0000,0.0000,0.0000
0.249768,0.009967,-0.062728,-0.016024,-0.013674,0.064201,0.0000,0.0000,0.0000
0.259804,0.010036,-0.055546,-0.016581,-0.045996,0.072118,0.0000,0.0000,0.0000
0.269766,0.009961,-0.048363,-0.017063,0.005479,0.048672,0.0000,0.0000,0.0000
0.279952,0.010186,-0.035195,-0.017421,-0.025645,0.043547,0.0000,0.0000,0.0000
0.289794,0.009842,-0.060334,-0.018015,0.015056,0.062184,0.0000,0.0000,0.0000
0.299893,0.010099,-0.053151,-0.018552,0.025830,0.059095,0.0000,0.0000,0.0000
0.309770,0.009877,-0.069911,-0.019242,0.037801,0.079476,0.0000,0.0000,0.0000
0.319784,0.010014,-0.054348,-0.019787,0.036604,0.065526,0.0000,0.0000,0.0000
0.329780,0.009996,-0.068714,-0.020474,0.031816,0.075722,0.0000,0.0000,0.0000
0.339796,0.010016,-0.057940,-0.021054,0.028224,0.064449,0.0000,0.0000,0.0000
0.349738,0.009942,-0.055546,-0.021606,0.027027,0.061772,0.0000,0.0000,0.0000
0.359828,0.010090,-0.047166,-0.022082,0.012662,0.048836,0.0000,0.0000,0.0000
0.369761,0.009933,-0.047166,-0.022550,0.007874,0.047819,0.0000,0.0000,0.0000
0.379891,0.010130,-0.050757,-0.023065,-0.016068,0.053240,0.0000,0.0000,0.0000
0.389761,0.009870,-0.043575,-0.023495,0.024633,0.050055,0.0000,0.0000,0.0000
0.399805,0.010044,-0.062728,-0.024125,-0.010083,0.063533,0.0000,0.0000,0.0000
0.409766,0.009961,-0.028012,-0.024404,0.001888,0.028076,0.0000,0.0000,0.0000
0.419798,0.010031,-0.050757,-0.024913,-0.018463,0.054011,0.0000,0.0000,0.0000
0.429789,0.009991,-0.028012,-0.025193,-0.032828,0.043155,0.0000,0.0000,0.0000
0.439813,0.010025,-0.056743,-0.025762,0.016253,0.059025,0.0000,0.0000,0.0000
0.449765,0.009952,-0.067517,-0.026434,-0.012477,0.068660,0.0000,0.0000,0.0000
0.459789,0.010024,-0.053151,-0.026966,0.011465,0.054374,0.0000,0.0000,0.0000
0.469793,0.010004,-0.073502,-0.027702,-0.014871,0.074991,0.0000,0.0000,0.0000
0.479839,0.010046,-0.049560,-0.028200,0.000691,0.049565,0.0000,0.0000,0.0000
0.489747,0.009909,-0.044772,-0.028643,-0.012477,0.046478,0.0000,0.0000,0.0000
0.499897,0.010150,-0.063925,-0.029292,0.007874,0.064408,0.0000,0.0000,0.0000
0.509751,0.009854,-0.053151,-0.029816,-0.007689,0.053705,0.0000,0.0000,0.0000
0.519824,0.010072,-0.047166,-0.030291,-0.059164,0.075664,0.0000,0.0000,0.0000
0.529767,0.009943,-0.055546,-0.030843,-0.002900,0.055621,0.0000,0.0000,0.0000
0.539781,0.010014,-0.050757,-0.031351,-0.034025,0.061106,0.0000,0.0000,0.0000
0.549740,0.009960,-0.072305,-0.032072,0.009071,0.072872,0.0000,0.0000,0.0000
0.559790,0.010049,-0.074699,-0.032822,-0.016068,0.076408,0.0000,0.0000,0.0000
0.569747,0.009958,-0.043575,-0.033256,-0.010083,0.044726,0.0000,0.0000,0.0000
0.579798,0.010051,-0.057940,-0.033838,-0.025645,0.063362,0.0000,0.0000,0.0000
0.589742,0.009944,-0.083079,-0.034665,-0.038813,0.091698,0.0000,0.0000,0.0000
0.599805,0.010063,-0.050757,-0.035175,0.006676,0.051194,0.0000,0.0000,0.0000
0.609764,0.009959,-0.044772,-0.035621,0.022239,0.049991,0.0000,0.0000,0.0000
0.619773,0.010009,-0.050757,-0.036129,0.001888,0.050792,0.0000,0.0000,0.0000
0.629759,0.009986,-0.041180,-0.036541,0.010268,0.042441,0.0000,0.0000,0.0000
0.639778,0.010019,-0.062728,-0.037169,-0.020857,0.066105,0.0000,0.0000,0.0000
0.649751,0.009972,-0.054348,-0.037711,-0.004097,0.054503,0.0000,0.0000,0.0000
0.659781,0.010031,-0.054348,-0.038256,-0.018463,0.057399,0.0000,0.0000,0.0000
0.669739,0.009958,-0.045969,-0.038714,0.033013,0.056595,0.0000,0.0000,0.0000
0.679981,0.010242,-0.036392,-0.039087,0.000691,0.036399,0.0000,0.0000,0.0000
0.689752,0.009772,-0.053151,-0.039606,-0.012477,0.054596,0.0000,0.0000,0.0000
0.699883,0.010130,-0.067517,-0.040290,-0.008886,0.068099,0.0000,0.0000,0.0000
0.709756,0.009873,-0.038786,-0.040673,-0.011280,0.040393,0.0000,0.0000,0.0000
0.719822,0.010067,-0.053151,-0.041208,-0.012477,0.054596,0.0000,0.0000,0.0000
0.729787,0.009965,-0.047166,-0.041678,0.027027,0.054361,0.0000,0.0000,0.0000
0.739795,0.010008,-0.050757,-0.042186,0.029421,0.058668,0.0000,0.0000,0.0000
0.749769,0.009973,-0.053151,-0.042716,0.004282,0.053324,0.0000,0.0000,0.0000
0.759800,0.010032,-0.049560,-0.043213,0.028224,0.057033,0.0000,0.0000,0.0000
