t_s,dt_s,ax_dynamic,az_dynamic,accel_xz_magnitude
0.000000,0.000000,0.039722,-0.074350,0.084296
0.009727,0.009727,0.054087,-0.009707,0.054951
0.019337,0.009610,0.045707,0.033389,0.056603
0.029248,0.009910,0.073241,0.135142,0.153713
0.039230,0.009983,0.044510,0.035783,0.057110
0.049221,0.009991,-0.042878,-0.013298,0.044893
0.059201,0.009980,-0.057243,0.030994,0.065096
0.069239,0.010037,-0.023725,-0.097095,0.099952
0.079232,0.009993,-0.012951,-0.080336,0.081373
0.089183,0.009951,0.107956,-0.031255,0.112390
0.099202,0.010019,0.157038,-0.099490,0.185900
0.109251,0.010049,0.105562,0.045360,0.114895
0.119191,0.009940,-0.004571,0.100426,0.100530
0.129176,0.009985,-0.062032,0.025009,0.066883
0.139189,0.010013,-0.068017,-0.043226,0.080591
0.149193,0.010005,0.005006,-0.075548,0.075713
0.159178,0.009984,0.006203,-0.068365,0.068646
0.169208,0.010030,0.086409,-0.063577,0.107277
0.179186,0.009978,0.155840,-0.014495,0.156513
0.189166,0.009980,0.161826,0.005855,0.161932
0.199194,0.010029,0.086409,0.180632,0.200236
0.209249,0.010054,0.038525,0.054936,0.067098
0.219198,0.009949,0.000217,0.009447,0.009449
0.229185,0.009987,-0.046470,0.066907,0.081462
0.239187,0.010003,0.042116,0.002264,0.042177
0.249240,0.010052,0.075635,-0.079139,0.109469
0.259190,0.009950,0.036130,-0.088716,0.095791
0.269144,0.009954,-0.005768,-0.098292,0.098462
0.279198,0.010053,-0.018936,-0.065971,0.068635
0.289171,0.009973,-0.028513,0.113594,0.117118
0.299186,0.010015,0.000217,0.011841,0.011843
0.309249,0.010064,0.044510,0.052542,0.068861
0.319230,0.009981,0.141475,0.126763,0.189958
0.329215,0.009985,0.135490,-0.104278,0.170972
0.339182,0.009968,0.052890,0.053739,0.075401
0.349178,0.009996,0.008597,0.046557,0.047344
0.359175,0.009997,0.084014,-0.031255,0.089640
0.369186,0.010011,0.152249,-0.000130,0.152249
0.379176,0.009990,0.104365,0.030994,0.108870
0.389162,0.009986,0.057678,0.065710,0.087434
0.399783,0.010621,0.050496,0.039374,0.064032
