t_s,dt_s,az_raw,az_dynamic,vel_z,disp_z
0.000000,0.000000,9.621099,-0.021424,0.000000,0.000000
0.009975,0.009975,9.651027,0.008503,0.000085,0.000001
0.020041,0.010066,9.615114,-0.027410,-0.000191,-0.000001
0.029984,0.009943,9.643844,0.001321,-0.000178,-0.000003
0.040021,0.010037,9.647436,0.004912,-0.000129,-0.000004
0.049989,0.009968,9.610325,-0.032198,-0.000450,-0.000009
0.060123,0.010134,9.612720,-0.029804,-0.000752,-0.000016
0.070015,0.009892,9.598354,-0.044169,-0.001189,-0.000028
0.080041,0.010026,9.631873,-0.010650,-0.001295,-0.000041
0.089998,0.009957,9.643844,0.001321,-0.001282,-0.000054
0.100047,0.010049,9.636662,-0.005862,-0.001341,-0.000067
0.109998,0.009951,9.624691,-0.017833,-0.001519,-0.000082
0.120119,0.010121,9.612720,-0.029804,-0.001820,-0.000101
0.130003,0.009884,9.646238,0.003715,-0.001783,-0.000118
0.140052,0.010048,9.595960,-0.046563,-0.002251,-0.000141
0.150015,0.009964,9.631873,-0.010650,-0.002357,-0.000164
0.160157,0.010142,9.601946,-0.040578,-0.002769,-0.000193
0.169985,0.009827,9.678560,0.036037,-0.002415,-0.000216
0.180033,0.010048,9.641450,-0.001073,-0.002426,-0.000241
0.189985,0.009952,9.625888,-0.016636,-0.002591,-0.000266
0.200013,0.010028,9.615114,-0.027410,-0.002866,-0.000295
0.209987,0.009974,9.623494,-0.019030,-0.003056,-0.000326
0.220031,0.010045,9.659407,0.016883,-0.002886,-0.000355
0.230021,0.009990,9.679757,0.037234,-0.002514,-0.000380
0.240048,0.010027,9.601946,-0.040578,-0.002921,-0.000409
0.250010,0.009962,9.639056,-0.003468,-0.002956,-0.000439
0.260152,0.010142,9.636662,-0.005862,-0.003015,-0.000469
0.270052,0.009900,9.646238,0.003715,-0.002978,-0.000499
0.280294,0.010242,9.623494,-0.019030,-0.003173,-0.000531
0.290056,0.009762,9.616311,-0.026212,-0.003429,-0.000565
0.300847,0.010791,9.641450,-0.001073,-0.003441,-0.000602
0.310108,0.009261,9.653421,0.010898,-0.003340,-0.000633
0.320051,0.009943,9.611523,-0.031001,-0.003648,-0.000669
0.330020,0.009969,9.600749,-0.041775,-0.004065,-0.000709
0.340105,0.010085,9.668983,0.026460,-0.003798,-0.000748
0.349984,0.009879,9.647436,0.004912,-0.003749,-0.000785
0.360127,0.010143,9.618705,-0.023818,-0.003991,-0.000825
0.370054,0.009927,9.633070,-0.009453,-0.004085,-0.000866
0.380029,0.009974,9.621099,-0.021424,-0.004298,-0.000909
0.391166,0.011137,9.622296,-0.020227,-0.004524,-0.000959
0.400140,0.008973,9.633070,-0.009453,-0.004608,-0.001000
0.410021,0.009882,9.640253,-0.002270,-0.004631,-0.001046
0.420033,0.010011,9.616311,-0.026212,-0.004893,-0.001095
0.429992,0.009960,9.658209,0.015686,-0.004737,-0.001142
0.440018,0.010026,9.665392,0.022869,-0.004508,-0.001188
0.449982,0.009964,9.639056,-0.003468,-0.004542,-0.001233
0.460126,0.010144,9.642647,0.000124,-0.004541,-0.001279
0.469982,0.009856,9.658209,0.015686,-0.004386,-0.001322
0.480029,0.010047,9.625888,-0.016636,-0.004554,-0.001368
0.490002,0.009973,9.662998,0.020474,-0.004349,-0.001411
0.500016,0.010014,9.662998,0.020474,-0.004144,-0.001453
0.509996,0.009979,9.641450,-0.001073,-0.004155,-0.001494
0.520041,0.010045,9.616311,-0.026212,-0.004418,-0.001539
0.529991,0.009950,9.651027,0.008503,-0.004334,-0.001582
0.540027,0.010036,9.622296,-0.020227,-0.004537,-0.001627
0.549980,0.009953,9.642647,0.000124,-0.004536,-0.001672
0.560063,0.010082,9.645041,0.002518,-0.004510,-0.001718
0.569983,0.009920,9.621099,-0.021424,-0.004723,-0.001765
0.580045,0.010062,9.660604,0.018080,-0.004541,-0.001810
0.590007,0.009962,9.649830,0.007306,-0.004468,-0.001855
0.600044,0.010037,9.646238,0.003715,-0.004431,-0.001899
0.609993,0.009948,9.631873,-0.010650,-0.004537,-0.001944
0.620039,0.010047,9.622296,-0.020227,-0.004740,-0.001992
0.629988,0.009949,9.610325,-0.032198,-0.005060,-0.002042
0.640025,0.010037,9.633070,-0.009453,-0.005155,-0.002094
0.650000,0.009975,9.627085,-0.015439,-0.005309,-0.002147
0.660069,0.010069,9.655815,0.013292,-0.005175,-0.002199
0.669988,0.009919,9.610325,-0.032198,-0.005495,-0.002254
0.680074,0.010086,9.659407,0.016883,-0.005324,-0.002307
0.689982,0.009908,9.623494,-0.019030,-0.005513,-0.002362
0.700035,0.010052,9.625888,-0.016636,-0.005680,-0.002419
0.709989,0.009954,9.617508,-0.025015,-0.005929,-0.002478
0.720034,0.010045,9.641450,-0.001073,-0.005940,-0.002538
0.729989,0.009955,9.629479,-0.013044,-0.006070,-0.002598
0.740027,0.010038,9.636662,-0.005862,-0.006129,-0.002660
0.749994,0.009966,9.630676,-0.011847,-0.006247,-0.002722
0.760054,0.010061,9.610325,-0.032198,-0.006571,-0.002788
0.770004,0.009949,9.629479,-0.013044,-0.006700,-0.002855
0.780040,0.010036,9.612720,-0.029804,-0.006999,-0.002925
0.789984,0.009944,9.657012,0.014489,-0.006855,-0.002993
0.800030,0.010046,9.627085,-0.015439,-0.007010,-0.003064
0.810011,0.009980,9.633070,-0.009453,-0.007105,-0.003135
0.820036,0.010025,9.635465,-0.007059,-0.007176,-0.003207
0.829977,0.009941,9.617508,-0.025015,-0.007424,-0.003280
0.840015,0.010038,9.661801,0.019277,-0.007231,-0.003353
0.850025,0.010010,9.623494,-0.019030,-0.007421,-0.003427
0.860080,0.010055,9.630676,-0.011847,-0.007540,-0.003503
0.870024,0.009944,9.653421,0.010898,-0.007432,-0.003577
0.880041,0.010017,9.677363,0.034840,-0.007083,-0.003648
0.889978,0.009937,9.668983,0.026460,-0.006820,-0.003716
0.900023,0.010045,9.624691,-0.017833,-0.006999,-0.003786
0.909995,0.009972,9.622296,-0.020227,-0.007201,-0.003858
0.920026,0.010031,9.623494,-0.019030,-0.007392,-0.003932
0.929982,0.009956,9.612720,-0.029804,-0.007688,-0.004008
0.940038,0.010056,9.645041,0.002518,-0.007663,-0.004085
0.949990,0.009952,9.657012,0.014489,-0.007519,-0.004160
0.960158,0.010168,9.617508,-0.025015,-0.007773,-0.004239
0.969990,0.009833,9.595960,-0.046563,-0.008231,-0.004320
0.980010,0.010020,9.630676,-0.011847,-0.008350,-0.004404
0.989980,0.009969,9.664195,0.021672,-0.008134,-0.004485
1.000051,0.010072,9.690531,0.048008,-0.007650,-0.004562
1.009979,0.009928,9.645041,0.002518,-0.007625,-0.004638
1.020004,0.010024,9.609128,-0.033395,-0.007960,-0.004718
1.029980,0.009976,9.649830,0.007306,-0.007887,-0.004796
1.040025,0.010045,9.619902,-0.022621,-0.008114,-0.004878
1.049983,0.009958,9.627085,-0.015439,-0.008268,-0.004960
1.060053,0.010071,9.624691,-0.017833,-0.008448,-0.005045
1.069989,0.009936,9.629479,-0.013044,-0.008577,-0.005130
1.080026,0.010037,9.657012,0.014489,-0.008432,-0.005215
1.089992,0.009966,9.662998,0.020474,-0.008228,-0.005297
1.100042,0.010051,9.599552,-0.042972,-0.008660,-0.005384
1.109994,0.009952,9.647436,0.004912,-0.008611,-0.005470
1.120016,0.010021,9.621099,-0.021424,-0.008826,-0.005558
1.129994,0.009979,9.619902,-0.022621,-0.009051,-0.005649
1.140006,0.010012,9.601946,-0.040578,-0.009458,-0.005743
1.149988,0.009982,9.628282,-0.014241,-0.009600,-0.005839
1.160064,0.010075,9.645041,0.002518,-0.009574,-0.005936
1.169977,0.009914,9.652224,0.009701,-0.009478,-0.006029
1.180014,0.010037,9.671378,0.028854,-0.009189,-0.006122
1.189982,0.009968,9.667786,0.025263,-0.008937,-0.006211
1.200032,0.010049,9.624691,-0.017833,-0.009116,-0.006302
1.210004,0.009973,9.598354,-0.044169,-0.009556,-0.006398
1.220007,0.010003,9.654618,0.012095,-0.009435,-0.006492
1.229999,0.009992,9.679757,0.037234,-0.009063,-0.006583
1.240005,0.010006,9.616311,-0.026212,-0.009326,-0.006676
1.250004,0.009999,9.615114,-0.027410,-0.009600,-0.006772
1.260067,0.010063,9.689334,0.046811,-0.009129,-0.006864
1.270006,0.009939,9.634267,-0.008256,-0.009211,-0.006955
1.280004,0.009999,9.637859,-0.004665,-0.009257,-0.007048
1.289990,0.009985,9.607931,-0.034592,-0.009603,-0.007144
1.300012,0.010022,9.623494,-0.019030,-0.009793,-0.007242
1.309973,0.009961,9.624691,-0.017833,-0.009971,-0.007341
1.320008,0.010035,9.621099,-0.021424,-0.010186,-0.007443
1.329990,0.009982,9.605537,-0.036986,-0.010555,-0.007549
1.340010,0.010020,9.670181,0.027657,-0.010278,-0.007652
1.349972,0.009962,9.583989,-0.058534,-0.010861,-0.007760
1.360054,0.010082,9.613917,-0.028607,-0.011150,-0.007872
1.369986,0.009932,9.674969,0.032445,-0.010827,-0.007980
1.380029,0.010042,9.624691,-0.017833,-0.011007,-0.008091
1.389998,0.009969,9.595960,-0.046563,-0.011471,-0.008205
1.400023,0.010026,9.639056,-0.003468,-0.011506,-0.008320
1.409992,0.009968,9.599552,-0.042972,-0.011934,-0.008439
1.420123,0.010131,9.631873,-0.010650,-0.012042,-0.008561
1.429999,0.009876,9.597157,-0.045366,-0.012490,-0.008685
1.440027,0.010028,9.597157,-0.045366,-0.012945,-0.008814
1.450040,0.010012,9.662998,0.020474,-0.012740,-0.008942
1.460137,0.010097,9.666589,0.024066,-0.012497,-0.009068
