t_s,dt_s,az_raw,az_dynamic,vel_z,disp_z
0.000000,0.000000,9.691728,0.019808,0.000000,0.000000
0.010038,0.010038,9.731233,0.059313,0.000595,0.000006
0.019948,0.009910,9.673772,0.001852,0.000614,0.000012
0.030052,0.010104,9.673772,0.001852,0.000632,0.000018
0.039932,0.009880,9.654618,-0.017302,0.000462,0.000023
0.049970,0.010038,9.655815,-0.016105,0.000300,0.000026
0.059956,0.009986,9.642647,-0.029273,0.000008,0.000026
0.069973,0.010017,9.667786,-0.004134,-0.000034,0.000026
0.079930,0.009957,9.657012,-0.014908,-0.000182,0.000024
0.089972,0.010042,9.665392,-0.006528,-0.000248,0.000021
0.099924,0.009952,9.667786,-0.004134,-0.000289,0.000019
0.109989,0.010065,9.670181,-0.001739,-0.000306,0.000015
0.119925,0.009936,9.652224,-0.019696,-0.000502,0.000011
0.130042,0.010117,9.712079,0.040159,-0.000096,0.000010
0.139863,0.009821,9.621099,-0.050821,-0.000595,0.000004
0.150005,0.010142,9.478644,-0.193276,-0.002555,-0.000022
0.159920,0.009915,9.763554,0.091634,-0.001647,-0.000039
0.170027,0.010107,9.823409,0.151490,-0.000116,-0.000040
0.179937,0.009910,9.461885,-0.210035,-0.002197,-0.000061
0.190028,0.010091,9.607931,-0.063989,-0.002843,-0.000090
0.199943,0.009915,9.874885,0.202965,-0.000830,-0.000098
0.210024,0.010081,9.567230,-0.104690,-0.001886,-0.000117
0.219926,0.009902,9.597157,-0.074763,-0.002626,-0.000143
0.230063,0.010137,9.733627,0.061707,-0.002000,-0.000164
0.239954,0.009891,9.609128,-0.062792,-0.002622,-0.000190
0.249996,0.010042,9.740809,0.068890,-0.001930,-0.000209
0.259944,0.009948,9.636662,-0.035258,-0.002281,-0.000232
0.269984,0.010040,9.623494,-0.048426,-0.002767,-0.000259
0.279925,0.009940,9.714473,0.042553,-0.002344,-0.000283
0.290005,0.010081,9.641450,-0.030470,-0.002651,-0.000309
0.299955,0.009950,9.684546,0.012626,-0.002525,-0.000335
0.310011,0.010056,9.706094,0.034174,-0.002182,-0.000357
0.319995,0.009984,9.661801,-0.010119,-0.002283,-0.000379
0.330029,0.010034,9.697714,0.025794,-0.002024,-0.000400
0.339951,0.009922,9.751583,0.079663,-0.001233,-0.000412
0.350000,0.010049,9.621099,-0.050821,-0.001744,-0.000429
0.359919,0.009919,9.690531,0.018611,-0.001560,-0.000445
0.369959,0.010040,9.688137,0.016217,-0.001397,-0.000459
0.379900,0.009941,9.677363,0.005443,-0.001343,-0.000472
0.389952,0.010052,9.695320,0.023400,-0.001107,-0.000483
0.399893,0.009941,9.690531,0.018611,-0.000922,-0.000493
0.409988,0.010095,9.752780,0.080861,-0.000106,-0.000494
0.419922,0.009935,9.677363,0.005443,-0.000052,-0.000494
0.430040,0.010118,9.704896,0.032977,0.000282,-0.000491
