t_s,dt_s,az_raw,az_dynamic,vel_z,disp_z
0.000000,0.000000,9.648633,0.007948,0.000000,0.000000
0.009958,0.009958,9.623494,-0.017191,-0.000171,-0.000002
0.019842,0.009884,9.668983,0.028299,0.000109,-0.000001
0.029929,0.010087,9.641450,0.000766,0.000116,0.000001
0.039840,0.009911,9.636662,-0.004023,0.000076,0.000001
0.049918,0.010078,9.635465,-0.005220,0.000024,0.000002
0.060307,0.010389,9.631873,-0.008811,-0.000068,0.000001
0.069932,0.009624,9.653421,0.012737,0.000055,0.000001
0.079848,0.009916,9.657012,0.016328,0.000217,0.000004
0.089975,0.010127,9.642647,0.001963,0.000237,0.000006
0.099843,0.009868,9.649830,0.009145,0.000327,0.000009
0.109919,0.010076,9.662998,0.022313,0.000552,0.000015
0.119873,0.009954,9.623494,-0.017191,0.000381,0.000018
0.129925,0.010052,9.621099,-0.019585,0.000184,0.000020
0.139866,0.009941,9.653421,0.012737,0.000310,0.000023
0.149941,0.010075,9.646238,0.005554,0.000366,0.000027
0.159881,0.009940,9.593566,-0.047118,-0.000102,0.000026
0.169950,0.010070,9.641450,0.000766,-0.000094,0.000025
0.179844,0.009894,9.633070,-0.007614,-0.000170,0.000023
0.190031,0.010186,9.607931,-0.032753,-0.000503,0.000018
0.199850,0.009819,9.646238,0.005554,-0.000449,0.000014
0.209935,0.010085,9.629479,-0.011205,-0.000562,0.000008
0.219857,0.009923,9.630676,-0.010008,-0.000661,0.000002
0.229934,0.010076,9.637859,-0.002826,-0.000690,-0.000005
0.239866,0.009932,9.633070,-0.007614,-0.000765,-0.000013
0.249921,0.010055,9.611523,-0.029162,-0.001058,-0.000023
0.259861,0.009940,9.621099,-0.019585,-0.001253,-0.000036
0.269951,0.010090,9.657012,0.016328,-0.001088,-0.000047
0.279867,0.009916,9.647436,0.006751,-0.001021,-0.000057
0.289978,0.010111,9.649830,0.009145,-0.000929,-0.000066
0.299855,0.009877,9.661801,0.021116,-0.000720,-0.000074
0.309921,0.010066,9.622296,-0.018388,-0.000905,-0.000083
0.319856,0.009935,9.610325,-0.030359,-0.001207,-0.000095
0.329909,0.010053,9.654618,0.013934,-0.001067,-0.000105
0.339837,0.009928,9.609128,-0.031556,-0.001380,-0.000119
0.349942,0.010106,9.688137,0.047453,-0.000901,-0.000128
0.359856,0.009914,9.627085,-0.013600,-0.001036,-0.000138
0.369946,0.010090,9.605537,-0.035147,-0.001390,-0.000152
0.379905,0.009959,9.647436,0.006751,-0.001323,-0.000166
0.389978,0.010072,9.667786,0.027102,-0.001050,-0.000176
0.399871,0.009893,9.613917,-0.026768,-0.001315,-0.000189
0.409915,0.010045,9.646238,0.005554,-0.001259,-0.000202
0.419870,0.009955,9.667786,0.027102,-0.000989,-0.000212
0.429914,0.010044,9.642647,0.001963,-0.000969,-0.000221
0.439853,0.009938,9.634267,-0.006417,-0.001033,-0.000232
0.449921,0.010069,9.604340,-0.036344,-0.001399,-0.000246
0.459843,0.009922,9.625888,-0.014797,-0.001546,-0.000261
0.469927,0.010083,9.604340,-0.036344,-0.001912,-0.000280
0.479841,0.009914,9.627085,-0.013600,-0.002047,-0.000301
0.489971,0.010130,9.582792,-0.057892,-0.002634,-0.000327
0.499855,0.009884,9.591172,-0.049513,-0.003123,-0.000358
0.509918,0.010064,9.635465,-0.005220,-0.003176,-0.000390
0.519854,0.009935,9.600749,-0.039936,-0.003572,-0.000426
0.530013,0.010159,9.623494,-0.017191,-0.003747,-0.000464
0.539872,0.009859,9.631873,-0.008811,-0.003834,-0.000502
0.549939,0.010067,9.634267,-0.006417,-0.003899,-0.000541
0.559870,0.009931,9.610325,-0.030359,-0.004200,-0.000583
0.569936,0.010065,9.640253,-0.000431,-0.004204,-0.000625
0.579847,0.009911,9.623494,-0.017191,-0.004375,-0.000668
0.589996,0.010149,9.589975,-0.050710,-0.004889,-0.000718
0.599913,0.009917,9.636662,-0.004023,-0.004929,-0.000767
0.609933,0.010019,9.635465,-0.005220,-0.004982,-0.000817
0.620317,0.010384,9.642647,0.001963,-0.004961,-0.000868
0.629906,0.009589,9.609128,-0.031556,-0.005264,-0.000919
0.639871,0.009965,9.630676,-0.010008,-0.005364,-0.000972
0.649916,0.010046,9.670181,0.029496,-0.005067,-0.001023
0.659858,0.009941,9.666589,0.025905,-0.004810,-0.001071
0.669992,0.010135,9.654618,0.013934,-0.004669,-0.001118
0.679854,0.009861,9.649830,0.009145,-0.004578,-0.001163
0.689976,0.010122,9.639056,-0.001629,-0.004595,-0.001210
0.699887,0.009911,9.610325,-0.030359,-0.004896,-0.001258
0.709917,0.010030,9.655815,0.015131,-0.004744,-0.001306
