t_s,dt_s,az_raw,az_dynamic,vel_z,disp_z
0.000000,0.000000,9.597157,-0.074350,0.000000,0.000000
0.009727,0.009727,9.661801,-0.009707,-0.000094,-0.000001
0.019337,0.009610,9.704896,0.033389,0.000226,0.000001
0.029248,0.009910,9.806650,0.135142,0.001566,0.000017
0.039230,0.009983,9.707291,0.035783,0.001923,0.000036
0.049221,0.009991,9.658209,-0.013298,0.001790,0.000054
0.059201,0.009980,9.702502,0.030994,0.002099,0.000075
0.069239,0.010037,9.574412,-0.097095,0.001125,0.000086
0.079232,0.009993,9.591172,-0.080336,0.000322,0.000089
0.089183,0.009951,9.640253,-0.031255,0.000011,0.000089
0.099202,0.010019,9.572018,-0.099490,-0.000986,0.000080
0.109251,0.010049,9.716867,0.045360,-0.000530,0.000074
0.119191,0.009940,9.771934,0.100426,0.000468,0.000079
0.129176,0.009985,9.696517,0.025009,0.000718,0.000086
0.139189,0.010013,9.628282,-0.043226,0.000285,0.000089
0.149193,0.010005,9.595960,-0.075548,-0.000471,0.000084
0.159178,0.009984,9.603143,-0.068365,-0.001153,0.000073
0.169208,0.010030,9.607931,-0.063577,-0.001791,0.000055
0.179186,0.009978,9.657012,-0.014495,-0.001936,0.000035
0.189166,0.009980,9.677363,0.005855,-0.001877,0.000017
0.199194,0.010029,9.852140,0.180632,-0.000066,0.000016
0.209249,0.010054,9.726444,0.054936,0.000487,0.000021
0.219198,0.009949,9.680954,0.009447,0.000581,0.000027
0.229185,0.009987,9.738415,0.066907,0.001249,0.000039
0.239187,0.010003,9.673772,0.002264,0.001272,0.000052
0.249240,0.010052,9.592369,-0.079139,0.000476,0.000057
0.259190,0.009950,9.582792,-0.088716,-0.000407,0.000053
0.269144,0.009954,9.573215,-0.098292,-0.001385,0.000039
0.279198,0.010053,9.605537,-0.065971,-0.002048,0.000018
0.289171,0.009973,9.785102,0.113594,-0.000915,0.000009
0.299186,0.010015,9.683349,0.011841,-0.000797,0.000001
0.309249,0.010064,9.724050,0.052542,-0.000268,-0.000002
0.319230,0.009981,9.798270,0.126763,0.000997,0.000008
0.329215,0.009985,9.567230,-0.104278,-0.000044,0.000008
0.339182,0.009968,9.725247,0.053739,0.000492,0.000013
0.349178,0.009996,9.718065,0.046557,0.000957,0.000022
0.359175,0.009997,9.640253,-0.031255,0.000645,0.000029
0.369186,0.010011,9.671378,-0.000130,0.000643,0.000035
0.379176,0.009990,9.702502,0.030994,0.000953,0.000045
0.389162,0.009986,9.737218,0.065710,0.001609,0.000061
0.399783,0.010621,9.710882,0.039374,0.002027,0.000082
0.409290,0.009507,9.691728,0.020221,0.002219,0.000104
0.419211,0.009921,9.653421,-0.018087,0.002040,0.000124
0.429211,0.010000,9.630676,-0.040832,0.001632,0.000140
0.439184,0.009973,9.622296,-0.049211,0.001141,0.000151
0.449178,0.009994,9.680954,0.009447,0.001235,0.000164
0.459175,0.009997,9.622296,-0.049211,0.000743,0.000171
0.469196,0.010021,9.718065,0.046557,0.001210,0.000183
0.479188,0.009992,9.749189,0.077681,0.001986,0.000203
0.489187,0.009999,9.665392,-0.006116,0.001925,0.000222
0.499310,0.010123,9.703699,0.032192,0.002251,0.000245
0.509519,0.010209,9.585186,-0.086321,0.001370,0.000259
0.519307,0.009788,9.645041,-0.026466,0.001110,0.000270
0.529291,0.009984,9.625888,-0.045620,0.000655,0.000277
0.539277,0.009985,9.720459,0.048951,0.001144,0.000288
0.549284,0.010007,9.739612,0.068105,0.001825,0.000306
0.559269,0.009986,9.698911,0.027403,0.002099,0.000327
0.569252,0.009983,9.561244,-0.110263,0.000998,0.000337
0.579395,0.010143,9.643844,-0.027663,0.000718,0.000345
0.589360,0.009965,9.601946,-0.069562,0.000024,0.000345
0.599261,0.009901,9.587581,-0.083927,-0.000807,0.000337
0.609483,0.010222,9.670181,-0.001327,-0.000820,0.000328
0.619217,0.009734,9.713276,0.041768,-0.000414,0.000324
0.629260,0.010043,9.671378,-0.000130,-0.000415,0.000320
0.639271,0.010011,9.727641,0.056134,0.000147,0.000322
0.649242,0.009971,9.616311,-0.055197,-0.000403,0.000318
0.659355,0.010113,9.613917,-0.057591,-0.000986,0.000308
0.669260,0.009905,9.561244,-0.110263,-0.002078,0.000287
0.679370,0.010110,9.667786,-0.003721,-0.002115,0.000266
0.689275,0.009905,9.744401,0.072893,-0.001393,0.000252
0.699294,0.010019,9.822212,0.150705,0.000116,0.000253
0.709407,0.010113,9.710882,0.039374,0.000515,0.000258
0.719297,0.009890,9.684546,0.013038,0.000644,0.000265
0.729383,0.010086,9.595960,-0.075548,-0.000118,0.000263
0.739356,0.009973,9.612720,-0.058788,-0.000705,0.000256
0.749382,0.010026,9.597157,-0.074350,-0.001450,0.000242
0.759297,0.009915,9.731233,0.059725,-0.000858,0.000233
0.769263,0.009966,9.635465,-0.036043,-0.001217,0.000221
0.779393,0.010130,9.747992,0.076484,-0.000442,0.000217
0.789330,0.009937,9.830592,0.159084,0.001138,0.000228
0.799310,0.009980,9.639056,-0.032452,0.000815,0.000236
0.809371,0.010061,9.574412,-0.097095,-0.000162,0.000235
0.819295,0.009924,9.651027,-0.020481,-0.000366,0.000231
0.829258,0.009963,9.625888,-0.045620,-0.000820,0.000223
0.839298,0.010040,9.704896,0.033389,-0.000485,0.000218
0.849441,0.010143,9.769540,0.098032,0.000509,0.000223
0.859366,0.009925,9.652224,-0.019284,0.000318,0.000226
0.869453,0.010087,9.727641,0.056134,0.000884,0.000235
0.879285,0.009832,9.662998,-0.008510,0.000801,0.000243
0.889245,0.009959,9.497798,-0.173710,-0.000929,0.000234
0.899248,0.010003,9.658209,-0.013298,-0.001062,0.000223
0.909427,0.010179,9.662998,-0.008510,-0.001149,0.000211
0.919232,0.009805,9.721656,0.050148,-0.000657,0.000205
0.929266,0.010035,9.759963,0.088455,0.000230,0.000207
0.939233,0.009967,9.730036,0.058528,0.000814,0.000215
0.949213,0.009980,9.633070,-0.038437,0.000430,0.000220
0.959210,0.009997,9.739612,0.068105,0.001111,0.000231
0.969221,0.010011,9.599552,-0.071956,0.000390,0.000235
0.979378,0.010157,9.645041,-0.026466,0.000122,0.000236
0.989233,0.009854,9.680954,0.009447,0.000215,0.000238
0.999471,0.010239,9.667786,-0.003721,0.000177,0.000240
1.009422,0.009950,9.749189,0.077681,0.000950,0.000249
1.019570,0.010149,9.578004,-0.093504,0.000001,0.000249
1.029345,0.009775,9.640253,-0.031255,-0.000305,0.000246
1.039131,0.009785,9.636662,-0.034846,-0.000646,0.000240
1.049201,0.010071,9.618705,-0.052803,-0.001178,0.000228
1.059525,0.010323,9.732430,0.060922,-0.000549,0.000222
1.069398,0.009874,9.767146,0.095638,0.000396,0.000226
1.079388,0.009990,9.718065,0.046557,0.000861,0.000235
1.089118,0.009730,9.732430,0.060922,0.001453,0.000249
1.099048,0.009930,9.718065,0.046557,0.001916,0.000268
1.109146,0.010098,9.531317,-0.140191,0.000500,0.000273
1.119196,0.010050,9.537302,-0.134205,-0.000849,0.000265
1.129534,0.010337,9.640253,-0.031255,-0.001172,0.000253
1.139226,0.009692,9.798270,0.126763,0.000057,0.000253
1.149242,0.010016,9.722853,0.051345,0.000571,0.000259
1.159230,0.009988,9.597157,-0.074350,-0.000172,0.000257
1.169227,0.009996,9.692925,0.021418,0.000043,0.000258
1.179234,0.010007,9.648633,-0.022875,-0.000186,0.000256
1.189229,0.009996,9.548076,-0.123432,-0.001420,0.000241
1.199253,0.010023,9.628282,-0.043226,-0.001853,0.000223
1.209301,0.010048,9.812636,0.141128,-0.000435,0.000219
1.219289,0.009988,9.732430,0.060922,0.000173,0.000220
1.229271,0.009983,9.615114,-0.056394,-0.000390,0.000216
1.239275,0.010003,9.647436,-0.024072,-0.000631,0.000210
