t_s,dt_s,az_raw,az_dynamic,vel_z,disp_z
0.000000,0.000000,9.672575,0.004707,0.000000,0.000000
0.010821,0.010821,9.673772,0.005904,0.000064,0.000001
0.019876,0.009056,9.670181,0.002313,0.000085,0.000001
0.029843,0.009966,9.631873,-0.035994,-0.000274,-0.000001
0.039944,0.010102,9.641450,-0.026418,-0.000541,-0.000007
0.049734,0.009790,9.670181,0.002313,-0.000518,-0.000012
0.059687,0.009952,9.642647,-0.025221,-0.000769,-0.000019
0.069690,0.010004,9.660604,-0.007264,-0.000842,-0.000028
0.079794,0.010104,9.659407,-0.008461,-0.000927,-0.000037
0.090021,0.010227,9.641450,-0.026418,-0.001197,-0.000049
0.099921,0.009900,9.659407,-0.008461,-0.001281,-0.000062
0.109767,0.009846,9.657012,-0.010855,-0.001388,-0.000076
0.119956,0.010188,9.661801,-0.006067,-0.001450,-0.000091
0.129749,0.009793,9.697714,0.029846,-0.001158,-0.000102
0.139711,0.009962,9.654618,-0.013250,-0.001290,-0.000115
0.149697,0.009986,9.688137,0.020269,-0.001087,-0.000126
0.159703,0.010006,9.653421,-0.014447,-0.001232,-0.000138
0.169977,0.010274,9.679757,0.011890,-0.001110,-0.000149
0.179766,0.009789,9.652224,-0.015644,-0.001263,-0.000162
0.189836,0.010070,9.696517,0.028649,-0.000974,-0.000172
0.199754,0.009918,9.673772,0.005904,-0.000916,-0.000181
0.210284,0.010530,9.690531,0.022663,-0.000677,-0.000188
0.219719,0.009435,9.625888,-0.041980,-0.001073,-0.000198
0.229995,0.010275,9.726444,0.058577,-0.000471,-0.000203
0.239714,0.009720,9.646238,-0.021629,-0.000681,-0.000209
0.249754,0.010040,9.673772,0.005904,-0.000622,-0.000216
0.259703,0.009950,9.695320,0.027452,-0.000349,-0.000219
0.269733,0.010030,9.636662,-0.031206,-0.000662,-0.000226
0.279728,0.009995,9.665392,-0.002476,-0.000687,-0.000233
0.289717,0.009990,9.667786,-0.000081,-0.000688,-0.000239
0.299860,0.010143,9.668983,0.001116,-0.000676,-0.000246
